no,kode,sub_klasifikasi
273,2.05.10,Jasa Pengembangan Konten
274,2.05.10.01,Konten Distance Learning
275,2.05.10.02,Konten Program TV Interactive
276,2.05.10.03,Konten Program Multimedia
277,2.05.10.04,Konten Program Portal
278,2.05.11,Jasa Pengembang Aplikasi
279,2.05.11.01,Jasa Pengembang Aplikasi Komputer
280,2.05.11.02,Jasa Pengembang Aplikasi Komunikasi
281,2.05.11.03,Aplikasi Telemetrik
282,2.05.11.04,Aplikasi GIS
283,2.05.11.05,Aplikasi GPS
284,2.05.12.01,Jasa Pemborongan Perangkat Lunak: Komputer
285,2.05.99,Subbidang Lainnya
286,3.00.,Pemasokan Barang Semua Bidang
287,3.00.01,Alat Atau Peralatan Atau Suku Cadang : Tulis
288,3.00.02,Alat Atau Peralatan Atau Suku Cadang : Kantor dan Pergudangan
289,3.00.03,Alat Atau Peralatan Atau Suku Cadang : Perlengkapan Pegawai
290,3.00.04,Alat Atau Peralatan Atau Suku Cadang : Mekanikal dan Elektrikal Atau Listrik
291,3.00.05,"Alat Atau Peralatan Atau Suku Cadang : Ukur, Survei, Laboratorium dan Timbangan Khusus"
292,3.00.06,"Alat Teknik Pendidikan, Peragaan. Visualisasi, Olahraga dan Kesenian"
293,3.00.07,Alat Atau Peralatan Furniture
294,3.00.08,Alat Atau Peralatan Kerajinan
295,3.00.09,Alat Atau Peralatan Atau Suku Cadang : Alat Berat
296,3.00.10,Alat Atau Peralatan Atau Suku Cadang : Keselamatan Kerja dan Pemadam Kebakaran
297,3.00.11,Alat Atau Peralatan Atau Suku Cadang : Komputer
298,3.00.12,Cat
299,3.00.13,"Bahan Bakar, Pelumas dan Minyak"
300,3.00.14,Bahan Pangan
301,3.00.15,Bahan Kemasan
302,3.00.16,"Buku Bacaan, Buku Pelajaran dan Jurnal Berkala"
303,3.00.17,Tekstil dan Produk Tekstil
304,3.00.18,Perabotan Rumah Tangga
305,3.00.19,Alat/ Peralatan/ Suku Cadang: Mesin Anjungan Tunai Mandiri (ATM)
306,3.00.20,Alat/ Peralatan/ Suku Cadang: energi baru dan terbarukan
307,3.00.21,Batu Bara
308,3.00.22,Aspal
309,3.00.23,Alat/ Peralatan/ Suku Cadang: Air Conditioner (AC) dan Pengoperasiannya
310,3.00.24,Tabung Gas
311,3.00.25,Biji Plastik
312,3.00.26,Wallpaper dan Karpet
313,3.00.27,Alat/ Peralatan/ Suku Cadang: Mesin Las
314,3.00.28,Kawat Las
315,3.00.29,Air Minum Dalam Kemasan
316,3.00.30,Makanan Tambahan Untuk Bayi
317,3.00.31,Alat/ Peralatan/ Suku Cadang Terbuat Dari Karet
318,3.00.32,"Alat/ Peralatan/ Suku Cadang: Pesawat Angkat (Mobile Crane, Forklift, Overhead Crane, dll)"
319,3.00.99,Subbidang Lainnya
320,3.01.01,Alat Atau Peralatan Atau Suku Cadang: Alat Apung dan Sarana Lepas Pantai
321,3.01.02,Alat atau Peralatan atau Suku Cadang: Kelautan dan Nelayan
322,3.01.03,Usaha Kelautan dan Maritim
323,3.01.06,"Alat/ Peralatan/ Suku Cadang: Pekerjaan Bawah Air (Remote Operated Vehicle (ROV), Pengelasan Bawah Air, Selam SSBA/SCUBA)"
324,3.02.,Bidang Pertanian
325,3.02.01,"Alat Atau Peralatan Atau Suku Cadang: Pertanian, Perkebunan. Petemakan. Perikanan, dan Kehutanan"
326,3.02.02,Bahan Makanan Ternak
327,3.02.03,Pestisida dan Obat Pertanian
328,3.02.04,Pupuk
329,3.02.05,"Bibit dan Usaha Pertanian, Perkebunan, Peternakan, Perikanan. dan Kehutanan"
330,3.02.99,Subbidang Lainnya
331,3.03.,Bidang Pertambangan Umum
332,3.03.01,Alat Atau Peralatan Atau Suku Cadang Pemboran dan Paking
333,3.03.02,Alat Atau Peralatan Atau Suku Cadang dan Mesin - Mesin
334,3.03.03,Alat Atau Peralatan Atau Suku Cadang Angkutan dan Packing
335,3.03.04,Kelengkapan Mesin dan Instrumentasi
336,3.03.05,Alat - Alat Kerja
337,3.03.06,"Alat Atau Peralatan Atau Suku Cadang: Turbin, Boiler, Selubung Sumur dan Pompa"
338,3.03.09,Alat atau Peralatan atau Suku Cadang Alat Berat
339,3.03.99,Subbidang Lainnya
340,3.04.,"Bidang Pertambangan Minyak, Gas dan Panas Bumi"
