no,reg number,name of establishment,address,products
99,DL 605,"Quang Vinh Trading - Transportation one member Co., Ltd","Lot 47, Group 5, Vinh Thanh, Vinh Phuong Ward, Nha Trang City, Khã¡nh Hã²a Province",Frozen
100,DH 603,"KHANH HOA CANNED FOOD CO., LTD (KHACANFOOD)","1a Road, Cu Thanh Hamlet, Suoi Hiep Commune, Dien Khanh District, Khanh Hoa Province",Canned
101,HK 524,"BINH THEM Co., Ltd.","Hon Khoi Industrial Zone, Ninh Hai Commune, Ninh Hoa District, Khanh Hoa Province",Dried
102,HK 600,FUJIURA NHA TRANG LTD,"Plot F7+f8, Suoi Dau Industrial Zone, Cam Lam Village, Cam Ranh District, Khanh Hoa Province",Dried
103,HK 80,Ninh Thuan Agricultural products export company - NITAGREX,"158 Bac Ai Street, Do Vinh Ward, Phan Rang Thap Cham Town, Ninh Thuan Province",Dried
104,DL 601,"""Thong Thuan Seafood Co., Ltd Shrimp Processing Factory - No 1""","No. 104, Ngo Gia Tu Street, Phan Rang-thap  Cham City, Ninh Thuan Province",Frozen
105,HK 337,Trang Thuy private Enterprise (Trang Thuy seafood),"Lot A12, An Phu Industrial Zone, Tuy An District, Phu Yen Province",Dried
106,HK 214,Tae San Aqua - Product P&T Co.,"Lot B6, Hoa Hiep Industrial Zone, Tuy Hoa City, Phu Yen Province",Dried
107,HK 289,Viet Thai manufactural & commercial private business ,"Lot A5-15, An Phu Industrial Zone, Tuy Hoa District, Phu Yen Province",Dried
108,DL 198,"PHU YEN SEAFOODS CO., LTD","Lot A9-a11, Hoa Hiep Industrial Zone, Dong Hoa County, Phu Yen Province",Frozen
109,DL 481,"Ba Hai Co., Ltd.","Lot A13, An Phu Industrial Zone, Tuy Hoa City, Phu Yen Province",Frozen
110,DL 606,"Tae San Aqua - Products P&T Co., Ltd Factory two","Lot B6, Hoa Hiep Industrial Zone, Dong Hoa District, Phu Yen Province",Frozen
111,DL 125,"HAI NAM Co., LTD.","27 Nguyen Thong Street, Phu Hai Ward, Phan Thiet  City, Binhthuan Province",Frozen
112,HK 104,"SON TUYEN Co., LTD.","Hamlet 5, Ham Thang Village, Ham Thuan Bac District, Binh Thuan Province",Dried
113,HK 238,"Workshop No. 2, HAINAM Co., Ltd.","27 Nguyen Thong Street, Phu Hai Ward, Phan Thiet  City, Binhthuan Province",Dried
114,DL 192,"Hai Thuan export seaproduct processing Co., Ltd (Hai Thuan Co., LTD)","Lot No 8-9, Phan Thiet Fishing Port, Phan Thiet City, Binh Thuan Province",Frozen
115,DL 356,"Workshop No 3, HAI NAM Co., Ltd.","Lot 15, Phan Thiet Fishing Port, Phan Thiet City, Binh Thuan Province",Frozen
