no,reg number,name of establishment,address,products
38,KID-032,"Korea Cold Stores Co., Ltd.","360, Dadae-ro, Saha-gu, Busan",Frozen Fish
39,KID-033,"BIFEX-LOGISTICS CO., LTD","35, Wonyang-ro, Seo-gu, Busan",Frozen Fish
40,KID-036,"SUNG JIN FISHERY CO., LTD","87, Wonyang-ro, Seo-gu, Busan",Frozen Fish
41,KID-039,"SI WON MOOLSAN CO., LTD","463, Amnamgongwon-ro, Seo-gu, Busan",Frozen Fish
42,KID-047,BUSAN COLD STORAGE INC.,"328, Wonyang-ro, Saha-gu, Busan",Frozen Fish
43,KID-048,"ASIA COLD STORAGE CO,LTD","179, Wonyang-ro, Seo-gu, Busan, Korea",Frozen Fish
44,KID-051,"SAMIL COLD STORAGE, Co, LTD","36, Seopo-ro, Saha-gu, Busan",Frozen Fish
45,KID-087,"SUNHAE F&S CO.,LTD","1366-2, Hwayang-ro, Hwayang-myeon, Yeosu-si, Jeollanam-do, Korea",Frozen Fish
46,KID-067,"JUSIN FOODS CO.,LTD","201, Uljindaego-ro, Hupo-myeon, Uljin-gun, Gyeongsangbuk-do, Korea",Frozen Fish
47,KID-069,"DAI HAN FISHERIES CO.,LTD","349,â Wonyang-ro,â Saha-gu,â Busan",Frozen Fish
48,KID-157,"FISHERY CORPORATION HANIL FISHERIES CO., LTD ","139-41, Saemangeumbuk-ro, Gunsan-si, Jeollabuk-do, Republic Of Korea",Fishery product
49,KID-074,"DAIHUNG MULSAN, Co","73, Miujihaean-ro Tongyeong-city Gyeongsangnam-do",Frozen Fish
50,KID-075,"DONG WON MUL SAN CO., LTD","2358, Dosanilju-ro,, Dosan-myeon, Tongyeong-city, Kyungsangnam-do, Republic Of Korea",Frozen Fish
51,KID-082,"DAEHU ENTERPRISE CO.,LTD","318 Donghae-daero, Hupo-myon, Uljin-gun, Kyungbuk",Frozen Fish
52,KID-013,"DONGWON FISHERIES CO.,LTD","685, Eulsukdo-daero, Saha-gu, Busan, Korea",Frozen Fish
53,KID-001,"COLD STORAGE INTER-BURGO II CO., LTD","125, Wonyang-ro, Seo-gu, Busan, Korea",Frozen Fish
54,KID-101,"MI SIK MARINE PRODUCTS CO.,LTD","43, Bansogol-gil, Hupo-myeon, Uljin-gun, Gyeongsangbuk-do, Reepublic Of Korea",Frozen Fish
55,KID-103,"YANGJI ENTERPRISE CO.,LTD","679-25, Geumpo-ro, Gochon-eup, Gimpo-si, Gyeonggi-do, Republic Of Korea",Frozen Fish
56,KID-112,"HANIL COLD STORAGE Co., LTD","319, Wonyang-ro, Saha-gu, Busan, Republic
Of Korea","Fishery
Product"
57,KID-113,"Seyang Co.,Ltd","2133-17, Namhaean-daero, Wonsan-ri, Dosan-myeon, Tongyeong-si, Gyeongsangnam-do, Republic Of Korea",Fishery product
