no,reg number,name of establishment,address,products
526,3700/02944,"Wendeng Baohui Foodstuffs Co.,Ltd.","No. 800-5, Cuijia Houjia Town,wendeng Shandong China",Fishery Products
527,4400/18070,"Guangdong Baji Foodstuffs Co., Ltd.","40-42 Hudi Road, Shantou,guangdong,china",Fishery Products
528,4400/02336,"GuangDong Hao Yang  Quick-Frozen  Food  Co., Ltd","North No.1, High-tech Road 5th,fugang Industrial Area,high-tech Zone,yangjiang,guangdong Province,china",Fishery Products
529,4400/18043,"GuangDong Hao Yang  Quick-Frozen  Food  Co., Ltd","North No.1, High-tech Road 5th,fugang Industrial Area,high-tech Zone,yangjiang,guangdong Province,china",Fishery Products
530,3500/02376,"Fujian Chuangxing Ocean Sci-Tech Co., Ltd.","Guanyinshan , Donghaian Industrial Development Zone , Shenhu Townï¼jinjiang Cityï¼quanzhou Cityï¼fujian Provinceï¼china",Fishery Products
531,4400/18070,"Guangdong Baji Foodstuffs Co., Ltd.","40-42 Hudi Road, Shantou,guangdong,china",Fishery Products
532,4400/02336,"GuangDong Hao Yang  Quick-Frozen  Food  Co., Ltd","North No.1, High-tech Road 5th,fugang Industrial Area,high-tech Zone,yangjiang,guangdong Province,china",Fishery Products
533,4400/18043,"GuangDong Hao Yang  Quick-Frozen  Food  Co., Ltd","North No.1, High-tech Road 5th,fugang Industrial Area,high-tech Zone,yangjiang,guangdong Province,china",Fishery Products
534,3700/02B49,"Yantai Mingxiang Foodstuff Co., Ltd.","Xinzhuang Town, Zhuaoyuan City,shandong China",Fishery Products
535,4400/02379,"Guangdong Enci Aquatic Products Co.,Ltd.","No.f2-1,the First District,jiangmen Industrial Transfer Industrial Park Enping Park Area,enping City,guangdong China",Fishery Products
536,3500/02385,"FUJIAN HENGFA MARINE BIOLOGICAL TECHNOLOGY CO., LTD.","No.01 Processing Plant,5f-c Processing Plant, Business Support Building ,fuzhou Strait Aquatic  Products Tradingï¼center No.66,qingzhou Road, Luoxing Street,mawei,fuzhou, Fujianï¼china",Fishery Products
537,3500/02320,"Shishi Haixing Foodstuff Co.,Ltd","No.145, Waigao West Zone, Yongning Town, Shishi, Quanzhou, Fujian, P.r.china",Fishery Products
538,3300/02206,"Zhoushan Putuo Huafa Sea Products Co., Ltd.","Marine Organisms Industry Zone, Shenjiamen, Putuo District Zhoushan, Zhejiang, China",Fishery Products
539,3300/02202,"Tropical Food Manufacturing (Zhoushan) Co., Ltd.","No.68 Tropical Road Zhanmao Street Putuo District Zhoushan City, Zhejiang Province, China",Fishery Products
540,2100/02159,"Dalian Chenghong Seafoods Co.,LTD","Wukuaishi Village,anzishan Town,zhuanghe City,dalian China",Fishery Products
541,4400/02376,"Zhanjiang Xuchang Aquatic Science And Technology Co.,LTD.","Complex Building, B Residential,no.50,jinkang Middle Road Mazhang District, Zhanjiang,guangdong,china",Fishery Products
542,3500/02404,"Fujian Minition Seafood Co., Ltd.","No. 15-1, Xiaosha Area, Economic Development Zone, Xiapu County, Ningde City, Fujian Province, China",Fishery Products
543,5300/02209,"Yunnan Zhenxiong Aquatic Product Development Co., Ltd(Dali Branch)","Haidong Township, Dali City, Yunnan, China",Fishery Products
544,3700/02E58,"Rongcheng Guangyi Aquatic Products Co., Ltd.","No.209,shangshu Road,rongcheng City",Fishery Products
545,2100/02605,"Dalian Chengxin Seafood Co.,Ltd","Shengjia Village ,qingdui Town,zhuanghe City ,dalian China",Fishery Products
546,3500/01170,Fresh forever seafood limited,"No.999, Li Han Avenue, Jiangkou Town, Hanjiang District, Putian City, Fujian Province, China",Canned
547,3700/02B94,"Weihai Dufeng Food Co.,Ltd.","No.392 Fuyuan East Road,gangxi Town Rongcheng City",Fishery Products
548,3502/02053,"Xiamen Hai Zhi Yuan Food Co.,Ltd","No. 1-5, A Area Of Lingshang Shopping Center, Zhen-an Village, Haicang District,xiamen, Fujian, China",Fishery Products
549,3700/18204,"Weihai Runfutang Food Co.,Ltd","No.66 11-3ï¼11-4   Wenchang Road Wendeng Economic Development Zone,weihai,shangdong",Fishery Products
550,3300/02136,"Xinchang Acipenser And Huso Bio-technology Co.,Ltd.","Yulin Street, Xinchang Town, Shaoxing, Zhejiang",æ°´äº§å Fishery Product
551,3300/02780,"Zhoushan Lantian Aquatic Products Co.,Ltd.",No 9 Lanzhou Ganlan Dinghai Zhoushan Zhejiang,"""æ°´äº§å
Fishery Products"""
552,3500/02272,"Zhangzhou Fuhai Food Co., LTD","Lintou Cun, Sidu Town, Zhaoan County, Zhangzhou City","""æ°´äº§å
Fishery Products"""
553,3500/02428,"Ningde Dongfang Aquatic Products Co.,Ltd.","""no.28,tangtian,meitian Village,feiluan
Town,jiaocheng  District,ningde
 City,fujian,china
""","""æ°´äº§å
Fishery Products"""
554,3500/02429,"Ningde Wanxing Food Co.,Ltd.","""no.25,tangtian,meitian Village,feiluan
Town,jiaocheng  District,ningde
City,fujian,china
""","""æ°´äº§å
Fishery Products"""
555,2100/02838,"Dalian Juxin Aquatic Food Co.,Ltd.",Haiyang Village Cheng Guan Street Zhuanghe City Dalian China,Fishery Product
556,3300/02077,"Zhejiang Retronx Foodstuff Industry Co.,Ltd.","No.7, Shichuang Road,zhanmao, Putuo District, Zhoushan City, Zhejiang, China",Fishery Products
557,3700/02A49,"Yantai Ziwei Foods Co., Ltd.","No.18 Hefei Street,yantai Etdz,shandong,china",Frozen Fishery Products
558,3700/02F43,"Weihai Heyi Foods Co., Ltd.","No.8 Zhenzhong Road  Bukou Port,wendeng District,weihai,shandong",Fishery Products
559,3700/02E82,"Rizhao Haize Foodstuff Co.,Ltd.","Wangjiazhuang,beiguo,lanshan,rizhao,shandong, China",Seasoned Fish Fillets  Seasoned Squid Products
560,2100/02065,"Mocean Technology Development (Dalian) Co., Ltd","No. 15 Zhengong Street, Shisanli New Industry Zone, Free Trade Zone, Dalian, Liaoning Province, P.r. China.",Fishery Product
561,2100/02953,"Dalian Jinxiang Food co.,ltd",Jinchang Village Liandian Town Zhuanghe City Liaoning Province China,Fishery Product
562,3500/02412,"Fujian Xiapu Wufu Seafood Co., Ltd.","No.2 Building No.56 Shanglou Xiaosha Village Songgang,xiapu, Ningde,fujian, China",Fishery Products
563,3302/02100,"Xiangshan Junyuan Foods Co.,Ltd.","No.2 Shanxi Road,beitang Industrial Zone,juexi Street,xiang Shan, Ningbo, Zhejiang, China",Frozen Seafood
564,3300/02080,"Zhoushan City Shuangying Aquatic Products Co., Ltd.","No. 418 Yangang West Road, Gaoting Town, Daishan County, Zhoushan City, Zhejiang, China","Frozen Raw Wild Caught Shrimp (Peeled), Frozen Raw Wild Caught Fish (Containing Histamine), Frozen Raw Swimming Crab, Frozen Raw Cephalopoda"
565,3300/02810,"Zhoushan Luming Aquatic Foods Co., Ltd.","No. 21 Xinhua Road,  Puxi Development Zone,  Putuo, Zhoushan, Zhejiang, China",Fishery Product
566,3100/02109,"Hesshoo (Shanghai) Food Technology Co.,Ltd","No.699,huaqing Rd,xianghua Bridge Street,qingpu District,shanghai,china","Frozen aquatic products (Including Histamine, Cephalopods, Cultured fish products, Excluding  Bivalve shellfish, Puffer fish)"
567,3100/02110,"Shanghai Brilliant  GumCo., Ltd.","88 Baisha Road,spark Development Zone,fengxian District Shanghai","Carrageenan,Agar-grar"
568,3700/02F32,"ShandongÂ HongyeÂ FoodsÂ Co., Ltd.","""no.118â Fujiaâ Roadï¼rongchengï¼weihaiï¼shandong
""","Dried Aquatic Products, Frozen Or Boiled  Cephalopods And Cephalopods With Powder,Fish,Shellfish,Crustaceans And Their Products"
569,3500/02377,"Fujian Province Dilun Food Co.,Ltd","No.3 Plant,fuyang Industrial Zone,dengfu Road,jiaocheng District,ningde City,fujian,china",Fishery Products
