no,reg number,name of establishment,address,products
1,2100/02028,"Donggang Changping Food Co., Ltd","No.8 Yingbin Avenue, Xinxing District, Donggang City, Liaoning, China.",Fishery Products
2,2100/02315,"Donggang Defeng Foodstuff Co., Ltd","Kulongshan, Wusifarm, Donggang City, Liaoning, China",Fishery Products
3,2100/02248,"Dandong Taifeng Foodstuff Co., Ltd.","No.99 Jianshe Road, Donggang City, Liaoning Pro, China",Fishery Products
4,2100/02455,"Donggang Jufeng Food Co.,Ltd","South Village Of Tufang Xinxing Area Donggang City, Liaoning",Fishery Products
5,2100/02458,"Dandong Yuanyi Refined Seafoods Co., Ltd.","No.73 Jianshe Road, Donggang, Liaoning, China",Fishery Products
6,2100/02568,"Dandong Hongfeng Foodstuff Import and Export Co.,Ltd","No.177 Langdong Road, Donggang City, Liaoning, China",Fishery Products
7,2100/02603,"Donggang Xinghai Food Co.,Ltd","Bakeshu, Xincheng District Donggang City, Liaoning,china",Fishery Products
8,2100/02604,"Donggang Kangling Food Co.,Ltd","North Yingbin Road ,dandong Area,donggang City, Liaoning Province",Fishery Products
9,2100/02611,"Dandong Yongming Food Co.,Ltd.",No.189 Youhao Road Donggang City Liaoning Pro China,Fishery Products
10,2100/02615,"Dandong Hailong Foodstuff Co.,Ltd.",Hailong Village Qianyang Towm Donggang City Liaoning Province,Fishery Products
11,2100/02689,"Dandong Grand Ocean Foods Co., Ltd.","Xinan Village, Qianyang Town, Donggang City, Liaoning Province, China.",Fishery Products
12,2100/02789,Home Sea International Company Limited,"Xiyang Village, Xiyang Town Wafangdian City, Liaoning, China",Fishery Products
13,2100/02803,"Donggang Qiyun Aquatic Products Processing Co.,Ltd","South Tufang Village, Xinxing District Donggang City, Liaoning Province",Fishery Products
14,2100/02821,"Donggang Jinjia Seafoods Co.,Ltd",No.5 Zhongyang Street Donggang City Liaoning Province,Fishery Products
15,2100/02822,"Donggang Tongyu Foodstuff Co.,Ltd.",Xinxing District Donggang City Liaoning China,Fishery Products
16,2100/02875,"Donggang Haimeng Foodstuff Co.,Ltd.","Bakeshu Village,xincheng District,donggang City,liaoning",Fishery Products
17,2100/02928,"Donggang Shenglong Foodstuff Co.,Ltd.",Xiaosi Village Xincheng District Donggang City,Fishery Products
18,2100/02935,"Donggang Shengrun Foodstuff Co.,Ltd","Zuomu Village,xincheng District,donggang City, Liaoning",Fishery Products
19,2100/02940,"Donggang Huiyuan Food Co., Ltd","Development Zone,dahai Industry Park, Friend Street No.10 ,donggang City, Liaoning China",Fishery Products
20,2100/02943,"Donggang City Hongkai Food Co., Ltd","Changsheng Village, Pusamiao Town, Industry Park Donggang Of Dandong City",Fishery Products
21,2100/02968,"Donggang Taihua Foodstuff Co.,Ltd.","No.222 Huancheng Street,donggang City,china",Fishery Products
22,3200/02002,"LIANYUNGANG JINSHUIWAN FOODSTUFF CO.,LTD","No.28 Haizhou Road,luoyang Town,ganyu County,jiangsu Province","FROZEN AND COOKED SHELLFISH PRODUCTS,FROZEN AQUATIC PRODUCTS (FISH/CRAB/SHRIMP/OCTOPUS/ SHELLFISH)?SALTED AQUATIC PRODUCTS (FISH / SHRIMP /SHELLFISH)"
23,3200/02373,"NANTONG XINYOU AQUATIC PRODUCTS CO.,LTD.","No.18,xiangtang Road,lusi Town,qidong City,jiangsu,china",FROZEN AQUATIC PRODUCTS;SALTED JELLYFISH
24,3200/02511,"QIDONG  JIAHE FOOD CO.,LTD.","No.129,shuichan Road,lvsigang,qidong City,jiangsu,china",FROZEN AQUATIC PRODUCTS
25,3300/01005,"Zhejiang Huangguan Foodstuff Co.,Ltd.","Jiangkou Food Industry Development Zone,taizhou City,zhejiang Province,china",Fishery Products
26,3300/02001,Aquatic Products Processing Factory of China National Zhoushan Marine Fisheries Company,"Pingyangpu, Putuo, Zhoushan, Zhejiang, China",Fishery Products
27,2100/02802,"DONGGANG ZHIHONG AQUATIC FROZEN PRODUCTS PROCESSING Co.,Ltd","South Tufang Village, Xinxing District, Donggang City, Dandong, Liaoning Province, China",fishery products
28,3300/02003,"Zhejiang  Industrial Group Co.,Ltd.Cold Storage Factory","Dagan, Putuo, Zhoushan, Zhejiang",Fishery Products
29,3300/02004,"Zhoushan Zhenyang Developing Co., Ltd.",88 Hailisheng Road Lincheng Zhoushan Zhejiang China,Fishery Products
30,3300/02008,"Zhoushan Xifeng Aquatic Co., Ltd.","No. 25 Jinboyuan Road, Ganlan, Dinghai, Zhoushan, Zhejiang, China",Fishery Products
31,3300/02011,"Zhejiang Zhengsheng Import & Export Co.,Ltd.",Songmen Wenling Zhejiang China,Fishery Products
32,3300/02021,"Zhejiang Evernew Seafood Co., Ltd Cold Storage Plant",775 Xingjian Road Shenjiamen Putuo Zhoushan Zhejiang China,Fishery Products
33,3300/02029,"Zhejiang Zhoufu Food CO., Ltd.",No.318 Xufu Rd. Gaoting Daishan Zhejiang China,Fishery Products
34,3300/02033,"Zhoushan Jingzhou Aquatic Foods Co., Ltd.","No.2 Langang Road Ximatou Ganlan Town Dinghai Zhoushan,zhejiang,china",Fishery Products
35,3300/02035,"Zhoushan Changguo Foods Co., Ltd.","76-78, Xincheng Rd, Marine Industrial Zoneï¼ Zhoushan, Zhejiang, China",Fishery Products
36,3300/02037,"ZHEJIANG INDUSTRIAL GROUP CO.,LTD. FOOD PROCESSING FACTORY","Dagan, Putuo, Zhoushan, Zhejiang, China",Fishery Products
37,3300/02039,"Zhoushan Hongxin Seafood Co.,Ltd.",Shanjiang Maao Dinghai Zhoushan Zhejiang China,Fishery Products
38,3300/02042,"Zhoushan Lizhou Fishery Co., Ltd.","No.118, Qingleitou Rd. Dinghai, Zhoushan, Zhejiang, China",Fishery Products
39,3300/02043,"Zhoushan Central Prosper Co., Ltd","Miaolong Village Of Zhujiajian Putuo District.zhoushan City, Zhejiang,china",Fishery Products
40,3300/02058,"Daishan Tongqu Aquatic Food Co., Ltd.","No.42 Binghai Rd., Daodou, Daishan, Zhoushan Zhejiang",Fishery Products
41,3300/02061,"Zhoushan Baiyun Aquatic Product Co., Ltd",Ximatou Ganlan Dinghai Zhoushan Zhejiang China,Fishery Products
42,3300/02066,"Zhoushan Green Food Co., Ltd.","Industry Area, Goushan, Putuo, Zhoushan, Zhejiang, China",Fishery Products
43,3300/02070,"Zhoushan City Putuo Changlong Aquatic Products Industry Co., Ltd.","Industrial District Pingyang Putuo Zhoushan Zhejiang, China",Fishery Products
44,3300/02075,"ZHOUSHAN YIXING SEA-FOOD CO.,LTD","Ocean Biology Zone, Shen Jia Men Zhoushan Zhejiang  China",Fishery Products
45,3300/02078,"Zhejiang East Coast Industrial Co., Ltd","(xingang Block) Star Horse Community, Beichan Xiang, Dinghai District, Zhoushan, Zhejiang, China",Fishery Products
46,3300/02081,"Zhoushan De Lai Men Food Co., Ltd.","Ocean Industry Zone, Putuo, Zhoushan, Zhejiang, China",Fishery Products
47,3300/02082,"Zhoushan City Shiji Aquatic Products Co., Ltd.","Puxi Development Zone, Putuo, Zhoushan, Zhejiang, China",Fishery Products
48,3300/02083,"Zhoushan Genho Food Co.,Ltd.","No.88, Hailisheng Rd.lincheng Newly Area, Zhoushan, Zhejiang, China",Fishery Products
49,3300/02085,"Zhoushan Qisheng Aquatic Products Co., Ltd.","No.70, Zhengyuan Road, Shenjiamane Streets, Putuo, Zhoushan, Zhejiang, China",Frozen Marine Fish (in Histamin)
50,3300/02086,"Zhoushan Furuida Food Co.,Ltd.","D-10-02 Puxiindustrial District,putuo District,zhoushan, Zhejiang,china",Fishery Products
51,3300/02088,"Zhoushan Taihe Food Co., Ltd.","No C, Zhanmao, Industrialdistrict, Putuo, Zhoushan,zhejiang, China","Frozen Eel (Fillets), Frozen Cod Filets, Frozen Marine Products (Fillets), Frozen (Cut) Crab, frozen octopus (squid, cuttlefish)"
52,3300/02095,"Zhoushan Dongyu Foods Co., Ltd.","No.13 Zhanxing Road, C Zone, Zhanmao Industrial Park, Putuo, Zhoushan, Zhejiang",Fishery Products
53,3300/02096,"Zhejiang Yupopo Food Co., Ltd.","No.68, Xinchen Road, Putuo Sea Industrial Park, Zhoushan, Zhejiang, China",Fishery Products
54,3300/02098,"Zhoushan Longxin Fisheries Co., Ltd.","Halobios Area Of Shenjiamen, Putuo, Zhoushan, Zhejiang, China",Fishery Products
55,3300/02103,"Zhoushan Shichuang Aquatic Co.,Ltd.","Sanjiang, Maao, Dinghai, Zhoushan, Zhejiang, China",Fishery Products
56,3300/02107,"Zhoushan Zhongmao Aquatic Products Co., Ltd.","Puxi Industrial Zone, Goushan Street, Zhoushan, Zhejiang, China",Fishery Products
57,3300/02113,"ZHEJIANG TONGHO XINGLONG FOODS INDUSTRY CO., LTD.",Yulongvillage Zhujiajian Putuozone Zhoushan Zhejiang China,Fishery Products
58,3300/02115,"Yunpeng Holding Group Co.,Ltd.","Jingang Road, Songmen Town, Wenlingcity, Zhejiang Province, China",Fishery Products
59,3300/02155,"Wenling Xingdi Aquatic Products Co.,Ltd.","Dongjiaotou Village,shitang Town,wenling City,zhejiang,china",Fishery Products
60,3300/02162,Wenling Shatou Seafood Cold Storage Plant,"Shatou,shitang Town,wenling,zhejiang,china",Fishery Products
61,3300/02188,"Wenling City Jinlong Aquatic Products Co.,Ltd.","Jin Gang Road,songmen Town,wenling,zhejiang,china",Fishery Products
62,3300/02190,"Zhoushan East China Sea Rural Food Co., Ltd.","No.26, Xinyuan Road, Putuo, Zhoushan, Zhejiang, China",Fishery Products
63,3300/02196,"Zhejiang Xinwang Food Co., Ltd.",Ocean Industry Zone Putuo Zhoushan Zhejiang China,Fishery Products
64,3300/02197,"Zhoushan Hongming Aquatic Products Co.,Ltd.",Marine Organisms Industry Zone Shenjiamen Putuo Zhoushan Zhejiang China,Fishery Products
65,3300/02198,"Zhoushan Haiwang Seafood Co., Ltd.","Guangantou, Industrial Zone, Goushan, Putuo, Zhoushan, Zhejiang, China",Fishery Products
66,3300/02215,"Zhoushan Putuo Hongyuan Aquatic Products Co., Ltd.",#c Industrial District Zhanmao Street Putuo Zhoushan Zhejiang China,Fishery Products
67,3300/02117,"Zhoushan Changqing Marine Foods Co., Ltd","Oceanic Industrial Park, Putuo, Zhoushan, Zhejiang, China",Fishery Products
68,4500/02050,"GAIN OCEAN FOOD CO.,LTD.","No.12, Hongkong Road, Industrial Zone, Beihai, Guangxi, China",Fishery Product
69,3300/02219,"Zhejiang Heng An Seafoods Co., Ltd.",Xiaosa Maozhi Dinghai Zhoushan Zhejiang China,Fishery Products
70,3300/02222,"Zoushan Haixian Biological Food Technology Co., Ltd.",No.521 Yangang Road Gangting Daishan Zhoushan Zhejiang,Fishery Products
71,3300/02223,"Zhoushan Putuo Huaxing Marine Products Co., Ltd.(Cold Storage Factory)",Mantoushan Lujiazhi Shenjiamen Zhoushan Zhejiang,Fishery Products
72,3300/02224,"Zhoushan Putuo Hongji Aquatic Products Co., Ltd.",Taimen Putuo Zhoushan Zhejiang China,Fishery Products
73,3300/02228,"Zhejiang Dayang Aquatic Products Co., Ltd.","Ximatou, Ganlan, Zhoushan, Zhejiang",Fishery Products
74,3300/02229,"Gold Star Fishery Zhoushan Co., Ltd.",Zhoushan Shenjiamen Halobios Industry Area,Fishery Products
75,1300/02276,"Qinhuangdao Haiyang Aquatic Products Co.,Ltd","Chiyangkou Three Village, Beidaihe New District, Qinhuangdao City, Hebei Province, China","I.Q.F Scallop Adductor, Frozen Poulp Squid, Frozen Boiled Scallop Meat, Frozen Boiled Baby Clam Meat, Dread Scallop"
76,3300/02232,"Zhoushan Mingyu Aquatic Product Co.,Ltd.","Pingyang Industrial Zone, Putuo District, Zhoushan, Zhejiang, China",Fishery Products
77,3300/02237,"ZHEJIANG INDUSTRIAL GROUP CO.,LTD. SQUID PROCESSING FACTORY","Dagan, Putuo, Zhoushan, Zhejiang, China",Fishery Products
78,3300/02243,"Zhoushan KATOKA Food Co., Ltd.","Puxi Economic Development Zone, Putuo, Zhoushan, Zhejiang",Fishery Products
79,1300/02268,"QinHuangDaoLongYue Foods Co.,Ltd","The Middle Of Coastal Road Qinhuangdao To Shanhaiguan , Hebei Province",Fishery Products
80,3300/02256,"Zhoushan Jinyuan Aquatic Foods Co., Ltd.","Puxi Develoment Zone, Putuo, Zhoushan, Zhejiang",Fishery Products
81,3300/02257,"Zhoushan Putuo Haichen Aquatic Products Co., Ltd.","Halbios Industry Zone, Shenjiamen, Putuo, Zhoushan, Zhejiang, China",Fishery Products
82,3300/02259,"Zhoushan  Zhoufeng  SeaFoods CO., Ltd.",No.20 Xinhua Road Puxi Development District Putuo Zhoushan Zhejiang China,Fishery Products
83,3300/02260,"Taizhou Yilida Aquatic Product Co.,Ltd.","300 Gongren Road,jiaojiang,taizhou,zhejiang,china",Fishery Products
84,3300/02262,"Zhoushan Yueyang Food Co., Ltd.","No.1, Yueyang Road, Yancang, Dinghai, Zhoushan, Zhejiang, China",Fishery Products
85,3300/02268,"Zhoushan Putuo Huaxing Marine Products Co., Ltd.","Marine Organisms Industry Zone, Shenjiamen, Putuo, Zhoushan, Zhejiang, China",Fishery Products
86,3700/02D87,""" Yantai Transocean Foodstuff Co.,Ltd""","3ï¼no.62 Beijing North Road,dajijia District,yantai Etdz,shandong Province",Fishery Products
87,3300/02275,"ZHOUSHAN HAIZHOU AQUATIC PRODUCTS CO.,LTD.FOODS PROCESSING FACTORY",Shenjiamen Halobios Industrial Zone Zhoushan Zhejiang China,Fishery Products
88,3300/02278,"Zhoushan Lianghong Aquatic Foods Co., Ltd.","Halobios Industry Area, Shenjiamen, Zhoushan, Zhejiang",Fishery Products
89,3300/02279,"Zhoushan City Shengtai Aquatic Co., Ltd.","Yulong, Zhujiajian, Putuo, Zhoushan, Zhejiang",Fishery Products
90,3300/02282,"Zhoushan Fresh Foods CO.,LTD.","No.22,xinyuanroad,puxidevelopmentzone,putuo,zhoushan,zhejiang,china",Fishery Products
91,3300/02283,ZHEJIANG H&P FOODS LIMITED,"No.18 Haibo Rd.,pingyang Industrial Zone, Putuo, Zhoushan,zhejiang,p.r.china",Fishery Products
92,3300/02285,"Zhoushan Huiyetiancheng Aquatic Products Co.,Ltd.",Puxi Industry Zone Goushan Putuo Zhoushan Zhejiang China,Fishery Products
93,3300/02339,"Zhejiang Longsheng Aquatic Products Co.,Ltd.","246 Zhao San Wang,kanmen,yuhuan",Fishery Products
94,3300/02430,"Zhejiang Haizhiwei Aquatic Products Co.,Ltd.","Yingbin Avenue,songmen,wenling,zhejiang,china",Fishery Products
95,3302/02003,"Ningbo Today Foods Co.,Ltd","No.38 Zhong Xing East Road,xikou,ningbo,china",Canned Seafood;Frozen Seafood;Dried Seafood
96,3302/02011,"Ningbo Feiri Marine Industrial Co.,Ltd","No.1 Xinggang West Road, Shipu, Xiangshan, Ningbo, Zhejiang, China",Frozen Seafood;Canned Seafood;Dried Seafood
97,3302/02018,Ningbo Yuzhimei Seafood Plant,"No.209-3 North Daqing Road,ningbo,china",Frozen Seafood;Smoked Seafood;Cooked Seafood;Dried Seafood
98,3302/02020,"Ningbo Nanlian Frozen Foods Co.,Ltd","Jiangshan Town, Yinzhou, Ningbo,china",Frozen Seafood;Cooked Seafood
99,3302/02021,"Ningbo Qiulong Aquatic Products Co.,Ltd","Dazha,xianxiang Town,yinzhou District,ningbo,china",Frozen Seafood;Cooked Seafood
100,3302/02032,"Ningbo Sanying Aquatic Food Co.,Ltd","Nanmen Developing Changguo Town, Xiangshan, Ningbo, China",Frozen Seafood;Dried Seafood;Smoked Seafood Products
101,3302/02034,"Ningbo Fengmao Seafood Processing Co., Ltd","131, North Daqing Road, Ningbo, Zhejiang, China",Frozen Seafood;Smoked Seafood;Cooked Seafood;Dried Seafood
102,3302/02042,"Xiangshan Yinlong Seafood Co.,Ltd","Xiangshan Shipu Fish City Of Ningbo, China",Frozen Seafood
103,3302/02053,"Ningbo Lusheng Food Processing Co.,Ltd","Tainingtou, Xiaotang, Xiangshan, Ningbo, China",Frozen Seafood
104,3302/02054,"Ningbo Xinhong Food Co.,Ltd","No.9 Lushan Middle Road, Beilun, Ningbo, China",Frozen Seafood;Smoked Seafood Products
105,3302/02055,"Zhejiang E.C.S. Foods Co.,Ltd","Fenghua Private Science And Technology Zone, Jiangkou,fenghua,zhejiang, China",Frozen Seafood
106,3302/02056,"Ningbo Xinzhiyuan Food Co.,Ltd","Beitang Development Zone, Juexi, Xiangshan, Ningbo, China",Frozen Seafood;Dried Seafood;Smoked Seafood Products
107,3302/02058,"Ningbo Lanyang Aquatic Food Co.,Ltd","No.9-10 Shipu Aquatic Processing Park, Xiangshan, Zhejiang, China",Frozen Seafood
108,3302/02060,"Ningbo Fengsheng Foods Co., Ltd","#10, No.4 Xingye Road, East  Free Trade Zone, Ningbo, China",Frozen Seafood;Cooked Seafood
109,3302/02062,"Tropical Food Manufacturing (Ningbo)Co.,Ltd.","78 Binjiang Road,xiaogang, Ningbo, China",Frozen Seafood;Cooked Seafood
110,3302/02064,"Xiangshan Shipu Guolong Aquatic Products Co.,Ltd","Xinggang West Road, Shipu, Xiangshan, Ningbo, China",Frozen Seafood
111,3302/02065,Ningbo Jiangbei Dahua Aquatic Products Factory,"No.261,building 18 Daqing North Road, Ningbo, China",Dried Seafood
112,3302/02075,"Ningbo Tri-Ocean Food Co.,Ltd.","No.32 Zhongxing Rd(e) Xikou, Ningbo, China",Dried Seafood
113,3500/01113,"Dongshan Dongyi Foods Co., Ltd.","No.891, Dongxing Road, Tongling Town, Dongshan County, Fujian, China",Fishery Products
114,3500/01147,"Fujian Yuansheng Foods Industry Co.,Ltd.","No.1, Changfa Road, Mawei District, Fuzhou City, Fujian, China",Fishery Products
115,3500/02015,"Fujian Taifeng Frozen Foodstuffs Co., Ltd.","Taiyuan Village, Chengfeng Town, Yongtai County, Fujian, China",Fishery Products
116,3500/02036,"Fuqing Yihua Aquatic Food Co., Ltd.","No.8 Longjin Road, Longtian Town, Fuqing City, Fujian Provingce, China",Fishery Products
117,3500/02042,"FUJIAN DONGSHUI FOOD Co., Ltd","Meixin, Meihua Town, Changle City, Fujian, China",Fishery Products
118,3500/02046,"Dongshan Shunda Seafoods Co., Ltd.","Dawo Street, Tongling Town, Dongshan, Fujian, China",Fishery Products
119,3500/02047,"Fujian Wanhai Aquatic Industry Co., Ltd.","No.1 Qinhui Road, Taimushan Town, Fuding, Ningde, Fujian, China",Fishery Products
120,3500/02048,"Licheng Aquatic Product Foodstuff Co., Ltd. Shishi","No.227,xianggu Road, Xiangzhi Town, Shishi City, Quanzhou City, Fujian Province, China",Fishery Products
121,3500/02049,"Jinsheng Aquatic Product Co., Ltd. Ningde Fujian","Erdu, Feiluan Town, Ningde, Fujian, China",Fishery Products
122,3500/02055,"Changle Pacific Food Co., Ltd.","Fuzhou Changle Airport Industrial Park, Fujian, China",Fishery Products
123,3500/02056,"Longhai Gelin Seafoods Co., Ltd.","Gangwei Town, Longhai City, Fujian, China",Fishery Products
124,3500/02061,"Jinjiang Fuhong Aquatic Co., Ltd. Fujian","Fishery Quay Of Shenhu Town, Jinjiang City, Fujian, China",Fishery Products
125,3500/02072,"Fujian Allied Frozen Foodstuff Co., Ltd.","No.6 Gaowang Road,gaishan Investment Zone Canshan District,fuzhou,fujian, China",Fishery Products
126,3500/02073,"Fuqing Huaxin Food Co., Ltd.","Rongqiao Ind. Development Zone, Fuqing, Fujian, China",Fishery Products
127,3500/02075,"Ningde Ronghai Fishery Co., Ltd.","Feiluan Town, Jiaocheng, Ningde, Fujian, China",Fishery Products
128,3500/02078,"Dongshan Dongxing Aquatic Processing Co., Ltd.","No.892  Dongxing Road, Tongling Town, Dongshan, Fujian, China",Fishery Products
129,3500/02089,"Fuqing Yuansheng Aquatic Foodstuff Development Co., Ltd.","No.188 Longjin Road, Longtian Town, Fuqing, Fujian, China",Fishery Products
130,3500/02091,"Fujian Fuding Seagull Fishing Food Co., Ltd.","Shuijingtou Industrial Region, Taimu Mountain Town, Fuding, Fujian, China",Fishery Products
131,3500/02093,"Fuqing Longwei Aquatic Foodstuff Co., Ltd.","Xiadian Dongting Village, Longtian Town, Fuqing, Fujian, China",Fishery Products
132,3500/02099,"Changle Juquan Foods Co., Ltd.","Liyushan Village, Heshang Town, Changle City, Fujian, China",Fishery Products
133,3500/02100,"Longhai Jiarong Foods Co., Ltd.","Gangwei Town, Longhai City, Fujian, China",Fishery Products
134,3500/02102,"Fujian Zhonghai Roast Eel Co., Ltd.","No.6,chuangye Road,dongshan Economic&technology Development Area,fujian",Fishery Products
135,3500/02108,"Dongshan Haikui Aquatic Products Group Co., Ltd. Fujian","Dongshan County Economic And Technology Development Area, Fujian, China",Fishery Products
136,3500/02109,"Rixiang Ocean Foodstuff Co., Ltd. Shishi","Dabao Industrial Zone, Xiangzhi Town, Shishi City, Fujian, China",Fishery Products
137,3500/02112,FUJIAN XINFU AQUATIC PRODUCTS GROUP LIMITED COMPANY,"Xipu Industrial Area, Dongshan, Fujian, China",Fishery Products
138,3500/02114,"Zhangzhou Yuanxin Foodstuff Co.,Ltd.","1 Jiangbei Jiangkou, Qianting Town, Zhangpu County, Fujian, China",Fishery Products
139,3500/02118,"Dongshan Yinghai Aquatic Co., Ltd.","Dongshan Xipu Industrial And Trade Zone, Fujian, China",Fishery Products
140,3200/02126,"Yancheng Huijia Aquatic Product Science and Technology Co., Ltd.","No.3 Workshop, Health Food Industrial Park, Sheyang Port Economic Development Zone, Sheyang County, Yancheng City, Jiangsu Province, China","Frozen Fish(Monkfish, Octopus,Pomfret ) ,Frozen Chyme Product( Fish Surimi ,Fish Ball, Fish Cake, Fish Tofu, Imitation Crab Stick),Salted Fishery Product (Jellyfish,Shrimp,Fish)"
141,3500/02125,"Fujian Dongshan County Shunfa Aquatic Product Co., Ltd.","Gongmao Zone, Xipu Town, Dongshan County, Fujian Province, China",Fishery Products
142,3500/02129,"Minnan Aquatic Development Co., Ltd. Jinjiang City","Jinnan Development District Of Longhu Town, Jinjiang City, Fujian, China",Fishery Products
143,3500/02437,"Fujian D&X Food Technology Co.,Ltd.","No.201/23 Meitian Village,feiluan Town,jiaocheng District,ningde City,fujian Province,china",Fishery Products
144,3500/02134,"Fuqing Chaohui Aquatic Food Co., Ltd.","No.13 Fulu North Road, Economic And Development District,longtian , Fuqing, Fujian, China",Fishery Products
145,3500/02136,"Fuzhou Xintai Food Development Co., Ltd.","Xi Er Huan Road, Fengshan Town, Luoyuan, Fujian, China",Fishery Products
146,3500/02140,"Dongshan Lante Seafood Processing Co., Ltd.","Daao Harbor, Tongling Town, Dongshan County, Fujian, China",Fishery Products
147,3500/02141,"Longsheng Dongshan Aquatic Products Co., Ltd.","No.6 Donghuan Road, Xipu Town, Dongshan County, Fujian, China",Fishery Products
148,3500/02144,"Longhai Oriland Seafood Co., Ltd.","Dongyuan Industry Zone, Longhai City, Fujian, China",Fishery Products
149,3500/02145,"Fujian Dongya Aquatic Products Co., Ltd.","Houyao Village, Chencheng Town, Dongshan County, Fujian, China",Fishery Products
150,3500/02151,"Dongshan Dongsheng Food Co., Ltd.","Xipu Industrial Zone, Dongshan County, Fujian Province, China",Fishery Products
151,3500/02153,"Fujian Zhaoan Dongxin Foods Co., Ltd.","Houhu, Meiling Town, Zhaoan County, Fujian, China",Fishery Products
152,3500/02154,"Zhangzhou Hsien-pin Frozen Foods Co., Ltd.","Chi-shing (seven Star) Industrial Park, Yunxiao, Zhangzhou, Fujian, P.r.china",Fishery Products
153,3500/02157,"Dongshan Xinhefa Food Co., Ltd.","Trade And Industrial Zone, Tongling Town, Dongshan County, Fujian, China",Fishery Products
154,3500/02158,"Fuzhou Fuquan Food Co., Ltd.","Liyushan, Heshang Town, Changle City, Fujian, China",Fishery Products
155,3500/02161,"Fuqing Maowang Seafood Developing Co., Ltd.","Gaozhong Industrial Area, Gaoshan Town, Fuqing City, Fujian, China",Fishery Products
156,3500/02163,"Fuqing Haifeng Food Co., Ltd.","Fuqing Jingyang Industrial Zone, Fujian Province, China",Fishery Products
157,2100/02327,"Dalian Zhong Shan Foods.Co.,Ltd.","Dalongtang Village Longwangtang Street,lvshunkou District Dalian China",Fishery Products
158,3500/02167,"Fujian Dongwei Food Co.,Ltd","No.5,fulu Centre Road,long Tian Economic Development Area,fuqing City,fujian,china",Fishery Products
159,3500/02168,"Fuzhou Mandy Foods Industries Co., Ltd.","Workshop 01ï¼floor 3,processing Workshop 2,districtc,haixia Aquatic Products Trading Center And Business Support,no.66 Qingzhou Road,luoxing Street,mawei District, Fuzhou City, Fujian Province., China",Fishery Products
160,3500/02169,"Zhangzhou Quanfeng Foods Development Co., Ltd.","Huangcang Industrial Zone, Suian Town, Zhangpu County, Fujian, China",Fishery Products
161,3500/02170,"Jiachang Aquatic Product Co., Ltd. Longhai","Doumei, Gangwei Town, Longhai, Zhangzhou City, Fujian, China",Fishery Products
162,3500/02171,"Fuqing City Huasheng Aquatic Food Co., Ltd.","Donghua Village, Longtian Town, Fuqing City, Fujian, China",Fishery Products
163,3500/02173,"Zhangzhou Oceanrich Foodstuffs Co., Ltd.","Suian Industrial District, Zhangpu, Fujian, China",Fishery Products
164,3500/02174,"Dongshan Huachang Foodstuff Co., Ltd.","Dongshan Economy And Technology Development Zone, Fujian, China",Fishery Products
165,3500/02178,"Fuzhou Rixing Aquatic Food Co., Ltd.","Dacheng Village,xiaocheng Town, Lianjiang County, Fujian, China",Fishery Products
166,3500/02179,"Shishi Zhengyuan Aquatic Product Science &Technology Development Co., Ltd.","No 259, Yongmei Road, Yongning Town, Shishi City, Quanzhou City, Fujian, China.",Fishery Products
167,3500/02180,"Fuzhou Lucky Foods Co., Ltd.","Dinghai Village, Lianjiang, Fujian, China",Fishery Products
168,3500/02185,"Ningde Xiawei Food Co., Ltd.","Floor 1-3, Building 1 No.13 Lincong Road, Dongqiao Economic Development Zone,ningde, Fujian, China",Fishery Products
169,3500/02186,"Dongshan Dongxiecheng Seafoods Co., Ltd.","Trade & Industry Zone, Tongxing Village, Tongling Town, Dongshan County, Fujian, China",Fishery Products
170,3500/02187,"Haili Aquatic Co., Ltd. Zhaoan Fujian","Sidu Town, Zhaoan County, Fujian Province, China",Fishery Products
171,2100/02B17,Dandong Frontier Economic Cooperation Zone Quantity Of Frozen Food Processing Plants,"Dandong Economic Cooperation Zone Jianghai Office Hailong Neighborhood Committee 101, Donggang City, Dandong City, Liaoning Province",Fishery Products
172,3500/02189,"Zhangzhou Changshan Haizhiwei Frozen Food Co., Ltd.","Wuyuan.administration Block, Changshan Development Zone, Zhanzhou, Fujian, China",Fishery Products
173,3500/02193,"Zhaoan Anbang Aquatic Foods Co., Ltd.","Industrial Park Of Meiling Town, Zhaoan County, Fujian, China",Fishery Products
174,3500/02195,"Shishi Hengtai Marine Food Co., Ltd.","Xiangnong Ocean Technology Park, Shishi City, Fujian, China",Fishery Products
175,3500/02196,"Fujian Dongwuyang Food Co., Ltd.","No.8 Dongguan Taoyuan Industrial Park, Songgang Street, Xiapu County, Fujian, China",Fishery Products
176,3500/02197,"NINGDE HAIHONG SEAFOOD CO., LTD","101 Building Yuhui Seafood Frozen Processing Factory #15 Lincong Road, Dongqiao Economic Development, Ningde, Fujian, China",Fishery Products
177,3500/02198,"Longhai Desheng Seafood Stuff Co., Ltd.","Houshi Industry Zone, Gangwei Town, Longhai City, Fujian, China",Fishery Products
178,3500/02202,"Fuzhou Hongdong Foods Co., Ltd.","8-1-2 Fuzhou Free Trade Zone, Fujian, China",Fishery Products
179,4400/02390,"Shantou Yihong Aquatic Products Co.,Ltd.","Hengxiang Industrial,yangyu Village, Houzhai Town,nanao County, Shantou,guangdong, China",Fishery Products
180,3500/02208,"Fujian Kunxing Ocean INC., Ltd.","No.8 Xingye Road, Mawei District, Fuzhou, Fujian, China",Fishery Products
