no,merek dagang,cara pemakaian,pembuat
830 ,HALTER 80 SL,"Nenas : meningkatan persentase pembungaan (Penyemprotan volume tinggi : 0,5 - 1 ml/l)",PT Dharma Guna Wibawa
831 ,HAJAR 250/150 SC,Bawang merah : penyakit bercak ungu Alternaria porri (Penyemprotan volume tinggi : 2 ml/l) Padi : penyakit hawar pelepah Rhizoctonia solani (Penyemprotan volume tinggi : 4 l/ha),PT Belirang Kalisari
832 ,HAITEK 160 SL,"Kelapa sawit (TBM) : gulma berdaun lebar Ageratum conyzoides, Melastoma affine, Mikania micrantha, gulma berdaun sempit Ischaemum timorense, Ottochloa nodosa (Penyemprotan volume tinggi : 4,5 - 6 l/ha)",PT Dalzon Chemicals Indonesia
833 ,HAGAN 80 WP,"Bawang daun : penyakit bercak ungu Alternaria solani, penyakit embun bulu Peronospora destructor (Penyemprotan volume tinggi : 3 g/l)",PT Jirona Agritama
834 ,HAIL283KK 50 EC,"Di dalam dan di luar ruangan: nyamuk Aedes aegypti Culex quinquifasciatus

 (Pengasapan (Thermal fogging):6,25 ml / 5l / ha
) Di dalam dan di luar ruangan: nyamuk Aedes aegypti Culex quinquifasciatus
 (Pengkabutan (ULV):6,25 ml / 5l / ha
)",PT Vadel Ksatria Samudra Indonesia
835 ,GUNTUR 75 WP,"Bawang merah : ulat grayak Spodoptera exigua (penyemprotan volume tinggi : 0,45 - 0,6 kg/ha) Kentang : pengorok daun Liriomyza hudobrensis (penyempotan volume tinggi : 0,15 - 0,3 kg/ha) Kentang : kutu daun Myzus persicae (Penyemprotan volume timggi :  0,3 - 0,6 kg/ha) Padi : wereng coklat Nilaparvata lugens (penyemprotan volume tinggi : 0,3 - 0,6 kg/ha) Padi : walang sangit Leptocorisa oratorius (Penyemprotan volume tinggi : 1,5 - 2 g/l) Padi : hama belalang Oxya sp. (Penyemprotan volume tinggi : 1 - 2 g/l)",PT Sari Kresna Kimia
836 ,GULMAXONE 276 SL*,"Budidaya tanaman tebu : gulma berdaun lebar 
Ageratum conyzoides
Amaranthus spinosus
Cleome rutidospermae
golongan rumput 
Cynodon dactylon
Digitaria ciliaris
Ischaemum timorense 
 (Penyemprotan volume tinggi  : 1,5 - 2 l/ha) Karet (TM) : gulma berdaun lebar
Borreria alata
Diodia sarmentosa
Synedrella nodiflora
golongan rumput 
Ottochloa nodosa
pakis 
Cyclosorus aridus 
 (Penyemprotan volume tinggi  : 1,5 - 3 l/ha) Kelapa sawit (TBM) : gulma berdaun lebar
Borreria alata
Mikania micrantha
 (Penyemprotan volume tinggi:
2-4 l/ha
) Kelapa sawit (TBM) : golongan rumput 
Paspalum conjugatum 
 (Penyemprotan volume tinggi : 1,5 - 3 l/ha)",PT Surat Tani
837 ,"GUELA 12,5 PA",Karet : merangsang keluarnya lateks (Pengolesan pada bidang sadap : 1 g/pohon/aplikasi),PT Petrosida Gresik
838 ,GULL 240 EC,"Bawang merah : gulma berdaun lebar Amaranthus spinosus, Portulaca oleracea, gulma berdaun sempit Echinochloa colonum (Penyemprotan volume tinggi : 1,5 - 2,5 l/ha)",PT Agrokimindo Kurniabuana
839 ,GULMARON 500 SC,"Tebu:  gulma berdaun lebar 
Ageratum conyzoides
Mikania micrantha
gulma berdaun sempit 
Digitaria ciliaris (Penyemprotan volume tinggi:
2,25 - 3 l/ha )",PT Tribina Tanikarya
840 ,GULMARON 80 WP,"Tebu:  gulma berdaun lebar 
Richardia brasiliensis
Synedrella nodiflora
gulma berdaun sempit 
Eleusine indica (Penyemprotan volume tinggi:
1,5 - 2,5 kg/ha )",PT Tribina Tanikarya
841 ,GUDPRUF 210 EC,"Di dalam dan luar ruangan: nyamuk
Aedes aegypti
Culex quinquefasciatus (Pengabutan (ULV):
10 ml/l/ha) Di dalam dan luar ruangan: nyamuk
Culex quinquefasciatus (Pengasapan (thermal fogging):
10 ml/5 l/ha) Di dalam dan luar ruangan: nyamuk
Aedes aegypti (Pengasapan (thermal fogging):
5 ml/l/ha)",PT Sanjaya Sumber Berkat
842 ,GROWNIL 75 WP,"Cabai : penyakit bercak daun Cercospora capsici, penyakit busuk buah Colletotrichum capsici (Penyemprotan volume tinggi : 1,5 g/l) Kentang : penyakit busuk daun Phytophthora infestans (Penyemprotan volume tinggi : 0,75 - 0,15 g/l)",PT Fortuna Mulia Sejati
843 ,GRASSOFF 480 SL,"Kelapa sawit (TBM) : gulma berdaun lebar 
Borreria alata
golongan rumput
Ottochloa nodosa
Paspalum conjugatum  (Penyemprotan volume tinggi:
4 - 5 l/ha )",PT Multikimia Agro Sejahtera
844 ,GRAVITAS 200 SL,"Kelapa sawit (TBM) : gulma berdaun lebar Borreria alata, Mikania micrantha, gulma berdaun sempit Ottochloa nodosa, Paspalum conjugatum (Penyemprotan volume tinggi : 2 - 3 l/ha)",PT Nufarm Indonesia
845 ,GREENACOL 70 WP,Bawang merah : penyakit bercak ungu Alternaria porri (Penyemprotan volume tinggi : 2 g/l),PT Green Apple Indonesia
846 ,GREENAMEC 36 EC,"Cabai : hama trips Thrips parvispinus, kutu daun Myzus persicae (Penyemprotan volume tinggi : 0,725 ml/l)",PT Green Apple Indonesia
847 ,GRESSRUX 18 EC,"Bawang merah: hama ulat grayak
Spodoptera exigua (Penyemprotan volume tinggi:
1,5 ml/l)",CV Rowano
848 ,GROAMIN 865 SL,"Padi : gulma berdaun lebar Monochoria vaginalis, Ludwigia hyssopifolia, dan gulma berdaun sempit Echinochloa colonum, Echinochloa crusgalli, Leptochloa chinensis, Paspalum distichum, teki Cyperus difformis, Fimbristylis littoralis, Scirpus juncoides (Penyemprotan volume tinggi : 0,5 - 1 l/ha) Tebu : gulma berdaun lebar Phyllanthus niruri, Cleome aspera, Alternanthera philoxeroides, Synedrella nodiflora (Penyemprotan volume tinggi : 1 - 2  l/ha) Tebu : gulma berdaun sempit Echinochloa colonum, teki Cyperus rotundus (Penyemprotan volume tinggi : 2 - 3 l/ha)",PT Tunasharapan Murni
849 ,GRANGE 25 EC,Cabai : ulat grayak Spodoptera litura (Penyemprotan volume tinggi : 1 ml/l),PT Surat Tani
850 ,GRANDALLY 25 WP,"Karet (TBM) : gulma berdaun lebar Clidemia hirta, Chromolaena odorata, Mikania micrantha, Synedrella nodiflora (Penyemprotan volume tinggi : 100 - 150 g/ha)",PT Tiga Muara Emas Makmur
851 ,GOSONGTOP 276 SL*,"Budidaya Jagung (TOT) : gulma berdaun lebar Ageratum conyzoides, Alternanthera sessilis, Synedrella nodiflora, gulma berdaun sempit Digitaria ciliaris, Eleusine indica (Penyemprotan volume tinggi : 1,5 - 2 l/ha) Budidaya kelapa sawit (TBM) : gulma berdaun lebar Borreria alata, Clidemia hirta, gulma berdaun sempit Ottochloa nodosa, Paspalum conjugatum (Penyemprotan volume tinggi : 1,5 - 3 l/ha)",CV Binangun Agro Lestari
852 ,GOQUAT 140 SL*,"Karet gulma berdaun lebar Ageratum conyzoides  Borreria alata

 (Penyemprotan volume tinggi:1,5 - 3 l/ha


) Karet golongan rumput   Anoxopus compressus Imperata cylindrica Ottochloa nodosa
 (Penyemprotan volume tinggi:1,5 - 3 l/ha
)",PT Agrotech Pesticide Industry
853 ,GONZALES 80 WP,"Tebu : gulma berdaun lebar Cleome aspera, Ipomoea triloba, gulma berdaun sempit Eleusine indica (Penyemprotan volume tinggi : 1 - 2 kg/ha)",PT Indo Hoechst
854 ,GOLSTAR 250 SC,"Mangga : Meningkatkan pembungaan dan pembentukan buah (Penyemprotan volume tinggi:
 8 ml/l/pohon)",PT Deltagro Mulia Sejati
855 ,GOLOK 240 EC,"Bawang Merah : gulma berdaun sempit Leptochloa chinensis, teki Cyperus difformis (Penyemprotan volume tinggi : 1 - 2 l/ha)",PT Deltagro Mulia Sejati
856 ,GOLMA 240 EC,"Bawang merah : gulma berdaun lebar Portulaca oleracea, gulma berdaun sempit Echinochloa colonum, Eleusine indica (Penyemprotan volume tinggi : 1,5 - 2,5 l/ha)",PT Indagro
857 ,GOLDENSNAIL 6 PL,"Padi sawah: hama siput murbei
Pomacea canaliculata (Penyemprotan volume tinggi:
8 kg/ha)",PT Maju Makmur  Utomo
858 ,GOLDZONE 276 SL*,"Kelapa sawit  - gulma berdaun lebar Ageratum conyzoides Asystasia gangetica Mikania micrantha Synedrella nodiflora
- golongan rumput Ottochloa nodsao
 (Penyemprotan volume tinggi 1 - 2 l/ha
)",PT Mitra Kreasidharma
859 ,GOLDEN GIBB 5 TB,"Bawang merah: meningkatkan tinggi tanaman, komponen hasil dan hasil tanaman (Penyemprotan volume tinggi:
3,75 g/l air/aplikasi
(9,16, dan 30 HST))",
860 ,GOBEST 250 SC,"Apel : meningkatkan jumlah bunga, meningkatkan jumlah buah yang dipanen, bobot per buah, bobot buah per pohon dan dugaan hasil per hektar (Penyemprotan volume tinggi : 1 - 2 ml/l/pohon) Bawang merah : Meningkatkan jumlah umbi/rumpun, bobot umbi/petak, hasil umbi /ha (Penyemprotan volume tinggi:
1 ml/l (40 HST)) Mangga : meningkatkan pembungaan, jumlah pentil/buah, 
jumlah buah/pohon dan hasil produksi (Penyiraman : 
5 ml/pohon )",PT Petrokimia Kayaku
861 ,GMAX 18 EC,"Cabai: hama trips
Thrips parvispinus (Penyemprotan volume tinggi:
2 ml/l)",CV Artha Buana Mandiri
862 ,GOBANG 110 EC,"Bawang merah : perusak daun Spodoptera exigua (Penyemprotan volume tinggi : 1 - 2 ml/l) Cabai : ulat grayak Spodoptera litura (Penyemprotan volume tinggi : 1 - 2 ml/l) Kakao  : pengisap buah Helopeltis antonii (Penyemprotan volume tinggi  : 0,5 - 1 ml/l) Kedelai : ulat grayak Spodoptera litura (Penyemprotan volume tinggi : 1 - 2 ml/l) Semangka : hama Thrips sp., kutu daun Aphis sp. (Penyemprotan volume tinggi : 1 - 2 ml/l) Tembakau : kutu daun Myzus persicae (Penyemprotan volume tinggi : 1 - 2 ml/l) Tomat : kutu daun Aphis sp. (Penyemprotan volume tinggi : 1 - 2 ml/l)",CV Rowano
863 ,GLYTRON 310/49 EC,"Kelapa sawit (TBM):  gulma berdaun lebar  
Borreria alata
Mikania Micrantha
gulma berdaun sempit
Paspalum conjugatum  (Penyemprotan volume tinggi:
1,5 - 2,5 l/ha )",PT Nufarm Indonesia
864 ,GLYSTAR 480 SL,"Kelapa sawit (TBM) : gulma berdaun lebar Borreria alata, Mikania micrantha, gulma berdaun sempit Ottochloa nodosa (Penyemprotan volume tinggi  : 3 - 4 l/ha)",PT Excel Meg Indo
865 ,GLUFOSTAR 135/40/7 ME,"Karet (TM): gulma berdaun lebar Ageratum conyzoides, Asystasia intrusa, Boreria alata, Clidermia hirta; golongan rumput Ischaemum timorense, Ottochloa nodosa (Penyemprotan volume tinggi:
2 - 3 l/ha)",CV Multiagro Sarana Cemerlang
866 ,GLUFOSIN 200 SL,"Kelapa sawit (TBM): gulma berdaun lebar Asystasia gangetica, Chromolaena odorata, Mikania micrantha, Mikania timorense; golongan rumput Ischaemum timorense, Ottochloa nodosa, Paspalum conjugatum, Setaria plicata (Penyemprotan volume tinggi :
1,5 - 2,5  l/ha)",CV Rowano
867 ,GLOVE 240 EC,"Bawang merah : gulma berdaun lebar Ageratum conyzoides, Euphorbia hirta, Portulaca oleracea, Synedrella nodiflora; gulma berdaun sempit Echinochloa colonum, Eleusine indica (Penyemprotan volume tinggi:
1,5 - 2 l/ha)",PT Nufarm Indonesia
868 ,GLUFOS 200 SL,"Kelapa sawit (TM): gulma berdaun lebar Asystasia gangetica, Mikania micrantha; golongan rumput Axonopus compresus, Ottochloa nodosa (Penyemprotan volume tinggi:
1,5 - 3 l/ha)",PT Rabana Agro  Resources
869 ,GLISTER 480 SL,"Jagung (TOT) : gulma berdaun lebar Ageratum conyzoides, Borreria repens, Cleome rutidosperma, gulma berdaun sempit Digitaria ciliaris, Eleusine indica (Penyemprotan volume tinggi : 1,5 - 3 l/ha) Kelapa sawit (TBM) : gulma berdaun lebar Chromolaena odorata, Mikania micrantha, gulma berdaun sempit Ischaemum timorense, Setaria plicata (Penyemprotan volume tinggi : 1,5 - 3 l/ha)",PT Sinon Indonesia
870 ,GLINAT 150 SL,"Budidaya kelapa sawit (TBM) : gulma berdaun lebar Borreria alata, Mikania micrantha, gulma berdaun sempit Eleusine indica (Penyemprotan volume tinggi : 2,5 - 5 l/ha)",PT Sentana Adidaya Pratama
871 ,GLIMAX 480 SL,"Kelapa sawit (TBM) : gulma berdaun lebar 
Borreria alata
Mikania micrantha
golongan rumput
Ischaemum timorense
Ottochloa nodosa
alang-alang 
Imperata cylindrica  (Penyemprotan volume tinggi : 2,5 - 3 l/ha)",PT Sentana Adidaya Pratama
872 ,GLIFOMIN 300/100 SL,"Jagung (TOT) : gulma berdaun lebar Rotboella exaltata, Ageratum conyzoides, Richardia brassiliensis, Commelina benghalensis, gulma berdaun sempit Digitaria setigera, Eleusine indica (Penyemprotan volume tinggi : 2 - 4 l/ha) Kakao (TBM) : gulma berdaun lebar Ageratum conyzoides, Borreria sp., gulma berdaun sempit Setaria plicata (Penyemprotan volume tinggi : 1,5 - 3 l/ha) Kakao (TBM) : gulma berdaun sempit Axonopus compressus (Penyemprotan volume tinggi : 2,25 - 3 l/ha) Karet (TBM) : gulma berdaun sempit Axonopus compressus, alang-alang Imperata cylindrica (Penyemprotan volume tinggi : 3 - 6 l/ha) Karet (TM) : gulma berdaun sempit Axonopus compressus, Centotecha lapacea, Ottochloa nodosa, paku-pakuan Cyclosorus aridus, Diplazium asperum, Nephrolepis bisserata, teki Cyperus iria (Penyemprotan volume tinggi : 2,25 - 3,75 l/ha) Karet (TM) : alang-alang Imperata cylindrica (Penyemprotan volume tinggi : 4 - 6 l/ha)",PT Fadjar Purna Sarana
873 ,GLIDER 25 TB,"Bawang merah : Meningkatkan komponen hasil dan hasil tanaman. (Penyemprotan volume tinggi : 0,075 g/l (0,75 tablet/50 l))",CV Makmur Jaya Bekasi
874 ,GLIDAMIN 300/100 SL,"Kakao : golongan rumput
Axonopus compressus
Ottochloa nodosa
 (Penyemprotan volume tinggi : 3 l/ha) Karet (TBM) : gulma berdaun lebar Mikania sp. (Penyemprotan volume tinggi : 1,5 l/ha) Karet (TBM) : gulma berdaun sempit Axonopus copressus, Paspalum conjugatum (Penyemprotan volume tinggi : 5 l/ha) Karet (TM) : gulma berdaun lebar Ageratum conyzoides (Penyemprotan volume tinggi : 6 l/ha) Karet (TM) : gulma berdaun sempit Axonopus copressus, Paspalum conjugatum (Penyemprotan volume tinggi : 1,5 l/ha) Kelapa (TBM) : gulma berdaun sempit Axonopus compressus, Ischaemum indicum, Paspalum conjugatum (Penyemprotan volume tinggi : 1,5 - 3 l/ha) Kelapa (TM) : gulma berdaun sempit Axonopus compressus, Ischaemum indicum, Paspalum conjugatum (Penyemprotan volume tinggi : 1,5 - 3 l/ha) Kelapa sawit (TBM) : gulma berdaun sempit Setaria barbata (Penyemprotan volume tinggi : 1,5 l/ha) Kelapa sawit (TM) : gulma berdaun lebar Ageratum conyzoides, Mikania sp.,  gulma berdaun sempit Axonopus compressus, Setaria barbata (Penyemprotan volume tinggi : 1,5 l/ha) Kopi : gulma berdaun lebar Ageratum conyzoides (Penyemprotan volume tinggi : 1,5 - 3 l/ha) Persiapan tanam budidaya padi sawah TOT : gulma berdaun lebar Althernanthera sessilis, Ludwigia octovalvis, Sphenochlea zeylanica, gulma berdaun sempit Echinochloa crus-galli, teki Cyperus iria (Penyemprotan volume tinggi  : 2 - 3  l/ha) Teh : gulma berdaun lebar Ageratum conyzoides (Penyemprotan volume tinggi : 1,5 - 3 l/ha)",PT Adil Makmur Fajar
875 ,GLIBAS 480 SL,"Kelapa sawit (TBM) : gulma berdaun lebar 
Borreria alata
Mikania micrantha
golongan rumput
Ischaemum timorense
Ottochloa nodosa
alang-alang 
Imperata cylindrica  (Penyemprotan volume tinggi:
2,5 - 3 l/ha )",PT Wilmar Chemical Industri
876 ,GITA 80 WP,"Cabai : penyakit bercak daun Cercospora capsici, penyakit busuk daun Phytophthora infestans (Penyemprotan volume tinggi : 1 - 2 g/l) Kentang : penyakit busuk daun Phytophthora infestans (Penyemprotan volume tinggi : 1,5 - 3 g/l) Tomat : penyakit busuk daun Phytophthora infestans (Penyemprotan volume tinggi : 4 g/l)",PT Global Agrotech
877 ,GILAS 130 SL,"Jagung TOT : gulma berdaun lebar Euphorbia hirta Ageratum conyzoides, Borreria alata ; gulma berdaun sempit Digitaria adscendens, Axonopus compressus (Penyemprotan volume tinggi  : 2 - 4 l/ha) kakao (TBM) : gulma berdaun lebar Synedrella nodiflora, gulma berdaun sempit Axonous comressus, Paspalum conjugatum (Penyemprotan volume tinggi  : 4,5 - 6 l/ha) Padi gogo TOT : gulma berdaun lebar Ageratum conyzoides, Alternanthera sessilis, Borreria alata, gulma berdaun sempit Digitaria ciliaris, Eleusine indica (Penyemprotan volume tinggi : 4 l/ha)",PT Adil Makmur Fajar
878 ,GIBBRACID 40 SL,"Bawang merah: meningkatkan tinggi tanaman jumlah daun dan bobot umbi/tanaman, hasil umbi/petak. (Penyemprotan volume tinggi:
1,5 ml/10 l (3 dan 6 MST))",CV Delta Chemica
879 ,GHARDA 365 SL,"Kelapa sawit (TBM) :  Gulma berdaun lebar 
Borreria alata
Calopogonium  mucunoides 
Mikania micrantha
Gulma berdaun sempit 
Ottochloa nodosa
Paspalum conjugatum 
 (Penyemprotan volume tinggi: 
2 - 2,5 l/ha 
)",PT Dharma Guna Wibawa
880 ,GHAJANG 56/100 EC,"Bawang merah: pengorok daun
Liriomyza huidobrensis (Penyemprotan volume tinggi:
1,5 ml/l)",CV Nusa Nur Agro
881 ,GERHANA 865 SL,"Padi sawah : gulma berdaun lebar Monochoria vaginalis, Spenochlea zeylanica, Ludwigia hysophifolia, Lindernia ciliata, teki Cyperus iria, Fimbristylis littoralis (Penyemprotan volume tinggi : 0,75 - 1 l/ha)",CV Tani Mujur
882 ,GESTAPO 450 SL,"Padi : wereng coklat Nilaparvata lugens (Penyemprotan volume tinggi : 1,5 - 2 ml/l)",PD Graha Agro
883 ,GESTUR 32 EC,"Kubis: ulat daun
Plutella xylostella (Penyemprotan volume tinggi:
1 ml/l)",CV Kunima Jaya Selaras
884 ,GENITOP 138 SL*,"Kelapa sawit  gulma berdaun lebar Borreria alata Mikania micrantha  (Penyemprotan volume tinggi : 3 - 4 l/ha 
) Kelapa sawit  gulma berdaun lebar Synedrella nodiflora
 (Penyemprotan volume tinggi : 2 - 4 l/ha
) Kelapa sawit  golongan rumput Ischaemum timorense Paspalum conjugatum
 
 (Penyemprotan volume tinggi : 3 - 4 l/ha
) Kelapa sawit  golongan rumput Ottochloa nodosa
 (Penyemprotan volume tinggi :2 - 4 l/ha

)",PT Sinar General Industries
885 ,GEMPUR 480 SL,"Hutan tanaman industri Accacia mangium : gulma berdaun lebar Ageratum conyzoides, Clidemia hirta, gulma berdaun sempit, Axonopus compressus (Penyemprotan volume tinggi : 3 - 4 l/ha) Hutan tanaman industri Accacia mangium : gulma berdaun sempit Otochloa nodosa (Penyemprotan volume tinggi : 2 - 3 l/ha) kakao (TBM) : gulma berdaun lebar Synedrella nodiflora, Achyranthes indica, Galinsoga parviflora, Commelina diffusa, Mikania micrantha, teki Cyperus killingia (Penyemprotan volume tinggi  : 2 - 3 l/ha) Karet (TBM) : gulma berdaun lebar Mikania micrantha, Diodia sarmentosa, Borreria alata, Clidemia hirta, Commelina diffusa ; gulma berdaun sempit Ischaemum timorense, Ottochloa arnottiana, Paspalum conjugatum (Penyemprotan volume tinggi : 3 - 4 l/ha) Kelapa sawit (TBM) : gulma berdaun lebar Ageratum conyzoides, Cilibadium surinamensis, Commelina diffusa, Mikania micrantha, Tetracera adscendens, gulma berdaun sempit Paspalum conjugatum, Ottochloa nodosa, Cynodon dactylon (Penyemprotan volume tinggi : 3 l/ha) Kopi (TBM) : gulma berdaun lebar Bidens pilosa, gulma berdaun sempit Otochloa nodosa (Penyemprotan volume tinggi : 1 - 2 l/ha) Kopi (TBM) : gulma berdaun sempit Digitaria adscendens (Penyemprotan volume tinggi : 3 - 4 l/ha) Pers. lahan budidaya jagung (TOT) : gulma berdaun lebar Synedrella nodiflora, Ageratum conyzoides, gulma berdaun sempit Paspalum conjugatum, Digitaria spp., Axonopus comressus (Penyemprotan volume tinggi  : 2 - 3 l/ha) Teh : gulma berdaun lebar Borreria alata, Commelina diffusa, Dioda sarmentosa, gulma berdaun sempit Digitaria adscendens, Setaria plicata (Penyemprotan volume tinggi  : 2 - 3 l/ha)",PT Petrokimia Kayaku
886 ,GEMAFUR 3 GR,"Kedelai : lalat bibit Ophiomya phaseoli (Penaburan : 15 - 20 kg/ha) Padi sawah : wereng coklat Nilaparvata lugens, penggerek batang Scirpophaga incertulas (Penaburan : 15 - 20 kg/ha)",PT Fortuna Mulia Sejati
887 ,GELEDEK SHS 480 SL,"Karet (TBM) : gulma berdaun lebar Borreria alata (Penyemprotan volume tinggi  : 4,5 l/ha) Karet (TBM) : gulma berdaun lebar Ageratum conyzoides ; gulma berdaun sempit Paspalum conjugatum (Penyemprotan volume tinggi  : 3 - 4,5 l/ha) Karet (TBM) : gulma berdaun sempit Axonopus compressus (Penyemprotan volume tinggi  : 1,5 - 3 l/ha) Kelapa sawit (TBM) : gulma berdaun lebar Ageratum conyzoides, Ipomoea triloba, gulma berdaun sempit Digitaria ciliaris, teki Cyperus cmpressus (Penyemprotan volume tinggi  : 3 - 4,5 l/ha)",CV Tani Mujur
888 ,GAYA 550 EC,Bawang merah : ulat grayak Spodoptera exigua (Penyemprotan volume tinggi : 1 ml/l),PT Indoin Business Group
889 ,GAVIN 35 WP,"Padi sawah: wereng coklat
Nilaparvata lugens (Penyemprotan volume tinggi:
1,5 g/l)",CV Artha Buana Mandiri
890 ,GATIGA 5 WP,"Padi sawah: meningkatkan tinggi tanaman, jumlah anakan, jumlah anakan produktif, komponen hasil gabah/tanaman, dan hasil gabah/ha (Penyemprotan volume tinggi: 20 - 30 g/ha
(aplikasi pada 30, 50 dan 70 HST))",PT Arena Agro Utama
891 ,GASTOR 100 PA,"Karet : meningkatkan produksi karet kering (Pengolesan pada bidang sadap : 0,45 g/pohon)",PT Agrokimindo Kurniabuana
892 ,GARLON 670 EC,"Karet : Mematikan tunggul tanaman (Pengolesan pada tunggul 
atau pohon:
50 - 100 ml/l ) Kelapa sawit : gulma berdaun lebar 
Chromolaena odorata (Penyemprotan volume tinggi:
0,75 - 1,5 l/ha )",PT Dow AgroSciences Indonesia
893 ,GAPLUS 20 TB,"Bawang merah : meningkatkan tinggi tanaman, jumlah daun, jumlah anakan, komponen hasil, dan hasil tanaman (Penyemprotan volume tinggi : 0,125 g/l)",PT Jawa Agrindo Internasional
894 ,GALUTIN 18 EC,"Bawang merah pengorok daun Liriomyza huidobrensis
 (Penyemprotan volume tinggi 1 ml/l
)",PT Persada Agro  Sukses
895 ,GALIL 300 SC,"Bawang merah :  hama trips
Thrips parvispinus
 (Penyemprotan volume tinggi:
800 ml/ha
) Bibit kelapa sawit:  rayap tanah
Coptotermes curvignathus
 (Penyemprotan volume tinggi:
1,5 ml/ha
) Cabai : hama trips Thrips parvispinus, penggerek buah Helicoverpa armigera (Penyemprotan volume tinggi : 400 ml/ha) Jagung :  hama wereng
Pereginus maydis
 (Penyemprotan volume tinggi:
400 ml/ha
) Kedelai : hama pengisap polong Nezara viridula, penggerek polong Etiella zinckenella (Penyemprotan volume tinggi : 400 - 600 ml/ha) Tomat : penggerek buah Helicoverpa armigera (Penyemprotan volume tinggi : 600 ml/ha) Tomat : kutu kebul Bemisia tabaci, kutu daun Myzus persicae (Penyemprotan volume tinggi : 400 - 600 ml/ha)",PT Royal Agro Indonesia
896 ,GALAXONE 138 SL*,"Kelapa sawit (TBM): gulma berdaun lebar
Mikania micrantha (Penyemprotan volume tinggi:
3 - 3,75 l/ha)",PT Rejeki Indo Agrotec
897 ,GALATOP 620 SL,"Kelapa sawit (TBM): gulma berdaun lebar Borreria alata, Mikania micrantha, gulma berdaun sempit Ottochloa nodosa, Setaria plicata, semak berkayu Diodia sarmentosa (Penyemprotan volume tinggi: 0,75 - 1,5 l/ha)",PT Inti Tani Niaga
898 ,GALAMIN 865 SL,"Padi sawah : gulma berdaun lebar Marsilea crenata, Monochoria vaginalis, Limnocharis flava, Lugwigia octovalvis, gulma berdaun sempit Leptochloa chinensis (Penyemprotan volume tinggi  : 0,75 - 1,50 l/ha)",PT Asia Gala Kimia
899 ,FUTSANIL 50 WP,Kentang : penyakit hawar daun Phytophthora infestans (Penyemprotan volume tinggi : 2 g/l),PT Sinar General Industries
900 ,GALACIDE 150 SL,"Bawang merah:  gulma berdaun lebar Ageratum conyzoides, Borreria alata, Mikania micrantha; gulma berdaun sempit, Ischaemum timorense, Ottochloa nodosa (Penyemprotan volume tinggi:
1,5 - 2,5 l/ha)",PT Rejeki Indo Agrotec
901 ,FUTRICHO P,Bibit kelapa sawit : penyakit busuk batang Ganoderma boninense (Penaburan : 25 g/bibit atau polybag),PT Anugerah Mustika Ostindo
902 ,FUSO 36 WP,"Padi Sawah: gulma berdaun lebar Monochoria vaginalis; golongan rumput Echinochloa crus-galli; teki Cyperus diformis, Fimbristylis miliacea (Penyemprotan volume tinggi:
1 - 1,5 kg/ha)",PT Indo-Sino Agrochemical
903 ,FUSILADE FORTE 150 EC,"Karet (TBM) : gulma berdaun sempit Ottochloa nodosa (Penyemprotan volume tinggi : 1,5 - 3 l/ha)",PT Syngenta Indonesia
904 ,FURY 50 EC,"Bawang merah : ulat grayak Spodoptera exigua (Penyemprotan volume tinggi : 0,5 ml/l) Cabai : hama trips 
Thrips sp. (Penyemprotan volume tinggi:
0,125 ml/l ) Jeruk : hama trips 
Scirtothrips sp.  (Penyemprotan volume tinggi:
0,25 ml/l ) Kentang : hama trips 
Thrips sp.  (Penyemprotan volume tinggi:
0,5 ml/l ) Semangka : hama trips 
Thrips sp. (Penyemprotan volume tinggi:
0,125 ml/l )",PT Bina Guna Kimia
905 ,FUSCO 400 EC,"Bawang merah :  ulat grayak 
Spodoptera litura (Penyemprotan volume tinggi: 
1,5 - 2 ml/l )",PT Delta Giri Wacana
906 ,FURIZEB 80 WP,"Kentang: penyakit hawar daun
Phytophthora infestans (Penyemprotan volume tinggi:
2 g/l)",PT Ditya Chemindo
907 ,FURAXIN 10 SL,"Bawang merah : penyakit bercak ungu Alternaria porri, penyakit busuk daun Peronospora destructor (Penyemprotan volume tinggi : 0,7 ml/l)",PT Safe Chemicals Indonesia
908 ,FURATUR 3 GR,"Padi : wereng coklat Nilaparvata lugens (Penaburan : 25,5 kg/ha)",PT Catur Agrodaya Mandiri
909 ,FUMILIKUID 2 GA,"Beras di penyimpanan: hama beras
Rhyzoperta dominica
Sitophilus oryzae
Tribolium castaneum (Fumigasi:
17.5 g/m3 (= 250 ppm) (selama 36 jam ))",PT Phosphindo Jaya Utama
910 ,FUNGIDEX 40 WP,Kentang: penyakit hawar daun Phytophthora infestans (Penyemprotan volume tinggi: 2 - 3 g/l),CV Lestari Inti Agro
911 ,FULLTEX 10 PA,"Karet: Meningkatkan produksi karet kering (Pengolesan pada bidang sadap: 0,9 g/pohon)",PT Inti Tani Niaga
912 ,FUMIGUARD 99 GA*,"Bahan pakan ternak (Corn mill): hama gudang 
Oryzaephilus surinamensis
Sitophilus zeamais
Tribolium confusum  (Fumigasi : 
36 g/m3 ) Beras di penyimpanan:  hama gudang 
Oryzaephilus surinamensis
Sitophilus zeamais
Tribolium confusum  (Fumigasi : 
 27 g/m3 )",PT MSR Hijau Lestari
