no,merek dagang,cara pemakaian,pembuat
71 ,WIN 20 WG,"Hutan tanaman industri Accacia mangium : gulma berdaun lebar Ageratum conyzoides, Calopogonium mucunoides, Synedrella nodiflora (Penyemprotan volume tinggi : 50 - 100 g/ha) Hutan tanaman industri Eucalyptus sp. : gulma berdaun lebar Ageratum conyzoides, Borreria alata, Cleome aspera, Synedrella nodiflora (Penyemprotan volume tinggi : 50 - 100 g/ha) Kelapa sawit (TBM) : gulma berdaun lebar Ageratum conyzoides, clidemia hirta (Penyemprotan volume tinggi : 50 - 100 g/ha) Kelapa sawit (TBM) : gulma berdaun lebar Calopogonium mucunoides, Chromolaena odorata (Penyemprotan volume tinggi : 75 - 100 g/ha) Padi sawah : gulma berdaun lebar Marsilea crenata, Monochoria vaginalis, Ludwigia octovalvis (Penyemprotan volume tinggi:
7,5 - 10 g/ha)",PT Agricon
72 ,WIDCLEAR 288 EC,"Kelapa sawit (TBM): gulma berdaun lebar
Borreria alata
Diodia sarmentosa
Mikania micrantha (Penyemprotan volume tinggi:
1 - 1,5 l/ha)",PT Rainbow Agrosciences
73 ,WENDI 75 WP,"Kentang: penyakit busuk daun
Phytophthora infestans (Penyemprotan volume tinggi:
1 g/l)",PT JJM Indonesia
74 ,PUANMUR 50 SP,"Benih padi : penyakit hawar pelepah Xanthomonas oryzae (Perlakuan benih :1,5 - 2 g/l) Benih padi : penyakit blast Pyricularia grisea (Perlakuan benih : 0,5 - 1 g/l) Cabai : penyakit bercak daun Cercospora capsici (Penyemprotan volume tinggi :  2 g/l) Padi : penyakit blas Pyricularia oryzae, penyakit hawar daun Xanthomonas campestris, penyakit bercak daun Cercospora oryzae, penyakit busuk pelepah Rhizoctonia solani (Penyemprotan volume tinggi  : 1 - 1,5 g/l)",PT Agro Guna Makmur
75 ,WENDA 20 WP,"Bawang merah : penyakit bercak ungu
Alternaria porri (Penyemprotan volume tinggi:
1,125 g/l)",PT JJM Indonesia
76 ,WENADRI 80 WP,"Kentang: penyakit hawar daun
Phytophthora infestans (Penyemprotan volume tinggi:
2 g/l)",PT JJM Indonesia
77 ,WELCHEM 500 SL,"Cabai: hama kutu daun
Myzus persicae
 (Penyemprotan volume tinggi:
1,5 ml/l) Cabai: hama kutu daun
Thrips parvispinus (Penyemprotan volume tinggi:
1 ml/l)",PT Global Agrotech
78 ,VENOP 60 WP,Padi sawah : wereng coklat Nilaparvata lugens (Penyemprotan volume tinggi : 2 kg/ha),PT Petrosida Gresik
79 ,VELOCE 400 SL,"Bawang merah : ulat grayak Spodoptera exigua (Penyemprotan volume tinggi : 1,5 - 2 ml/l) Kakao :  hama penghisap buah 
Helopeltis antonii (Penyemprotan volume tinggi: 
0,5 ml/l) Kedelai : hama lalat bibit Ophiomya phaseoli (Penyemprotan volume tinggi : 2 ml/l) Kedelai : kutu kebul Bemisia tabaci (Penyemprotan volume tinggi : 1,5 - 2 ml/l) Kelapa sawit : ulat api Setothosea asigna, ulat kantong Metisa plana (Penyemprotan volume tinggi : 10 - 20 ml/pohon)",PT Dharma Guna Wibawa
80 ,"VELIMEK 52,5 WG","Bawang merah penyakit bercak ungu Alternaria porri
 (Penyemprotan volume tinggi 1 g/l
)",PT Harina Chemicals Industry
81 ,VELICA 20 WP,Kentang : penyakit hawar daun Phytophthora infestans (Penyemprotan volume tinggi : 2 g/l),CV Kunima Jaya Selaras
82 ,VEKTAR 100 EC,"Di dalam dan di luar ruangan : nyamuk
Aedes aegypti (Pengasapan (thernal fogging):
25 ml/ha) Di dalam dan di luar ruangan: nyamuk
Aedes aegypti
Culex quinquefasciatus (Pengasapan (thernal fogging):
75 ml/ha) Di dalam ruangan : kecoa Periplanetta americana, Blatella germanica; lalat Musca domestica; semut Anoplolepis gracilipes (Penyemprotan residual :
20 ml/ha s.d 4 minggu) Di luar dan di dalam ruangan : Nyamuk
Aedes aegypti
Culex quinquefasciatus
Anopheles maculatus (Pengkabutan (ULV)::
23 ml/ha)",PT Dharma Guna Wibawa
83 ,"VAPE PLUS 0,6 AE","Di dalam ruangan: nyamuk Aedes aegypti, Culex quinquefasciatus, kecoa Blatella germanica, Periplaneta americana, lalat Musca domestica (Penyemprotan terbatas dan siap pakai)",PT Fumakilla Indonesia
84 ,VECTOBAG WG,"larva Aedes aegypti 
 (Penyemprotan residual 0,002 g/4 l air s.d 4 minggu

) larva Anopheles aconitus 
 (1250 g/ha
)",PT Nufarm Indonesia
85 ,"VAPE 6,1 MV","Di dalam ruangan : nyamuk Aedes aegypti, Culex quinquefasciatus (Pemanasan dengan alat listrik)",PT Fumakilla Indonesia
86 ,"VAPE 8,0 LV","Di dalam ruangan: nyamuk
Aedes aegypti
Culex quinquefasciatus (Pemanasan dengan alat listrik)",PT Fumakilla Indonesia
87 ,VAPE 40 ST,"Di dalam ruangan : nyamuk Aedes aegypti, Culex quinquefasciatus (Pembakaran)",PT Fumakilla Indonesia
88 ,VAPE 50 VP,"Di dalam ruangan: nyamuk
Aedes aegypti
Culex quinquefasciatus (Penguapan dengan alat khusus)",PT Fumakilla Indonesia
89 ,"VAPE 4,1 MV","Di dalam ruangan : nyamuk Aedes aegypti, Culex quinquefasciatus (Pemanasan dengan alat listrik)",PT Fumakilla Indonesia
90 ,"VAPE 4,0 LV","Di dalam ruangan: nyamuk
Aedes aegypti
Culex quinquefasciatus (Pemanasan dengan alat listrik)",PT Fumakilla Indonesia
91 ,"VAPE 0,9 AE","Di dalam ruangan: nyamuk Aedes aegypti, Culex quinquefasciatus (Penyemprotan terbatas dan siap pakai)",PT Fumakilla Indonesia
92 ,"VAPE 1,01  AL","Di dalam ruangan: nyamuk
Aedes aegypti
Culex quinquefasciatus (Penyemprotan terbatas dan siap pakai)",PT Fumakilla Indonesia
93 ,"VAPE 0,6 MC","Di dalam ruangan : nyamuk Aedes aegypti, Culex quinquefasciatus (Pembakaran)",PT Fumakilla Indonesia
94 ,"VAPE 0,425 AE","Di dalam ruangan: nyamuk Aedes aegypti, Culex quinquefasciatus (Penyemprotan terbatas dan siap pakai)",PT Fumakilla Indonesia
95 ,"VAPE 0,5 AL",Di dalam ruangan: semut Anoplolepis gracilipes (Penyemprotan terbatas dan siap pakai),PT Fumakilla Indonesia
96 ,"VAPE 0,5 MC","Di dalam ruangan : nyamuk Aedes aegypti, Culex quinquefasciatus (Pembakaran)",PT Fumakilla Indonesia
97 ,"VAPE 0,4 MC","Di dalam ruangan : nyamuk Aedes aegypti, Culex quinquefasciatus (Pembakaran)",PT Fumakilla Indonesia
98 ,"VAPE 0,05 MC","Di dalam ruangan : nyamuk Aedes aegypti, Culex quinquefasciatus (Pembakaran)",PT Fumakilla Indonesia
99 ,"VAPE 0,1 MC","Di dalam ruangan: nyamuk
Aedes aegypti
Culex quinquefasciatus (Pembakaran)",PT Fumakilla Indonesia
100 ,"VAPE 0,05 AL","Di dalam ruangan : semut
Anoplolepis gracilipes (Penyemprotan terbatas dan siap pakai)",PT Fumakilla Indonesia
101 ,"VAPE 0,031 MC","Di dalam ruangan : nyamuk Aedes aegypti, Culex quinquefasciatus (Pembakaran)",PT Fumakilla Indonesia
102 ,"VAPE 0,04 MC","Di dalam ruangan : nyamuk Aedes aegypti, Culex quinquefasciatus (Pembakaran)",PT Fumakilla Indonesia
103 ,"VAPE 0,03 MC","Di dalam ruangan : nyamuk Aedes aegypti, Culex quinquefasciatus (Pembakaran)",PT Fumakilla Indonesia
104 ,VALLO 525 SC,"Padi: penyakit blas
Pyricularia oryzae (Penyemprotan volume tinggi:
1,5 ml/l)",PT Petrosida Gresik
105 ,VAMPYR 700 EC,"Bawang merah: hama ulat grayak
Spodoptera exigua (Penyemprotan volume tinggi:
0,375 ml/l)",CV Golden Farm Indonesia
106 ,PRYLLA PLUS 90 WG,"Tebu : gulma berdaun lebar 
Chromolaena odorata
Euphorbia hirta
Ipomoea triloba
golongan rumput
Eleusine indica (Penyemprotan volume tinggi: 
1,5 - 2,5 kg/ha)",PT Rainbow Agrosciences
107 ,PRYLLA 80 WP,"Tebu : gulma berdaun lebar Cleome rutidosperma, Euphorbia hirta, Ipomoea triloba gulma berdaun sempit Eleusine indica (Penyemprotan volume tinggi : 1,5 - 3 kg/ha)",PT Rainbow Agrosciences
108 ,PROZURON 150 EC,"Kedelai: hama perusak daun
Plusia calchites (Penyemprotan volume tinggi:
1 ml/l)",CV Boma Sakti  Tani
109 ,PROZINON 600 EC,"Cabai kutu daun Myzus persicae
 (Penyemprotan volume tinggi 1 ml/l
)",PT Deltagro Mulia Sejati
