no,nama kapal,pemilik,keterangan
180,"SULTAN ZULKARNAEN, SMALL - 2 (WO)",Armada Samudra Global,DWT: 6074 YOB: 2017
181,"BUMI INDONESIA, SMALL - 2 (WO)",Bumi International Tankers,DWT: 6935 YOB: 1998
182,"JAYNE - I, SMALL - 2 (WO)",Bumi International Tankers,DWT: 6935 YOB: 1999
183,"MT MICHIKO XXVII, SMALL - 2 (WO)",Bahari Nusantara,DWT: 4925 YOB: 1996
184,"ARCADIA, SMALL - 2 (WO)",Arcadia Shipping,DWT: 7450 YOB: 1997
185,"ATHENA, SMALL - 2 (WO)",Arcadia Shipping,DWT: 4896 YOB: 1995
186,"MARLIN 8, SMALL - 2 (WO)",Arcadia Shipping,DWT: 6602 YOB: 1998
187,"TRANSKO YUDHISTIRA, SMALL - 2 (WO)",Pertamina Trans Kontinental,DWT: 6500 YOB: 2019
188,"TRANSKO ANTASENA, SMALL - 2 (WO)",Pertamina Trans Kontinental,DWT: 6500 YOB: 2019
189,"BRILLIANT 8899, SMALL - 2 (WO)",Soechi Group,DWT: 6715 YOB: 1995
190,"ALICE XXV, SMALL - 2 (WO)",Soechi Group,DWT: 4814 YOB: 1993
191,"FORTUNE PACIFIC XLIX, SMALL - 2 (WO)",Soechi Group,DWT: 6428 YOB: 2008
192,"NONI T, SMALL - 2 (WO)",Sumber Kencana Patria,DWT: 7240 YOB: 2008
193,"AS MARINE LIMA, SMALL - 2 (WO)",Moda Global Maritime,DWT: 4995 YOB: 2018
194,"RATU YAMANI, SPOB (BO)",Armada Samudra Global,DWT: 5000 YOB: 2014
195,"SPOB JEANITA, SPOB (WO)",Agniputra Jayakusuma,DWT: 4194 YOB: 2012
196,"SPOB JELITA NADIA, SPOB (WO)",Agniputra Jayakusuma,DWT: 4190 YOB: 2012
197,"SPOB WIJAYA KUSUMA 3, SPOB (WO)",Agniputra Jayakusuma,DWT: 3500 YOB: 2010
198,"SPOB WIJAYA KUSUMA 2, SPOB (WO)",Agniputra Jayakusuma,DWT: 3350 YOB: 2011
199,"SPOB MELISSA 1, SPOB (WO)",Agniputra Jayakusuma,DWT: 3000 YOB: 2008
200,"SEA ROYAL 18, SPOB (WO)",Armada Samudra Global,DWT: 6600 YOB: 2015
201,"SPOB ANINDHITA 81, SPOB (WO)",Armada Samudra Global,DWT: 5000 YOB: 2013
202,"SPOB KAISAR, SPOB (WO)",Armada Samudra Global,DWT: 3500 YOB: 2013
203,"SPOB KERTANEGARA, SPOB (WO)",Armada Samudra Global,DWT: 3500 YOB: 2015
204,"SPOB SEA ROYAL 27, SPOB (WO)",Armada Samudra Global,DWT: 6600 YOB: 2016
205,"SPOB CITRA S 4001, SPOB (WO)",Citra Maritime,DWT: 4216 YOB: 2016
206,"SPOB SEAGULL 351, SPOB (WO)",Odyssey Shipping Lines,DWT: 2820 YOB: 2015
207,"SPOB SEAGULL 201, SPOB (WO)",Odyssey Shipping Lines,DWT: 2100 YOB: 2015
208,"SPOB SEAGULL 202, SPOB (WO)",Odyssey Shipping Lines,DWT: 2100 YOB: 2015
209,"SPOB KAPUAS, SPOB (WO)",Pertamina Trans Kontinental,DWT: 3540 YOB: 2012
210,"SPOB MUSI, SPOB (WO)",Pertamina Trans Kontinental,DWT: 3540 YOB: 2012
211,"SPOB MAHAKAM, SPOB (WO)",Pertamina Trans Kontinental,DWT: 3540 YOB: 2012
212,"SPOB BERKAT ANUGERAH 05, SPOB (WO)",Sumber Rejeki Bahari Permai,DWT: 3000 YOB: 2014
213,"SPOB BORNEO PERKASA, SPOB (WO/AVTUR)",Armada Samudra Global,DWT: 3973 YOB: 2008
214,"GAS KOMODO, VLGC (LPG)",Buana Lintas Lautan (BULL),DWT: 56875 YOB: 1991
215,"LPG/C BW CLIPPER, VLGC (LPG)",Nusantara Bright Internasional Grup,DWT: 56864 YOB: 1992
216,"RUBRA EX BW DENISE, VLGC (LPG)",Nusantara Bright Internasional Grup,DWT: 52799 YOB: 2001
217,"SC COMMANDER LVII, VLGC (LPG)",Soechi Group,DWT: 49723 YOB: 1999
