no,Nama Perusahaan,Alamat,Telepon,Komoditi
8514,FIRMA SEHAT (FA SEHAT),"Jl. Saham No.37, Tangerang, Banten",021 - 552377,Kecap
8515,FIRMA SIDODADI,"Jl. Raya Pujer, Bondowoso, Jawa Timur",0332 - 853346,Tembakau Krosok
8516,FIRMAN BUSANA MEGAH,"Jl. Raya Dayeuhkolot No. 247, Bandung, Jawa Barat",,Pakaian Jadi Pria Dan Wanita
8517,"FIRMAN JAYA DUA SAUDARA, PT","Jl. Radio Palasari 149-150, Bandung, Jawa Barat",022 - 507844,Kain Paris & Sarung
8518,"FIRMAN JAYA, CV","Jl. Ciwalengke No.163, Bandung, Jawa Barat",022 - 595044,Tektil
8519,"FIRMANSYAH,CV","Jl. Yos Sudarso No. 52, Jember, Jawa Timur",,Tembakau
8520,FIRMANTEX,"Jl. Raya Dayeuhkolot No. 147, Bandung, Jawa Barat",,Tekstil
8521,FIRMAPARI PANDAN,"Jl. Kenjeran 369, Surabaya, Jawa Timur",,Perajangan Tembakau
8522,"FIRMENICH AROMATICS INDONESIA, PT","Jl. Maligi Viii Lots-1 Kawasan Industri Kiic, Karawang, Jawa Barat",,Fragrance And Flavour
8523,"FIRMENICH INDONESIA, PT","Jl. Alternatif Cibubur, Bogor, Jawa Barat",021 - 823330,Minyak Wangi
8524,"FIRST INDONESIA REFURBISH MANUFACTURING, PT","Mastrip No 90, Surabaya, Jawa Timur",,Peralatan Kantor
8525,"FIRST LAMANDAU TIMBER INTERNATIONAL, P","Desa Tangga Batu, Lamandau, Kalimantan Tengah",,Cpo (crude Palm Oil)
8526,FIRST LOVE PT,"Jl. Petojo Sabangan 3, Jakarta Pusat, DKI Jakarta",348349,Pattiseri
8527,"FIRST MARINE SEAFOODS, PT","Jl. Muara Baru Ujungblok I Kav I-10 Jakarta Fishing Port, Jakarta Utara, DKI Jakarta",021 - 661126,Udang
8528,"FIRST MEDIPHARMA, PT","Jl. Raya Sunorame 41, Sidoarjo, Jawa Timur",031 - 896381,Obat-obatan
8529,"FIRST OCEAN INTERNATIONAL, PT","Jl. N Karet Iv Blok Bumi, Banten, Banten",,Alat Rumah Tangga Dari Plastik
8530,"FISHINDO ISMA RAYA, PT","Desa Kenanti, Tuban, Jawa Timur",0356 - 411748,Ikan Beku
8531,"FISHINDO KUSUMA SEJAHTERA TBK, PT/","Jl. Kalimati No. 36 Dusun Kalimati, Banyuwangi, Jawa Timur",0333 - 593515,"Fish Meal, Fish Oil Dan Ikan Beku"
8532,FITO INDONESIA,"Taman Tekno Cadas Mapar, Tangerang Selatan, Banten",,Paku
8533,FITRAH LESTARI ABADI,"Dusun Bangunjaya, Ciamis, Jawa Barat",,Pengasapan Karet
8534,"FITRIYAH EKSPOR INDAH, PT","Jl. Raya Denpasar-gilimanuk, Tabanan, Bali",811388,Knock Down House
8535,"FITTECH LIUKINDO PERKASA/VITEK HENDRA, P","Jl. Bidara Raya No. 36a, Jakarta Utara, DKI Jakarta",21 - 6682427,Engsel
