no,Nama Perusahaan,Alamat,Telepon,Komoditi
14806,KERUPUK NIKMAT RASA,"Jl. Cipedes Tengah Gg Muslim No. 82 A Rt. 01/06, Bandung, Jawa Barat",022 - 820633,Kerupuk Ikan
14807,KERUPUK NIKO ABADI,"Desa Bojongsoang, Bandung, Jawa Barat",,Krupuk
14808,KERUPUK NUR TAUFIK,"Jl. Cipunegara Rt. 005 Rw. 07, Tangerang Selatan, Banten",,Kerupuk
14809,"KERUPUK OPEN ""SYIFA""","Desa Trawasan, Jombang, Jawa Timur",857330,Kerupuk
14810,KERUPUK PADA SUKA,"Lingu Sukarame Rt. 04/13, Banjar, Jawa Barat",,Kerupuk
14811,KERUPUK PAK SAM,"Dusun Kembang Kidul Desa Sedeng, Pacitan, Jawa Timur",819464,Krupuk Tengiri Dan Rambak
14812,KERUPUK PALEMBANG FRRY,"Jl. H Basori Rt. 07 Rw. 012, Bandung, Jawa Barat",815730,Kerupuk Palembang
14813,KERUPUK PANGSIT EO,"Kp Salabenda Rt. 03/06, Bogor, Jawa Barat",,Keripuk Pangsit
14814,"KERUPUK PRIMA RASA ""SOLEHUDIN","Dusun Sekardangan, Blitar, Jawa Timur",,Kerupuk Gambir
14815,"KERUPUK PULI "" PURYANTO ""","Kedungrejo Rt. 22 Rw. 10, Jawa Timur, Jawa Timur",,Kerupuk Puli
14816,KERUPUK PULI /AL  BAROKAH,"Mengok , Ds  Kec. Pujer, Bondowoso, Jawa Timur",81233092054,Kerupuk
14817,KERUPUK PURNAMA,"Jl. Ki Ageng Gribik No. 260, Malang, Jawa Timur",0341 - 713581,Kerupuk Bawang
14818,KERUPUK RAMBAK DARMIN ANGKASA,"Desa Bulurejo, Karanganyar, Jawa Tengah",812297,Kerupuk Rambak
14819,KERUPUK REOG/ PONOROGO MARSUDI,"Jl. Perumahan Bukit Taman Sari Blok D, Balikpapan, Kalimantan Timur",813507,Kerupuk
14820,KERUPUK SAHABAT PUTRAJAYA,"Jl. H. Bardan Ix No.16 / Jl. Jaka Utama Iv, Bandung, Jawa Barat",022 - 750727,Kerupuk
14821,KERUPUK SALA,"Jl. Mundu Ii No. 32, Surakarta, Jawa Tengah",0271 - 711037,Krupuk
14822,KERUPUK SALEH,"Jl. Kh Zainal Alim, Probolinggo, Jawa Timur",,Kerupuk Rantai
14823,KERUPUK SARI LAUT,"Jl. Cisaranten Kulon No. 254 Rt. 03/05, Jawa Barat, Jawa Barat",,Kerupuk
14824,KERUPUK SARI SEDAP ,"Jl. T Cipinang Muara, Jakarta Timur, DKI Jakarta",,Kerupuk
14825,"KERUPUK SEDULUR, UD","Jl. Raya Jimbun, Kediri, Jawa Timur",821413,Krecek Krupuk
14826,KERUPUK SHD,"Jl. Batu Merah, Jakarta Selatan, DKI Jakarta",,Kerupuk
14827,KERUPUK SIDO MULYO JAYA,"Jl. Baruna Indah, Brebes, Jawa Tengah",,Krupuk Udang Dang Krupuk Bawang
14828,KERUPUK SIKUMPAY,"Kampung Gedong Rt. 01/02, Bogor, Jawa Barat",0251 - 842133,Krupuk
14829,KERUPUK SINAR JAYA,"Jl. Patimura, Banjarsari, Metro, Lampung",,Kerupuk Dan Bihun
14830,KERUPUK SINGKONG (MAHNUN),"Dusun Ambung, Lombok Timur, Nusa Tenggara Barat",,Kerupuk Singkong
14831,KERUPUK SINGKONG (SEMIN),"Dusun Ambung, Lombok Timur, Nusa Tenggara Barat",,Kerupuk Singkong
14832,KERUPUK SINGKONG MARZUKI,"Dusun Ambung, Lombok Timur, Nusa Tenggara Barat",,Kerupuk Singkong
14833,KERUPUK SINGKONG RAUHUN,"Dusun Ambung Masbagik Timur, Lombok Timur, Nusa Tenggara Barat",,Kerupuk Singkong
14834,KERUPUK SINGKONG SAMSUDIN,"Dusun Ambung Masbagik Timur, Lombok Timur, Nusa Tenggara Barat",,Kerupuk Singkong
14835,KERUPUK SOMAY/ INDUSTRI KERUPUK MATAHA,"Dusun Karang Pucung Rt. 04 Rw. 04, Cilacap, Jawa Tengah",,Kerupuk Mentah
14836,KERUPUK SUMBER REJEKI,"Jl. Dieng Dawuhan Lor, Lumajang, Jawa Timur",0334 - 883676,Kerupuk Gablek
14837,KERUPUK SUNDAWA,"Klahang Rt. 02 Rw. 03, Banyumas, Jawa Tengah",,Krupuk
14838,KERUPUK SURYA CITRA,"Jl. Gedebage Selatan No. 167, Bandung, Jawa Barat",022 - 753707,Kerupuk Mentah
14839,KERUPUK TARNO,"Jl. Simorejo Sari B. 14/47, Surabaya, Jawa Timur",031 - 749207,Kerupuk Uyel
14840,"KERUPUK UDANG ""USAHA BARU""","Jl. Kw 15  Dusun Krajan, Karawang, Jawa Barat",0267 - 482892,Kerupuk Udang
14841,KERUPUK UDANG ,"Kampung Sampan, Bandung, Jawa Barat",,Kerupuk Udang
14842,KERUPUK UDANG ,"Jl. Semarang - Boja, Campurejo No. 2, Kendal, Jawa Tengah",,Krupuk Udang
14843,KERUPUK UDANG BOGA SINAR,"Jl. Raya Kali Jaya, Karawang, Jawa Barat",0267 - 482997,Krupuk Udang
14844,KERUPUK UDANG DUO,"Jl. Raya Kaso Rt. 03 Rw. 10, Bandung, Jawa Barat",,Kerupuk Masak
14845,KERUPUK UDANG JANUR,"Jl. Kol. Sugiono No. 92, Tegal, Jawa Tengah",0283 - 351405,Kerupuk Udang
-,-,-,-,-
14847,KERUPUK UDANG MORO SENENG,"Jl. Cendrawasih No. 11, Sidoarjo, Jawa Timur",,Krupuk Udang
14848,KERUPUK UDANG NIKMAT,"Jl. Ranca Kaso Rt. 04 Rw. 10, Bandung, Jawa Barat",,Kerupuk Masak
14849,KERUPUK UDANG PUTRA JAYA,"Jl. Kalimati No. 503, Karawang, Jawa Barat",0267 - 482401,Krupuk Udang
14850,KERUPUK UDIN,"Kp Pasir Kacang Rt. 07/01, Bogor, Jawa Barat",,Kerupuk
14851,KERUPUK UJANG ANWAR,"Kediri 3 Bakti Negara, Way Kanan, Lampung",,Macam Krupuk
14852,"KERUPUK UTAMA, PD","Jl. Raya Serang Km. 14,8, Tangerang, Banten",021 - 596330,Kerupuk
14853,"KERUPUK UYEL ""MORO SENENG""","Dusun Pohgurih Ds. Sumolawang, Mojokerto, Jawa Timur",,Kerupuk Uyel
14854,KERUPUK WAHYU,"Dukuh Ganti Ds Jipangan, Boyolali, Jawa Tengah",821375,Kerupuk Bandung
14855,"KESAINT BLANC INDAH, PT","Jl. Lentong No.9  Narogong Raya, Bekasi, Jawa Barat",021 -,Buku
14856,"KESAN BARU SEJAHTERA, PT","Jl. Beringin I Rt. 03/2, Purbalingga, Jawa Tengah",0281 - 894151,Wig For Mannequin
14857,KESED (HERI)/ EYE RICH PT,"Jl. Walik No. 65 Gemuruh, Purbalingga, Jawa Tengah",,Kesed Sabut Kelapa
14858,KESET ,"Dusun Tegal Kidul, Pasuruan, Jawa Timur",,Keset Dari Kain Perca
14859,KESET DEPOT MULYANA/ SUMBER REJEKI,"Jl. Giri Mande Rt. 06/05/kp.ande Cikadut, Bandung, Jawa Barat",022 - 817439,Keset Rajut
14860,KESET MARTAI (KARYA MANDIRI),"Jl. Raya Pekayon Km. 2 Gang H Marta'i, Tangerang, Banten",021 - 979512,Keset Dari Kain
14861,KESET MARWAB / MARWOTO,"Dusun Gudang Rt 01 /rw 01, Sumedang, Jawa Barat",081222231352,Keset Kaki Dari Kain
14862,KESET TUTIK,"Desa Ngampeln Doroampel, Tulungagung, Jawa Timur",,Keset Dr Kain
14863,KESET USWATUN,"Dusun Tegal Kidul, Pasuruan, Jawa Timur",,Keset
14864,"KETABANG KALI ELECTRONICS INDUSTRIES,","Jl. Rungkut Industri Iv/40, Surabaya, Jawa Timur",031 - 843832,Speaker Active
14865,KETAPANG JAYA,"Jl. Suparjo Rustam No. 48, Banyumas, Jawa Tengah",0281 - 684430,Batako
14866,KETEHNIKAN DAN SARANA TIMAH,"Jl Jendral Sudirman No 31 Sungailiat, Bangka, Kepulauan Bangka Belitung",,Perawatan Peralatan Berat
14867,"KETIES UNDERWEAR, CV","Jl. Sutomo Timur Rt. 03 Rw. 01, Jawa Tengah, Jawa Tengah",,Celana Dalam
14868,"KETJUBUNG, CV","Jl. Mayjen Sungkono Km. 26 Wirulusan G1, Gresik, Jawa Timur",,Kain Sarung
14869,"KETRONIC INDONESIA, PT","Jl. Cicukang B 7/25, Bandung, Jawa Barat",,Travo Listrik
14870,"KETRONICS INDONESIA, PT","Jl. Cicukang No. 34, Jawa Barat, Jawa Barat",022 -,Trafo Barang Elektronik
14871,"KETUPAT MAS, PT","Jl. Kima 10/b.3, Makassar, Sulawesi Selatan",,Minyak Goreng
14872,"KEUM KWANG SENYU INDONESIA, PT","Jl. Imam Bonjol Km. 2,8 No. 228, Tangerang, Banten",,Pakaian Jadi
14873,KEUM SUNG SINAR ABADI,"Jl. Raya Madidir, Jepara, Jawa Tengah",0291 - 7520410,Spray And Painting
14874,KEUMSUH TECH,"Jl. Jababeka Xi A Blok K No. 7d, Bekasi, Jawa Barat",,Komponen Electronik
14875,"KEVI GEMILANG KELUARGA, PT","Kampung Situ Bhakti, Bogor, Jawa Barat",,Pakaian Jadi
14876,"KEVIN BAKERY, PT","Jl. Taman Jimbaran A 3, Badung, Bali",0361 - 848031,Roti
14877,"KEVIN PERSADA MANDIRI, PT","Jl. Pembangunan Ii No. 52, Tangerang, Banten",021 - 553901,Modem Packaging
14878,"KEWALRAM INDONESIA, PT","Jl. Raya Rancaekek Km. 25, Sumedang, Jawa Barat",022 - 779834,Benang
14879,"KEWALRAM INDONESIA, PT","Jl. Raya Ranca Ekek Km. 24.5, Sumedang, Jawa Barat",,Benang
14880,KEYENG I,"Jl. Rancajigang No.56, Bandung, Jawa Barat",022 - 595128,Kain Grey
14881,KEYENG II,"Jl. Pangkalan Raja No. 1, Bandung, Jawa Barat",022 - 595083,Kain Lapis (makloon)
14882,"KEZIA CIPTA GEMILANG, CV","Jl. Majapahit No. 400 Blok H-i, Semarang, Jawa Tengah",,Kardus
14883,"KG FASHION INDONESIA, PT","Jl. Raya Siliwangi Bangkong Roang Rt. 4/4 No. 633, Sukabumi, Jawa Barat",0266 - 737923,Jacket Dan Celana
14884,"KGEO ELECTRONIC INDONESIA, PT","Jl. Industri Selatan Ii Jababeka, Bekasi, Jawa Barat",,Speaker
14885,KGEO ELECTRONICS INDONESIA PT,"Jababeka Jl. Industri Selatan Ii, Bekasi, Jawa Barat",,Speaker
14886,"KH INTERNATIONAL, PT","Jl. Lombok Blok A 32b Kbn Cakung, Jakarta Utara, DKI Jakarta",021 - 448326,Brush
14887,"KH PURWOSARI, PT","Jl. Raya Purwosari 75, Pasuruan, Jawa Timur",0343 - 611218,Kapuk Bersih
14888,"KH ROBERTS INDONESIA, PT","Jl. Lintang Raya Kav E3 Kawasan Bogorindo Rt. 02/07, Bogor, Jawa Barat",,Aroma Dan Perasa
14889,KH ROBERTS PT,"Kawasan Bogorindo Desa Leuwinutug, Bogor, Jawa Barat",,Bahan Rasa Buatan Atau Sari Buah
14890,"KHALEDA AGROPRIMA MALINDO, PT","Jl. Hasan Basrie V/ Tantina Iv No. 3 Samarinda, Kutai Kartanegara, Kalimantan Timur",,Cpo (crude Palm Oil)
14891,"KHALIFAH NIAGA LANTABURA, PT","Jl. Magelang Km. 13, Krapyak, Triharjo, Sleman, D.I. Yogyakarta",,Mesin Pengemas
14892,"KHALIFAH NIAGA LANTABURA, PT","Jl. Magelang Krapyak Triharjo Rt. 03 Rw. 20, Sleman, D.I. Yogyakarta",,Mesin Pengemas Merica Dan Kopi
14893,"KHALIM, CV","Jl. Raya Cirebon Bandung Tegalsari No. 489 Km. 9, Cirebon, Jawa Barat",0231 - 321153,Furniture Dari Rotan
14894,"KHARABHA WIRATAMA, PT","Jl. Raya Tegal-pemalang Km. 11, Tegal, Jawa Tengah",0283 - 453201,Balok Timah Hitam Alloy
14895,"KHARIMAS, PT","Jln Binjai Km 10.5 Gg Mesjid, Deli Serdang, Sumatera Utara",,Kayu Olahan
14896,KHARINDO JAYA TEKSTIL,"Jl. Balekambang, Bandung, Jawa Barat",,Textile
14897,"KHARISMA ABADI DINAKIMA UTAMA, PT","Margomulyo Indah C 7, Surabaya, Jawa Timur",7481540,Foring Parket
14898,"KHARISMA ABADI PLASTINDO, CV","Pergudangan Sinar Gedangan Blok C. 6, Sidoarjo, Jawa Timur",,Ember Plastik
14899,KHARISMA ADHI MULIA PT ,"Jl. Duri Kosambi Raya No. 72 U, Jakarta Barat, DKI Jakarta",,Celana Panjang
14900,"KHARISMA ADHI MULIA, PT","Pekajangan Gang Ii No. 42  1205, Pekalongan, Jawa Tengah",,Celana Jins
14901,"KHARISMA AGRO SEJAHTERA, PT","Lintas Selatan, Batu Papan Batang Cenaku, Indragiri Hulu, Riau",,Cpo (crude Palm Oil)
14902,"KHARISMA ALAM PERSADA, PT","Desa Baringin, Kalimantan Selatan, Kalimantan Selatan",,Cpo
14903,"KHARISMA APLEN PRIMA, PT","Kp. Buaran Utara, Bekasi, Jawa Barat",,Bak Meter
14904,"KHARISMA APLEN PRIMA, PT","Kampung Buaran Utara, Bekasi, Jawa Barat",,Bak Meter
14905,"KHARISMA BARU INDONESIA, PT","Jl. Raya Guyangan No. 88, Jawa Timur, Jawa Timur",,Sepatu
14906,"KHARISMA BUANA JAYA, PT/ CENTRAL SANDA","Jl. Raya Karangpucung Rt. 02 Rw. 04, Cilacap, Jawa Tengah",,Pakaian Jadi
14907,"KHARISMA BUANA JAYA/KENCANA LANGGENG,P","Jl. Cigugur No. 99, Bandung, Jawa Barat",022 - 667738,Celana Jeans/katun
14908,KHARISMA CAHAYA ABADI,"Jl. Jaya 25 No.61 Rt. 002/10, Jakarta Barat, DKI Jakarta",021 - 559555,Jasa Sablon
14909,"KHARISMA CHANDRA KENCANA, PT","Jl. Kampung Wesiri Km. 9, Teluk Bintuni, Papua Barat",,Kayu Gergajian
14910,"KHARISMA DUTA UTAMA, CV","Jl. Mayjend Sungkono, Gresik, Jawa Timur",,Moulding
14911,"KHARISMA EKSPORT, PT","Jl. Paris Km. 9 Gatak, Bantul, D.I. Yogyakarta",0274 - 368290,Furniture
14912,KHARISMA IDE NUANSA GARMINDO,"Cikarang Industrial Estate Blok B/3-4, Jl. Jababeka Vi, Be, Bekasi, Jawa Barat",,Pakaian Wanita Dan Anak
14913,"KHARISMA IDE NUSANTARA GARMINDO, PT","Kawasan Batik Kav.19 Jl. Raya Setu, Bekasi, Jawa Barat",,Knit Wears
14914,"KHARISMA IND, PT","Jl. Raya Candi, Sidoarjo, Jawa Timur",,Sepatu
14915,"KHARISMA INDAH BESTARI, PT","Jl. Raya Cirebon-bandung Km. 32 No. 45, Majalengka, Jawa Barat",0233 - 888606,Rokok Kretek
14916,"KHARISMA INTERPLAST PRATAMA, PT","Jl. Bumi Mas Iv No. 1 Cikupa Mas, Tangerang, Banten",594100,Plastik Stationary
14917,"KHARISMA INTI USAHA, PT","Jl. Hauling Km. 6,5 Desa Pandahan, Tapin, Kalimantan Selatan",,Cpo (crude Palm Oil)
14918,"KHARISMA JAYA / SUTRISNO ROTAN, CV","Jl. Raya Tegalwangi Km 10, Cirebon, Jawa Barat",0231 - 321443,Rotan Pitrit
14919,"KHARISMA JAYA GEMILANG,  , PT","Kawasan Industri Terboyo Blok I -8, Semarang, Jawa Tengah",024 - 658303,Kayu Olahan
14920,"KHARISMA JAYA, CV","Jl. Banyuurip Wetan 1e No.16-18, Surabaya, Jawa Timur",031 - 562126,Terop
14921,"KHARISMA KARYA PALST, PT","Jl. Kampung Kramat, Hrapan Jaya, Bogor, Jawa Barat",,Bahan Plastik Daur Ulang
14922,"KHARISMA KLASIK INDONESIA, PT","Jl. Tapak No. 1 Rt. 04/03 Tugurejo, Semarang, Jawa Tengah",024 - 866141,Mebel
14923,"KHARISMA LESTARI JAYA, PT","Jl. Rancamalang No. 99 Rt. 06 Rw. 02, Bandung, Jawa Barat",,Celana Dan Jaket
14924,"KHARISMA LOGAM UTAMA, PT","Jl. Raya  Narogong Km. 12,5 Cikiwul, Bekasi, Jawa Barat",,Jasa Alat Alat Berat
14925,"KHARISMA MAJU SEJAHTERA, PT","Jl. Yos Sudarso No.28 A-b Pergudangan Nusa Indah Blok A2, Tangerang, Banten",021 - 545949,Expanding Folder
14926,"KHARISMA MANDIRI SAKTI, PT","Jl. Perdana No.155, Jakarta Barat, DKI Jakarta",021 - 565781,Agar-agar
14927,"KHARISMA MANDIRI, CV","Jl. Raya Blora Purwodadi Km. 21 Desa Jagong, Blora, Jawa Tengah",,Briket Tempurung Kelapa
14928,"KHARISMA MEGAH DHARMA, PT","Dukuh Sarirejo Ds Banaran, Batang, Jawa Tengah",0285 - 446944,Venner
14929,"KHARISMA MISTER MARINE, PT","Kp. Kebon Kopi Rt. 003/002, Tangerang, Banten",,Kapal Laut
14930,"KHARISMA MUSTIKA MEGASARI, PT","Kp. Tegal Gede, Bekasi, Jawa Barat",,Bahan Plastik
14931,KHARISMA OFFSET,"Jl. Di Panjaitan No. 7, Bandar Lampung, Lampung",,Percetakan
14932,"KHARISMA PANDU LIMA, PT","Jl. Margomulyo Indah A No.10, Surabaya, Jawa Timur",031 - 749184,Panel
14933,"KHARISMA PARWITEX, PT","Dukuh Benowo, Karanganyar, Jawa Tengah",0271 - 825129,Selimut/serbet
14934,"KHARISMA PERKASA MAKMUR, CV","Dusun Karang Anyar, Bringkang, Gresik, Jawa Timur",,Meja
14935,"KHARISMA PRIMA ABADI, PT","Jl. Kebon Agung Km. 1 No. 7 Mlati Krajan, Sleman, D.I. Yogyakarta",0274 - 868659,Kecap Manis
14936,"KHARISMA PRINTEX, PT","Jl. Holis No. 461, Bandung, Jawa Barat",022 - 603383,Kain Printing
14937,"KHARISMA PUTRA MANDIRI, CV","Jl. Mengger Girang No. 46, Jawa Barat, Jawa Barat",,Alat Timbangan
14938,"KHARISMA ROTAN MANDIRI, PT","Dukuh Gesingan Rt. 02 Rw. 09, Sukoharjo, Jawa Tengah",0271 - 780483,Kursi Dan Meja
14939,"KHARISMA TATA GRAHA SEJAHTER, PT","Veteran  No 148 , Jl, Gresik, Jawa Timur",031 - 397849,"Furniture, Perabot Kantor"
14940,"KHARISMA, PT","Dusun Bogem Ds. Kebonagung, Sidoarjo, Jawa Timur",,Sepatu
14941,"KHARISMA, PT","Jl. Dk Kupang Utara Gxi No. 3, Surabaya, Jawa Timur",,Tas Kain
14942,"KHARISMA, PT","Jl. Letjen Soeprapto, Ngada, Nusa Tenggara Timur",0384 - 21348,Air Minum Dalam Kemasan
14943,"KHARISMA, UD","Jl. Kontukowuna, Muna, Sulawesi Tenggara",,"Lemari, Kursi, Meja"
14944,"KHARISMATAMA INDOALAM, PT","Jl. Pegangsaan Dua Raya Km. 4,5, Jakarta Utara, DKI Jakarta",021 - 460272,Kusen Pintu
14945,"KHASIMA SEIKI, PT","Jl. Jababeka Iv Blok T No. 2.i Kawasan Industri Jababeka I, Bekasi, Jawa Barat",021 - 893763,Gasket
14946,"KHAVINDO MEBEL INDONESIA, PT","Jl. Nyi Mas Wanawati No. 55 Blok Jalinan, Cirebon, Jawa Barat",,Furniture Dari Kayu
14947,"KHAVINDO, PT","Jl. Nyi Mas Wanawati No. 55, Cirebon, Jawa Barat",,Furniture Dari Rotan
14948,"KHIOSI, CV","Jl. Pasar Kulim, Pekanbaru, Riau",,Egg Tray
14949,KHITA KHAMSMA MANDIRI PT,"Jl. Tengah Pangkalan Ia No. 888, Bekasi, Jawa Barat",,Master Batek Atau Pewarna Pla
14950,"KHOIRIYAH, UD","Dusun Jenggolok, Gresik, Jawa Timur",,Sarung Sutera
14951,KHOIRUL ANAM,"Ngembe Rt. 14/03, Pasuruan, Jawa Timur",813347,Kopyah
14952,KHOIRUL ANAM,"Poh Gurih , Dsn, Mojokerto, Jawa Timur",,Sepatu Kulit
14953,KHOLIS JAYA,"Rejosari Rt. 01/02 , Dsn, Banyuwangi, Jawa Timur",813364,Krupuk
14954,"KHONG GUAN BISKUIT FACTORY, PT","Jl. Raya Jakarta Bogor Km. 26, Jakarta Timur, DKI Jakarta",021 - 871050,Biskuit
14955,"KHRISMASINDO, PT","Jl. Melati Raya No. 1, Sukoharjo, Jawa Tengah",0271 - 622874,Kain Sablon
14956,"KIA , PT","Jl. Surya Lestari Kav 1-2 Surya Cipta, Karawang, Jawa Barat",0267 - 440410,Keramik
14957,KIA INDONESIA MOTOR,"Blok F.3 No. 01 Delta Silicon Ii Lippo Cikarang, Bekasi, Jawa Barat",,Motor
14958,"KIA KERAMIK MAS (KIA GROUPS), PT","Jl. Raya Narogong Km. 51,9, Bogor, Jawa Barat",,Keramik
14959,"KIA TEXTILE INDUSTRIES, PT","Jl. Raya Rancaekek No. 389, Bandung, Jawa Barat",022 - 595432,Kain Grey
14960,KIAD KAYU PT,"Jl. Eka Surya Namo Rambe, Deli Serdang, Sumatera Utara",,Lemari
14961,"KIAN JAYA,UD","Jl. Kacon Dg Lalang No.84, Gowa, Sulawesi Selatan",0411 - 881152,Soda/limun
14962,"KIAN MULYA MANUNGGAL, PT","Jl. Rungkut Industri I/16, Surabaya, Jawa Timur",843475,F & N
14963,"KIANBANGUN  PRADIZA, PT","Jl. Industri Selatan A Blok Gg No. 3 H, Bekasi, Jawa Barat",,Kimia Penjernih Air
14964,"KIANBANGUN PRADIZA, PT","Jl. Industri Selatan A Blok Gg No. 3h, Bekasi, Jawa Barat",,Bahan Kimia Penjernih Air
14965,KIANIS PRATAMA PT,"Kawasan Pergudangan Bizpark Blok A1 No. 23-25, Jakarta Timur, DKI Jakarta",,Forklift Dan Sparepart
14966,"KIANTAKA RASA, PT","Pusat Perkantoran Sastra Graha No. 21, Jakarta Barat, DKI Jakarta",,Bahan Baku Bumbu Kemas
14967,"KIANTAKA RASA, PT","Kampung Kadu Tr 06/01 No. 50 Jl. Industri Raya Ii, Tangerang, Banten",,Bumbu Masak
14968,"KIAT MURNI LESTARI, PT","Jl. Raya Serang Km. 16,8 Rt. 001/01, Tangerang, Banten",021 - 596912,"Kain Dari Benang, Perajutan"
14969,KIAT UNGGUL PT,"Jl. Makmur Dusun 3, Langkat, Sumatera Utara",,Korek Api Gas (mancis)
14970,KIDANG MAS,"Jl. Raya Langensari  Dsn.kedung Waringin, Banjar, Jawa Barat",,Limbah Plastik
14971,"KIDO JAYA, PT","Jl. Raya Pancawati, Karawang, Jawa Barat",0267 - 431525,Pakaian Jadi
14972,KIDO JAYA2 PT,"Purwasari, Karawang, Jawa Barat",,Jaket Pakaian Olahraga
14973,"KIDO MULIA INDONESIA, PT","Jl. Supriadi 64 Gedangsewu, Brebes, Jawa Tengah",085870122885,Jaket Kulit
14974,"KIDS AGOGO, PT","Jl. Bidadari 2 No. 26, Badung, Bali",,Pakaian Jadi
14975,"KIDUNG AGUNG , UD","Jl. Sumber Kembar Gg. I, Malang, Jawa Timur",0341 - 897352,Permen
14976,"KIEVIT INDONESIA, PT","Jl. Merpati No. 1 Kel Mangunsari, Salatiga, Jawa Tengah",0298 - 324444,Vana Blanca
14977,"KIEWELL PLASINDO, PT","Jl. Cempaka Desa Grogol, Sukoharjo, Jawa Tengah",,Cup Dan Botol
14978,"KIHO BALI KORIN, PT","Babadan Purwomartani, Sleman, D.I. Yogyakarta",0274 - 496415,Sarung Tangan Golf
14979,"KIJANG JAYA MANDIRI, PT","Jl Raya Pangkalpinang-sungailiat Km 18,5  Merawang-bangka, Bangka, Kepulauan Bangka Belitung",0717 - 426212,Jasa Peleburan Pasir Timah/logam
14980,"KIJANG MAS, CV","Desa Kedungrejo Rt. 10/04, Sidoarjo, Jawa Timur",0343 - 656681,Sate Dan Siomay
14981,"KIJANG MAS, CV","Dusun Tungguwulung, Sidoarjo, Jawa Timur",,Siomay Dan Tempura
14982,"KIJANG, PT","Dusun Tundungan Sroyo, Karanganyar, Jawa Tengah",0271 - 826214,Kerupuk
14983,"KIKI COLECTION, UD","Jl. Raya Pujer, Bondowoso, Jawa Timur",853343,Tas
14984,KIKI JAYA MEBEL,"Kp Gunungguruh Desa Gunung Guruh, Sukabumi, Jawa Barat",0266 - 225764,Furniture
14985,KIKI SFT PAK ASEP SUMARNA,"Kp Ciandong, Bandung, Jawa Barat",,Pakaian Bayi Poopk Celana
14986,"KIKI WIJAYA PLASTIK, PT","Jl. Sukodono, Sidoarjo, Jawa Timur",031 - 891257,Kantong Plastik
14987,KIKY LAUNDRY,"Jl. Persatuan No. 7b, Dki Jakarta, DKI Jakarta",021 -,Jasa Laundry
14988,KILANG  BATU BATA ,"Pagar Merbau Ii, Sumatera Utara, Sumatera Utara",,Batu Bata
14989,KILANG BATU BATA ,"Dusun Lestari, Deli Serdang, Sumatera Utara",,Batu Bata Mesin
14990,KILANG BATU BATA ,"Dusun I, Sumatera Utara, Sumatera Utara",,Batu Bata
14991,KILANG BATU BATA ,"Dusun Ii Tanjung Garbus Kampung, Sumatera Utara, Sumatera Utara",,Batu Bata
14992,KILANG BATU BATA ,"Tanjung Mulia Dusun Lestari, Deli Serdang, Sumatera Utara",,Batu Bata
14993,KILANG BATU BATA ,"Dusun 2 Desa Suka Mulia, Deli Serdang, Sumatera Utara",,Batu Bata
14994,KILANG BATU BATA AMAN JAYA,"Jl. Lintas Medan Tebing Tinggi Dusun 2 Desa Sei Buluh, Serdang Bedagai, Sumatera Utara",,Batu Bata
14995,KILANG BATU BATA INTI PERKASA,"Jl. Lintas Medan Tebing Tinggi Dusun 2 Desa Sei Buluh, Serdang Bedagai, Sumatera Utara",,Batu Bata
14996,KILANG BATU BATA MESIN (NUR ARIFIN),"Desa Melati Dua Dusun Rambutan, Serdang Bedagai, Sumatera Utara",,Batu Bata
14997,KILANG BATU BATA MESIN NUR ARIFIN,"Desa Melati Dua Dusun Mangga, Serdang Bedagai, Sumatera Utara",,Batu Bata
14998,KILANG BATU MAS/ AHWAT,"Dusun I Desa Sei Buluh, Serdang Bedagai, Sumatera Utara",,Batu Bata Merah
14999,KILANG BATU MESIN ,"Dusun Lestari, Deli Serdang, Sumatera Utara",,Batu Bata Mesin
15000,KILANG BATU SUGIANTO,"Dusun 2 Karang Anyar, Serdang Bedagai, Sumatera Utara",,Batu Bata
15001,KILANG JAGUNG HASIL TANI,"Jl. Sei Renggas Kisaran Barat Lingkungan Ii, Asahan, Sumatera Utara",062 - 43762,Jagung Giling
15002,KILANG KARIM,"Sei Tohor, Riau, Riau",,Tepung Sagu
15003,"KILANG KECAP ANGSA, PT","Jl. Meranti No. 12, Medan, Sumatera Utara",061 - 452105,Kecap
15004,KILANG KERUPUK JUARA,"Jl. B. Zein Hamid Gg.ladang 183 B, Medan, Sumatera Utara",061 - 786014,Makanan Ringan
15005,KILANG KERUPUK JUARA,"Jl. Ladang, Medan, Sumatera Utara",,Makanana Ringan/ Snack
15006,KILANG LAJU TIMBANGAN,"Jl. Hok Salamuddin No. 32a, Simalungun, Sumatera Utara",0622 - 755134,Timbangan
15007,KILANG LE HUI,"Desa Tanjung Peranap, Riau, Riau",,Tepung Sagu
15008,"KILANG LIMA GUNUNG, PT","Jl. Banuaran No. 24, Padang, Sumatera Barat",0751 - 61148,Crumb Rubber Sir-20
15009,KILANG MAS PERKASA,"Jl. Jababeka Viib Blok K No.2c, Bekasi, Jawa Barat",,Kantong Goni Dan Katun
15010,"KILANG MIE GUNUNG MAS, PT","Jl. Medan - T.morawa Km. 14,2, Deli Serdang, Sumatera Utara",061 - 794038,"Mie Kering Gandum, Mie Lidi Kuning"
15011,KILANG MIHUN JARI JARI,"Jl. Hok Salamuddin Siantar Estate, Simalungun, Sumatera Utara",,Mihun
