no,rank,character,animeography,mangaography,favorites
237,237,Pain,"['Naruto: Shippuuden', 'Naruto x UT', 'Naruto SD: Rock Lee no Seishun Full-Power Ninden']","['Naruto', 'Rock Lee no Seishun Full-Power Ninden']",8084
238,238,Hanako-kun,['Jibaku Shounen Hanako-kun'],"['Jibaku Shounen Hanako-kun', 'Houkago Shounen Hanako-kun', 'Jibaku Shounen Hanako-kun 0']",7987
239,239,"Komi, Shouko","['Komi-san wa, Comyushou desu.', 'Komi-san wa, Comyushou desu. 2nd Season']","['Komi-san wa Comyushou desu.', 'Komi-san wa, Comyushou desu.']",7954
240,240,"Katsura, Kotarou","['Gintama Movie 1: Shinyaku Benizakura-hen', 'Gintama: Dai Hanseikai', 'Gintama.']","['Gintama', '3-nen Z-gumi Ginpachi-sensei', 'Gekijouban Gintama: Kanketsu-hen - Yorozuya yo Eien Nare']",7873
241,241,Denji,['Chainsaw Man'],['Chainsaw Man'],7827
242,242,"Kuroki, Tomoko","['Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!', 'Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!: Motenaishi, Nazomeite Miru']","['Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!', 'Watashi no Tomodachi ga Motenai no wa Dou Kangaetemo Omaera ga Warui.', 'Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui! Anthology']",7764
243,243,"Son, Hak","['Akatsuki no Yona', 'Akatsuki no Yona OVA']",['Akatsuki no Yona'],7738
244,244,Nanachi,"['Made in Abyss Movie 3: Fukaki Tamashii no Reimei', 'Made in Abyss Movie 2: Hourou Suru Tasogare', 'Made in Abyss: Retsujitsu no Ougonkyou']",['Made in Abyss'],7711
245,245,"Arima, Kousei","['Shigatsu wa Kimi no Uso', 'Shigatsu wa Kimi no Uso: Moments']","['Shigatsu wa Kimi no Uso', 'Shigatsu wa Kimi no Uso: 6-nin no Études', 'Shigatsu wa Kimi no Uso: Coda']",7670
246,246,"Hayasaka, Ai","['Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen', 'Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen', 'Kaguya-sama wa Kokurasetai: Ultra Romantic']","['Kaguya-sama wa Kokurasetai: Doujin-ban', 'Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen', 'Kaguya-sama wo Kataritai']",7661
247,247,"Valentine, Faye","['Cowboy Bebop', 'Cowboy Bebop: Tengoku no Tobira', 'Cowboy Bebop: Yose Atsume Blues']","['Cowboy Bebop', 'Shooting Star Bebop: Cowboy Bebop']",7587
248,248,"Hijikata, Toushirou","['Gintama: Dai Hanseikai', 'Gintama: Yorinuki Gintama-san on Theater 2D', 'Gintama']","['3-nen Z-gumi Ginpachi-sensei', 'Gintama', 'Gekijouban Gintama: Kanketsu-hen - Yorozuya yo Eien Nare']",7578
249,249,"Nagisa, Kaworu","['Evangelion: 3.0 You Can (Not) Redo', 'Neon Genesis Evangelion', 'Neon Genesis Evangelion: Death & Rebirth']","['Neon Genesis Evangelion: Campus Apocalypse', 'Shinseiki Evangelion: Ikari Shinji Tantei Nikki', 'Shinseiki Evangelion: Pikopiko Chuugakusei Densetsu']",7577
250,250,"Katsuragi, Keima","['Kami nomi zo Shiru Sekai', 'Kami nomi zo Shiru Sekai II', 'Kami nomi zo Shiru Sekai: Tenri-hen']","['Kami nomi zo Shiru Sekai', 'Kami nomi zo Shiru Sekai', 'Kami nomi zo Shiru Sekai: On the Train+Pilot Films']",7566
251,251,"Yang, Wen-li","['Ginga Eiyuu Densetsu', 'Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai', 'Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture']","['Ginga Eiyuu Densetsu', 'Ginga Eiyuu Densetsu', 'Ginga Eiyuu Densetsu: Eiyuu-tachi no Shouzou']",7512
252,252,"Shiota, Nagisa","['Ansatsu Kyoushitsu: Jump Festa 2013 Special', 'Ansatsu Kyoushitsu', 'Ansatsu Kyoushitsu: Deai no Jikan']","['Ansatsu Kyoushitsu', 'Koro-sensei Q!']",7468
253,253,"Nakahara, Chuuya","['Bungou Stray Dogs: Dead Apple', 'Bungou Stray Dogs', 'Bungou Stray Dogs 2nd Season']","['Bungou Stray Dogs', 'Bungou Stray Dogs Wan!', 'Bungou Stray Dogs']",7409
254,254,"Fullbuster, Gray","['Fairy Tail', 'Fairy Tail OVA', 'Fairy Tail Movie 1: Houou no Miko']","['Fairy Tail', 'Tale of Fairy Tail: Ice Trail', 'Fairy Tail: 100 Years Quest']",7393
255,255,"Braun, Reiner","['Shingeki no Kyojin Season 2 Movie: Kakusei no Houkou', 'Shingeki no Kyojin', 'Shingeki no Kyojin OVA']","['Shingeki no Kyojin', 'Shingeki! Kyojin Chuugakkou', 'Sungeki no Kyojin']",7389
256,256,"Hyoudou, Issei","['High School DxD', 'High School DxD OVA', 'High School DxD Specials']","['High School DxD', 'High School DxD', 'High School DxD: Asia & Koneko no Himitsu no Keiyaku!?']",7351
257,257,"Hiiragi, Shinoa","['Owari no Seraph', 'Owari no Seraph: Nagoya Kessen-hen', 'Owari no Seraph: The Beginning of the End']","['Owari no Seraph', 'Owari no Seraph: Ichinose Guren, 16-sai no Catastrophe']",7297
258,258,Legoshi,"['Beastars', 'Beastars 2nd Season']","['Beastars', 'Beast Complex']",7228
259,259,"Heartfilia, Lucy","['Fairy Tail', 'Fairy Tail OVA', 'Fairy Tail Movie 1: Houou no Miko']","['Fairy Tail', 'Fairy Tail+', 'Fairy Girls']",7225
260,260,"Lucilfer, Chrollo","['Hunter x Hunter', 'Hunter x Hunter: Original Video Animation', 'Hunter x Hunter: Greed Island']",['Hunter x Hunter'],7201
261,261,"Miyamizu, Mitsuha","['Kimi no Na wa.', 'Suntory Minami Alps no Tennensui', 'Tenki no Ko']","['Kimi no Na wa.', 'Kimi no Na wa. Another Side: Earthbound']",7199
262,262,"Ryoumen, Sukuna",['Jujutsu Kaisen (TV)'],['Jujutsu Kaisen'],7194
263,263,"Hachikuji, Mayoi","['Bakemonogatari', 'Bakemonogatari Recap', 'Monogatari Series: Second Season']","['Monogatari Series: First Season', 'Monogatari Series: Second Season', 'Bakemonogatari Short Stories']",7158
264,264,"Kiryuuin, Satsuki","['Kill la Kill', 'Kill la Kill Specials']",['Kill la Kill'],7137
265,265,Phosphophyllite,"['Houseki no Kuni', 'Houseki no Kuni (TV)']",['Houseki no Kuni'],7132
266,266,"Itou, Kaiji","['Gyakkyou Burai Kaiji: Ultimate Survivor', 'Gyakkyou Burai Kaiji: Hakairoku-hen', 'Chuukan Kanriroku Tonegawa']","['Tobaku Mokushiroku Kaiji', 'Tobaku Hakairoku Kaiji', 'Tobaku Datenroku Kaiji']",7097
267,267,"Misaki, Mei","['Another', 'Another: The Other - Inga', 'Another: Misaki Mei - Shizukani']","['Another', 'Another']",7086
268,268,Shana,"['Shakugan no Shana', 'Shakugan no Shana-tan', 'Shakugan no Shana: Koi to Onsen no Kougai Gakushuu!']","['Shakugan no Shana', 'Shakugan no Shana', 'Shakugan no Shana: Reshuffle']",7067
269,269,"Tenma, Kenzou","['Monster', 'Monster Extra: Hottan']",['Monster'],6993
270,270,"Hyakuya, Mikaela","['Owari no Seraph', 'Owari no Seraph: Nagoya Kessen-hen', 'Owari no Seraph: The Beginning of the End']","['Owari no Seraph', 'Owari no Seraph: Kyuuketsuki Mikaela no Monogatari', 'Owari no Seraph: Ichinose Guren, 16-sai no Catastrophe']",6991
271,271,"Kiryuu, Zero","['Vampire Knight', 'Vampire Knight: Guilty']","['Vampire Knight', 'Vampire Knight: Ice Blue no Tsumi', 'Vampire Knight: Noir no Wana']",6972
272,272,"Aizawa, Shouta","['Boku no Hero Academia', 'Boku no Hero Academia 2nd Season', 'Boku no Hero Academia: Sukue! Kyuujo Kunren!']","['Boku no Hero Academia Smash!', 'Boku no Hero Academia', 'Vigilante: Boku no Hero Academia Illegals']",6930
273,273,"Joestar, Johnny",[],"['JoJo no Kimyou na Bouken Part 7: Steel Ball Run', 'JoJo no Kimyou na Bouken Part 8: JoJolion']",6885
274,274,"Komaeda, Nagito","['Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen', 'Super Danganronpa 2.5: Komaeda Nagito to Sekai no Hakaimono', 'Danganronpa 3: Monokuma Gekijou']","['Super Danganronpa 2: Nanami Chiaki no Sayonara Zetsubou Daibouken', 'Super Danganronpa 2: Sayonara Zetsubou Gakuen - 4-koma KINGS', 'Super Danganronpa 2: Chou Koukou-kyuu no Kouun to Kibou to Zetsubou']",6858
275,275,Escanor,"['Nanatsu no Taizai: Kamigami no Gekirin', 'Nanatsu no Taizai: Fundo no Shinpan', 'Nanatsu no Taizai: Seisen no Shirushi']","['Nanatsu no Taizai: Edinburgh no Kyuuketsuki', 'Nanatsu no Taizai']",6851
276,276,"Urameshi, Yuusuke","['Yuu☆Yuu☆Hakusho', 'Yuu☆Yuu☆Hakusho (Movie)', 'Yuu☆Yuu☆Hakusho: Meikai Shitou-hen - Honoo no Kizuna']",['Yuu☆Yuu☆Hakusho'],6840
277,277,"Kuchiki, Rukia","['Bleach', 'Bleach: Memories in the Rain', 'Bleach: The Sealed Sword Frenzy']","['Bleach', 'Bleach', 'Bleach: Letters From the Other Side']",6835
278,278,Yona,"['Akatsuki no Yona', 'Akatsuki no Yona OVA']",['Akatsuki no Yona'],6833
279,279,"Bokuto, Koutarou","['Haikyuu!! Second Season', 'Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou', 'Haikyuu!!: vs. ""Akaten""']",['Haikyuu!!'],6831
280,280,"Kaname, Madoka","['Mahou Shoujo Madoka★Magica', 'Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari', 'Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari']","['Mahou Shoujo Madoka★Magica', 'Mahou Shoujo Madoka★Magica', 'Mahou Shoujo Madoka★Magica: Anthology Comic']",6769
281,281,"Aizen, Sousuke","['Bleach', 'Bleach: The Sealed Sword Frenzy']",['Bleach'],6719
282,282,"Giovanna, Giorno","['JoJo no Kimyou na Bouken Part 5: Ougon no Kaze', 'JoJo no Kimyou na Bouken Part 5: Ougon no Kaze Recaps']","['JoJo no Kimyou na Bouken Part 5: Ougon no Kaze', 'JoJo no Kimyou na Bouken II: Golden Heart/Golden Ring', 'Jorge Joestar']",6687
283,283,"Nikiforov, Victor",['Yuri!!! on Ice'],[],6644
284,284,"Kuronuma, Sawako","['Kimi ni Todoke', 'Kimi ni Todoke 2nd Season', 'Kimi ni Todoke 2nd Season: Kataomoi']","['Kimi ni Todoke', 'Kimi ni Todoke', 'Kimi ni Todoke Bangai-hen: Unmei no Hito']",6613
285,285,"Mankanshoku, Mako","['Kill la Kill', 'Kill la Kill Specials']",['Kill la Kill'],6588
286,286,Inuyasha,"['InuYasha', 'InuYasha Movie 4: Guren no Houraijima', 'InuYasha Movie 2: Kagami no Naka no Mugenjo']","['InuYasha', '3.11 wo Wasurenai Tame ni Heroes Comeback']",6587
287,287,"Uchiha, Obito","['Naruto: Shippuuden', 'Naruto: Shippuuden Movie 3 - Hi no Ishi wo Tsugu Mono']","['Naruto', 'Rock Lee no Seishun Full-Power Ninden']",6574
288,288,"Gokou, Ruri","['Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials', 'Ore no Imouto ga Konnani Kawaii Wake ga Nai: SD Chara ni Yoru Character Commentary', 'Ore no Imouto ga Konnani Kawaii Wake ga Nai.']","['Ore no Kouhai ga Konnani Kawaii Wake ga Nai', 'Ore no Imouto ga Konnani Kawaii Wake ga Nai', 'Ore no Imouto ga Konnani Kawaii Wake ga Nai']",6547
289,289,"Ayuzawa, Misaki","['Kaichou wa Maid-sama!', 'Kaichou wa Maid-sama!: Omake dayo!', 'Kaichou wa Maid-sama!: Goshujinsama to Asonjao♥']","['Kaichou wa Maid-sama!', 'Kaichou wa Maid-sama!: Marriage']",6543
290,290,"Haruhara, Haruko","['FLCL', 'FLCL Progressive', 'FLCL Alternative']","['FLCL', 'FLCL']",6507
291,291,"Kuroo, Tetsurou","['Haikyuu!!: Riku vs. Kuu', 'Haikyuu!!', 'Haikyuu!!: Lev Genzan!']",['Haikyuu!!'],6486
292,292,"Edogawa, Conan","['Detective Conan', 'Detective Conan Movie 01: The Timed Skyscraper', 'Detective Conan Movie 02: The Fourteenth Target']","['Detective Conan', 'Detective Conan Tokubetsu-hen', 'Detective Conan']",6411
293,293,"Nakano, Azusa","['K-On!', 'K-On!: Live House!', 'K-On!: Ura-On!']","['K-On!', 'K-On! Anthology Comic', 'K-On! Highschool']",6389
294,294,Albedo,"['Overlord', 'Overlord: Ple Ple Pleiades', 'Overlord Movie 1: Fushisha no Ou']","['Overlord', 'Overlord']",6380
295,295,"Fujioka, Haruhi",['Ouran Koukou Host Club'],"['Ouran Koukou Host Club', 'Ouran Koukou Host Club', 'Ouran Koukou Host Club Short Special']",6344
296,296,Sesshoumaru,"['InuYasha Movie 3: Tenka Hadou no Ken', 'InuYasha: Kuroi Tessaiga', 'Hanyou no Yashahime: Sengoku Otogizoushi - Ni no Shou']","['InuYasha', '3.11 wo Wasurenai Tame ni Heroes Comeback']",6338
297,297,"Kishibe, Rohan","['JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai', 'Kishibe Rohan wa Ugokanai']","['JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai', 'Kishibe Rohan Louvre e Iku', ""The Book: JoJo's Bizarre Adventure 4th Another Day""]",6314
298,298,"Sakuragi, Hanamichi","['Slam Dunk', 'Slam Dunk (Movie)', 'Slam Dunk: Zenkoku Seiha Da! - Sakuragi Hanamichi']",['Slam Dunk'],6236
299,299,Isla,['Plastic Memories'],[],6235
300,300,"Kitagawa, Marin",['Sono Bisque Doll wa Koi wo Suru'],['Sono Bisque Doll wa Koi wo Suru'],6231
301,301,"Paladiknight, Leorio","['Hunter x Hunter', 'Hunter x Hunter: Original Video Animation', 'Hunter x Hunter Pilot']",['Hunter x Hunter'],6221
302,302,Norman,"['Yakusoku no Neverland', 'Yakusoku no Neverland 2nd Season']","['Yakusoku no Neverland', 'Oyakusoku no Neverland']",6201
303,303,"Akashi, Seijuurou","['Kuroko no Basket: Saikou no Present Desu', 'Kuroko no Basket Movie 4: Last Game', 'Kuroko no Basket Movie 3: Winter Cup - Tobira no Mukou']","['Kuroko no Basket: Extra Game', 'Kuroko no Basket: Replace Plus', 'Kuroko no Basket']",6195
304,304,"Charlotte, Katakuri",['One Piece'],['One Piece'],6168
305,305,"Sturluson, Celty","['Durarara!!', 'Durarara!! Specials', 'Durarara!!x2 Shou']","['Durarara!!', 'Durarara!!', 'Durarara!! Saika-hen']",6163
306,306,"Nagatoro, Hayase","['Ijiranaide, Nagatoro-san', 'Ijiranaide, Nagatoro-san 2nd Season']","['Ijiranaide, Nagatoro-san']",6133
307,307,"Tsunemori, Akane","['Psycho-Pass', 'Psycho-Pass Movie', 'Psycho-Pass 2']","['Kanshikan Tsunemori Akane', 'Gakuen Psycho-Pass']",6116
308,308,"Kotobuki, Tsumugi","['K-On!', 'K-On!: Live House!', 'K-On!: Ura-On!']","['K-On!', 'K-On! Anthology Comic', 'K-On! College']",6062
309,309,Decim,"['Death Billiards', 'Death Parade']",[],6032
310,310,Hyakkimaru,"['Dororo to Hyakkimaru', 'Dororo Pilot', 'Dororo']","['Dororo', 'Dororo to Hyakkimaru Den', 'Dororo to Enma-kun']",6013
311,311,"Takamura, Mamoru","['Hajime no Ippo', 'Hajime no Ippo: Champion Road', 'Hajime no Ippo: New Challenger']",['Hajime no Ippo'],6011
312,312,"Grimmer, Wolfgang",['Monster'],['Monster'],6005
313,313,"Bucciarati, Bruno","['JoJo no Kimyou na Bouken Part 5: Ougon no Kaze', 'JoJo no Kimyou na Bouken Part 5: Ougon no Kaze Recaps']","['JoJo no Kimyou na Bouken Part 5: Ougon no Kaze', 'JoJo no Kimyou na Bouken II: Golden Heart/Golden Ring', 'Hajishirazu no Purple Haze: JoJo no Kimyou na Bouken yori']",5990
314,314,"Onodera, Punpun",[],['Oyasumi Punpun'],5962
315,315,"Kirstein, Jean","['Shingeki no Kyojin OVA', 'Shingeki no Kyojin', 'Shingeki no Kyojin Picture Drama']","['Shingeki no Kyojin', 'Shingeki! Kyojin Chuugakkou', 'Sungeki no Kyojin']",5960
316,316,"Okita, Sougo","['Gintama: Dai Hanseikai', 'Gintama', 'Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi']","['3-nen Z-gumi Ginpachi-sensei', 'Gintama', 'Gekijouban Gintama: Kanketsu-hen - Yorozuya yo Eien Nare']",5952
317,317,"Littner, Yoko","['Tengen Toppa Gurren Lagann', 'Tengen Toppa Gurren Lagann: Mitee Mono wa Miteen da!!', 'Tengen Toppa Gurren Lagann Movie 1: Gurren-hen']","['Tengen Toppa Gurren Lagann', 'Tengen Toppa Gurren Lagann: Gurren Gakuen-hen', 'Tengen Toppa Gurren Lagann 4-koma Kingdom: Yoko no Oheso-hen']",5933
318,318,"Kirishima, Eijirou","['Boku no Hero Academia', 'Boku no Hero Academia 2nd Season', 'Boku no Hero Academia: Sukue! Kyuujo Kunren!']",['Boku no Hero Academia'],5916
319,319,"Kuujou, Jolyne",['JoJo no Kimyou na Bouken Part 6: Stone Ocean'],"['JoJo no Kimyou na Bouken Part 6: Stone Ocean', 'Jolyne, Gucci de Tobu']",5900
320,320,"Makunouchi, Ippo","['Hajime no Ippo', 'Hajime no Ippo: Champion Road', 'Hajime no Ippo: New Challenger']","['Hajime no Ippo', 'Magazine Ohanami!!']",5868
321,321,"Hughes, Maes","['Fullmetal Alchemist', 'Fullmetal Alchemist: The Conqueror of Shamballa', 'Fullmetal Alchemist: Reflections']",['Fullmetal Alchemist'],5859
322,322,"Takasu, Ryuuji","['Toradora!', 'Toradora!: SOS! Kuishinbou Banbanzai', 'Toradora!: Bentou no Gokui']","['Toradora!', 'Toradora!', 'Toradora Spin-off!']",5813
323,323,Sinbad,"['Magi: Sinbad no Bouken', 'Magi: Sinbad no Bouken (TV)', 'Magi: The Labyrinth of Magic']","['Magi: Sinbad no Bouken', 'Magi: Sinbad no Bouken - Prototype', 'Magi']",5794
324,324,"Emiya, Shirou","['Fate/stay night', 'Fate/stay night Movie: Unlimited Blade Works', 'Fate/stay night TV Reproduction']","['Fate/stay night', 'Fate/stay night: Comic Battle', 'Fate/hollow ataraxia']",5773
325,325,"Sawada, Tsunayoshi","['Katekyo Hitman Reborn!', 'Katekyo Hitman Reborn! Vongola Family Soutoujou! Vongola Shiki Shuugakuryokou, Kuru!!', 'Katekyo Hitman Reborn! x ēlDLIVE Special']","['Katekyo Hitman Reborn!', 'Katekyo Hitman Reborn! Secret Bullet', 'Vongola GP Kuru']",5749
326,326,"Deviluke, Momo Belia","['To LOVE-Ru Darkness', 'To LOVE-Ru Darkness OVA', 'To LOVE-Ru Darkness 2nd']","['To LOVE-Ru Darkness', 'To LOVE-Ru Darkness: Little Sisters', 'To LOVE-Ru']",5733
327,327,Tooru,"['Kobayashi-san Chi no Maid Dragon', 'Kobayashi-san Chi no OO Dragon', 'Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai']","['Kobayashi-san Chi no Maid Dragon', 'Kobayashi-san Chi no Maid Dragon: Koushiki Anthology', 'Kobayashi-san Chi no Maid Dragon: Kanna no Nichijou']",5717
328,328,"Furude, Rika","['Higurashi no Naku Koro ni', 'Higurashi no Naku Koro ni Kai', 'Higurashi no Naku Koro ni Special: Nekogoroshi-hen']","['Higurashi no Naku Koro ni: Tatarigoroshi-hen', 'Higurashi no Naku Koro ni: Himatsubushi-hen', 'Higurashi no Naku Koro ni Kai: Meakashi-hen']",5685
329,329,"Kuchiki, Byakuya","['Bleach', 'Bleach: The Sealed Sword Frenzy', 'Bleach Movie 1: Memories of Nobody']","['Bleach: The Honey Dish Rhapsody', 'Bleach', 'Bleach 4-koma: Komaburi']",5679
330,330,Elaina,['Majo no Tabitabi'],"['Majo no Tabitabi', 'Majo no Tabitabi']",5642
331,331,"Sutcliff, Grell","['Kuroshitsuji Picture Drama', 'Kuroshitsuji', 'Kuroshitsuji Recap']","['Kuroshitsuji', 'Kuroshitsuji Anthology Comic: Nijishitsuji']",5637
332,332,Garou,"['One Punch Man 2nd Season', 'One Punch Man 2nd Season Specials']",['One Punch-Man'],5636
333,333,"Nanami, Kento",['Jujutsu Kaisen (TV)'],['Jujutsu Kaisen'],5629
334,334,"Matou, Sakura","[""Fate/stay night Movie: Heaven's Feel - I. Presage Flower"", ""Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly"", ""Fate/stay night Movie: Heaven's Feel - III. Spring Song""]","[""Fate/stay night: Heaven's Feel"", 'Fate/stay night', 'Fate/Zero']",5595
335,335,"Ryuuguu, Rena","['Higurashi no Naku Koro ni', 'Higurashi no Naku Koro ni Kai', 'Higurashi no Naku Koro ni Special: Nekogoroshi-hen']","['Higurashi no Naku Koro ni: Onikakushi-hen', 'Higurashi no Naku Koro ni: Watanagashi-hen', 'Higurashi no Naku Koro ni: Tatarigoroshi-hen']",5590
336,336,"Dustiness Ford, Lalatina","['Kono Subarashii Sekai ni Shukufuku wo!', 'Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!', 'Kono Subarashii Sekai ni Shukufuku wo! 2']","['Kono Subarashii Sekai ni Shukufuku wo!', 'Kono Subarashii Sekai ni Shukufuku wo!', 'Kono Subarashii Sekai ni Nichijou wo!']",5581
337,337,"Harima, Kenji","['School Rumble', 'School Rumble: Ichi Gakki Hoshuu', 'School Rumble Ni Gakki']","['School Rumble', 'School Rumble Z', 'Bessatsu School Rumble']",5572
338,338,Takagi,"['Karakai Jouzu no Takagi-san', 'Karakai Jouzu no Takagi-san: Water Slide', 'Karakai Jouzu no Takagi-san 2']","['Karakai Jouzu no Takagi-san', 'Karakai Jouzu no (Moto) Takagi-san', 'Koi ni Koisuru Yukari-chan']",5551
339,339,"Lee, Rock","['Naruto: Shippuuden Movie 1', 'Naruto SD: Rock Lee no Seishun Full-Power Ninden', 'Naruto']","['Rock Lee no Seishun Full-Power Ninden', 'Naruto', 'Road to Ninja: Naruto the Movie']",5488
340,340,"Busujima, Saeko","['Highschool of the Dead', 'Highschool of the Dead: Drifters of the Dead']","['Highschool of the Dead', 'Highschool of the Head']",5472
341,341,"Miyauchi, Renge","['Non Non Biyori', 'Non Non Biyori: Okinawa e Ikukoto ni Natta', 'Non Non Biyori Repeat']",['Non Non Biyori'],5471
342,342,"Uraraka, Ochako","['Boku no Hero Academia', 'Boku no Hero Academia 2nd Season', 'Boku no Hero Academia: Sukue! Kyuujo Kunren!']","['Boku no Hero Academia', 'Boku no Hero Academia Smash!']",5463
343,343,"Stadtfeld, Kallen","['Code Geass: Hangyaku no Lelouch', 'Code Geass: Hangyaku no Lelouch Picture Drama', 'Code Geass: Hangyaku no Lelouch Recaps']","['Code Geass: Hangyaku no Lelouch Koushiki Comic Anthology For Boys - Queen', 'Code Black: Hayabiki no Lelouch', 'Code Geass: Hangyaku no Lelouch Gaiden - Shiro no Kishi Kurenai no Yasha']",5457
344,344,"Jaegerjaquez, Grimmjow",['Bleach'],"['Bleach', ""Bleach: Can't Fear Your Own World""]",5455
345,345,Greed,"['Fullmetal Alchemist', 'Fullmetal Alchemist: Reflections', 'Fullmetal Alchemist: Premium Collection']",['Fullmetal Alchemist'],5447
346,346,Shiro,['Deadman Wonderland'],['Deadman Wonderland'],5398
347,347,"Wong Hau Pepelu Tivrusky IV, Edward","['Cowboy Bebop', 'Cowboy Bebop: Tengoku no Tobira', 'Cowboy Bebop: Yose Atsume Blues']","['Cowboy Bebop', 'Shooting Star Bebop: Cowboy Bebop']",5397
348,348,"Son, Gohan","['Dragon Ball Z', 'Dragon Ball Z Movie 01: Ora no Gohan wo Kaese!!', 'Dragon Ball Z Movie 02: Kono Yo de Ichiban Tsuyoi Yatsu']","['Dragon Ball', 'Dragon Ball: Ossu! Kaettekita Son Gokuu to Nakama-tachi!!', 'Dragon Ball SD']",5394
349,349,"Sakura, Kyouko","['Mahou Shoujo Madoka★Magica', 'Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari', 'Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari']","['Mahou Shoujo Oriko★Magica', 'Mahou Shoujo Madoka★Magica', 'Mahou Shoujo Madoka★Magica']",5374
350,350,"Inumaki, Toge","['Jujutsu Kaisen (TV)', 'Jujutsu Kaisen 0 Movie']","['Jujutsu Kaisen 0: Tokyo Toritsu Jujutsu Koutou Senmon Gakkou', 'Jujutsu Kaisen']",5339
351,351,"Tokuchi, Toua",['One Outs'],['One Outs'],5304
352,352,"Sagara, Sousuke","['Full Metal Panic!', 'Full Metal Panic? Fumoffu', 'Full Metal Panic! The Second Raid']","['Full Metal Panic!', 'Full Metal Panic! Sigma', 'Ikinari! Full Metal Panic!']",5292
353,353,"Kirigiri, Kyouko","['Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation', 'Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen', 'Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen']","['Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei', 'Danganronpa Kirigiri', 'Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation']",5265
354,354,Genos,"['One Punch Man', 'One Punch Man Specials', 'One Punch Man 2nd Season']",['One Punch-Man'],5253
355,355,"Sugawara, Koushi","['Haikyuu!!', 'Haikyuu!!: Lev Genzan!', 'Haikyuu!! Second Season']",['Haikyuu!!'],5245
356,356,"Nakiri, Erina","['Shokugeki no Souma', 'Shokugeki no Souma OVA', 'Shokugeki no Souma: Ni no Sara']",['Shokugeki no Souma'],5216
357,357,"Evans, Soul Eater","['Soul Eater', 'Soul Eater NOT!']","['Soul Eater', 'Soul Eater NOT!']",5205
358,358,"Oumae, Kumiko","['Hibike! Euphonium', 'Hibike! Euphonium: Suisougaku-bu no Nichijou', 'Hibike! Euphonium 2']","['Hibike! Euphonium: Kitauji Koukou Suisougaku-bu e Youkoso', 'Hibike! Euphonium: Kitauji Koukou Suisougaku-bu no Ichiban Atsui Natsu', 'Hibike! Euphonium']",5193
359,359,Franky,"['One Piece', 'One Piece Film: Strong World', 'One Piece 3D: Mugiwara Chase']","['One Piece', 'One Piece Party', 'One Piece Log Book Omake']",5187
360,360,"de Blois, Victorique","['Gosick', 'Gosick: Utsukushiki Kaibutsu wa Konton no Sen wo Shimiru']","['Gosick', 'Gosick', 'GosickS']",5157
361,361,"Honma, Meiko","['Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.', 'Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie', 'Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.: Menma e no Tegami']",['Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.'],5154
362,362,"Tainaka, Ritsu","['K-On!', 'K-On!: Live House!', 'K-On!: Ura-On!']","['K-On!', 'K-On! Anthology Comic', 'K-On! College']",5106
363,363,"Matsuoka, Rin","['Free!', 'Free!: FrFr - Short Movie', 'Free!: Eternal Summer']","['High☆Speed!', 'High☆Speed!']",5105
364,364,"Satou, Tatsuhiro",['NHK ni Youkoso!'],"['NHK ni Youkoso!', 'NHK ni Youkoso!']",5097
