no,rank,character,animeography,mangaography,favorites
714,714,"Argyle, Felix","['Re:Zero kara Hajimeru Isekai Seikatsu', 'Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season']","['Re:Zero kara Hajimeru Isekai Seikatsu Ex', 'Re:Zero kara Hajimeru Isekai Seikatsu', 'Re:Zero kara Hajimeru Isekai Seikatsu: Dai-3 Shou - Truth of Zero']",2299
715,715,"Ichinose, Kotomi","['Clannad', 'Kaginado', 'Clannad Movie']","['Clannad', 'Clannad 4-koma Manga Gekijyou', 'Clannad: Hikaru Mimamoru Sakamichi de']",2290
716,716,Bishamon,"['Noragami Aragoto', 'Noragami', 'Noragami OVA']",['Noragami'],2287
717,717,Viral,"['Tengen Toppa Gurren Lagann: Parallel Works', 'Tengen Toppa Gurren Lagann Movie Zenyasai: Viral no Amai Yume', 'Tengen Toppa Gurren Lagann']","['Tengen Toppa Gurren Lagann', 'Tengen Toppa Gurren Lagann: Gurren Gakuen-hen', 'Tengen Toppa Gurren Lagann: Rasen Shounentan']",2284
718,718,Lancer,"['Carnival Phantasm EX Season', 'Carnival Phantasm: Illya-jou', 'Fate/stay night']","['Fate/stay night', 'All Around Type-Moon', 'Fate/hollow ataraxia']",2281
719,719,"Sonozaki, Shion","['Higurashi no Naku Koro ni', 'Higurashi no Naku Koro ni Kai', 'Higurashi no Naku Koro ni Kira']","['Higurashi no Naku Koro ni: Watanagashi-hen', 'Higurashi no Naku Koro ni Kai: Meakashi-hen', 'Higurashi no Naku Koro ni: Yoigoshi-hen']",2277
720,720,Lubbock,"['AkaKill! Gekijou', 'Akame ga Kill!']","['Akame ga Kill!', 'Akame ga Kill! Zero', 'Akame ga Kill! 1.5']",2274
721,721,"Tsutsukakushi, Tsukiko","['Hentai Ouji to Warawanai Neko.', 'Hentai Ouji to Warawanai Neko.: Henneko BBS']","['Hentai Ouji to Warawanai Neko.', 'Hentai Ouji to Warawanai Neko.']",2270
722,722,"Nagumo, Hajime","['Arifureta Shokugyou de Sekai Saikyou', 'Arifureta Shokugyou de Sekai Saikyou Specials', 'Arifureta Shokugyou de Sekai Saikyou 2nd Season']","['Arifureta Shokugyou de Sekai Saikyou', 'Arifureta Shokugyou de Sekai Saikyou', 'Arifureta Nichijou de Sekai Saikyou']",2259
723,723,"Donquixote, Rosinante",['One Piece'],['One Piece'],2235
724,724,"Tanaka, Ryuunosuke","['Haikyuu!!', 'Haikyuu!!: Lev Genzan!', 'Haikyuu!! Second Season']","['Haikyuu!!', 'Haikyuu!!']",2234
725,725,Kumoko,"['Kumo Desu ga, Nani ka?']","['Kumo desu ga, Nani ka?', 'Kumo desu ga, Nani ka?']",2232
726,726,"Nava, Milim","['Tensei shitara Slime Datta Ken', 'Tensei shitara Slime Datta Ken OVA', 'Tensei shitara Slime Datta Ken 2nd Season']","['Tensei shitara Slime Datta Ken', 'Tensei shitara Slime Datta Ken', 'Tensei shitara Slime Datta Ken: Mamono no Kuni no Arukikata']",2229
