no,Kode Saham,Nama Perusahaan
226,FISH,FKS Multi Agro Tbk.
227,FITT,Hotel Fitra International Tbk.
228,FMII,Fortune Mate Indonesia Tbk
229,FOOD,Sentra Food Indonesia Tbk.
230,FORU,Fortune Indonesia Tbk
231,FORZ,Forza Land Indonesia Tbk.
232,FPNI,Lotte Chemical Titan Tbk.
233,FREN,Smartfren Telecom Tbk.
234,FUJI,Fuji Finance Indonesia Tbk.
235,GAMA,Gading Development Tbk.
236,GDST,Gunawan Dianjaya Steel Tbk.
237,GDYR,Goodyear Indonesia Tbk.
238,GEMA,Gema Grahasarana Tbk.
239,GEMS,Golden Energy Mines Tbk.
240,GGRM,Gudang Garam Tbk.
241,GGRP,Gunung Raja Paksi Tbk.
242,GHON,Gihon Telekomunikasi Indonesia Tbk.
243,GIAA,Garuda Indonesia (Persero) Tbk.
244,GJTL,Gajah Tunggal Tbk.
245,GLOB,Global Teleshop Tbk.
246,GLVA,Galva Technologies Tbk.
247,GMFI,Garuda Maintenance Facility Aero Asia Tbk.
248,GMTD,Gowa Makassar Tourism Development Tbk.
249,GOLD,Visi Telekomunikasi Infrastruktur Tbk.
250,GOLL,Golden Plantation Tbk.
251,GOOD,Garudafood Putra Putri Jaya Tbk.
252,GPRA,Perdana Gapuraprima Tbk.
253,GREN,Evergreen Invesco Tbk.
254,GSMF,Equity Development Investment Tbk.
255,GTBO,Garda Tujuh Buana Tbk
256,GWSA,Greenwood Sejahtera Tbk.
257,GZCO,Gozco Plantations Tbk.
258,HADE,Himalaya Energi Perkasa Tbk.
259,HDFA,Radana Bhaskara Finance Tbk.
260,HDIT,Hensel Davest Indonesia Tbk.
261,HDTX,Panasia Indo Resources Tbk.
262,HEAL,Medikaloka Hermina Tbk.
263,HELI,Jaya Trishindo Tbk.
264,HERO,Hero Supermarket Tbk.
265,HEXA,Hexindo Adiperkasa Tbk.
266,HITS,Humpuss Intermoda Transportasi Tbk.
267,HKMU,HK Metals Utama Tbk.
268,HMSP,H.M. Sampoerna Tbk.
269,HOKI,Buyung Poetra Sembada Tbk.
270,HOME,Hotel Mandarine Regency Tbk.
271,HOTL,Saraswati Griya Lestari Tbk.
272,HRME,Menteng Heritage Realty Tbk.
273,HRTA,Hartadinata Abadi Tbk.
274,HRUM,Harum Energy Tbk.
275,IATA,Indonesia Transport & Infrastructure Tbk.
276,IBFN,Intan Baruprana Finance Tbk.
277,IBST,Inti Bangun Sejahtera Tbk.
278,ICBP,Indofood CBP Sukses Makmur Tbk.
279,ICON,Island Concepts Indonesia Tbk.
280,IDPR,Indonesia Pondasi Raya Tbk.
281,IFII,Indonesia Fibreboard Industry Tbk.
282,IFSH,Ifishdeco Tbk.
283,IGAR,Champion Pacific Indonesia Tbk.
284,IIKP,Inti Agri Resources Tbk
285,IKAI,Intikeramik Alamasri Industri Tbk.
286,IKBI,Sumi Indo Kabel Tbk.
287,IMAS,Indomobil Sukses Internasional Tbk.
288,IMJS,Indomobil Multi Jasa Tbk.
289,IMPC,Impack Pratama Industri Tbk.
290,INAF,Indofarma (Persero) Tbk.
291,INAI,Indal Aluminium Industry Tbk.
292,INCF,Indo Komoditi Korpora Tbk.
293,INCI,Intanwijaya Internasional Tbk
294,INCO,Vale Indonesia Tbk.
295,INDF,Indofood Sukses Makmur Tbk.
296,INDO,Royalindo Investa Wijaya Tbk.
297,INDR,Indo-Rama Synthetics Tbk.
298,INDS,Indospring Tbk.
299,INDX,Tanah Laut Tbk
300,INDY,Indika Energy Tbk.
301,INKP,Indah Kiat Pulp & Paper Tbk.
302,INOV,Inocycle Technology Group Tbk.
303,INPC,Bank Artha Graha Internasional Tbk.
304,INPP,Indonesian Paradise Property Tbk.
305,INPS,Indah Prakasa Sentosa Tbk.
306,INRU,Toba Pulp Lestari Tbk.
307,INTA,Intraco Penta Tbk.
308,INTD,Inter Delta Tbk
309,INTP,Indocement Tunggal Prakarsa Tbk.
310,IPCC,Indonesia Kendaraan Terminal Tbk.
311,IPCM,Jasa Armada Indonesia Tbk.
312,IPOL,Indopoly Swakarsa Industry Tbk.
313,IPTV,MNC Vision Networks Tbk.
314,IRRA,Itama Ranoraya Tbk.
315,ISAT,Indosat Tbk.
316,ISSP,Steel Pipe Industry of Indonesia Tbk.
317,ITIC,Indonesian Tobacco Tbk.
318,ITMA,Sumber Energi Andalan Tbk.
319,ITMG,Indo Tambangraya Megah Tbk.
320,ITTG,Leo Investments Tbk.
321,JAST,Jasnita Telekomindo Tbk.
322,JAWA,Jaya Agra Wattie Tbk.
323,JAYA,Armada Berjaya Trans Tbk.
324,JECC,Jembo Cable Company Tbk.
325,JGLE,Graha Andrasentra Propertindo Tbk.
326,JIHD,Jakarta International Hotels & Development Tbk.
327,JKON,Jaya Konstruksi Manggala Pratama Tbk.
328,JKSW,Jakarta Kyoei Steel Works Tbk.
329,JMAS,Asuransi Jiwa Syariah Jasa Mitra Abadi Tbk.
330,JPFA,Japfa Comfeed Indonesia Tbk.
331,JRPT,Jaya Real Property Tbk.
332,JSKY,Sky Energy Indonesia Tbk.
333,JSMR,Jasa Marga (Persero) Tbk.
334,JSPT,Jakarta Setiabudi Internasional Tbk.
335,JTPE,Jasuindo Tiga Perkasa Tbk.
336,KAEF,Kimia Farma (Persero) Tbk.
337,KARW,ICTSI Jasa Prima Tbk.
338,KAYU,Darmi Bersaudara Tbk.
339,KBLI,KMI Wire & Cable Tbk.
340,KBLM,Kabelindo Murni Tbk.
341,KBLV,First Media Tbk.
342,KBRI,Kertas Basuki Rachmat Indonesia Tbk.
343,KDSI,Kedawung Setia Industrial Tbk.
344,KEEN,Kencana Energi Lestari Tbk.
345,KEJU,Mulia Boga Raya Tbk.
346,KIAS,Keramika Indonesia Assosiasi Tbk.
347,KICI,Kedaung Indah Can Tbk
348,KIJA,Kawasan Industri Jababeka Tbk.
349,KINO,Kino Indonesia Tbk.
350,KIOS,Kioson Komersial Indonesia Tbk.
351,KJEN,Krida Jaringan Nusantara Tbk.
352,KKGI,Resource Alam Indonesia Tbk.
353,KLBF,Kalbe Farma Tbk.
354,KMTR,Kirana Megatara Tbk.
355,KOBX,Kobexindo Tractors Tbk.
356,KOIN,Kokoh Inti Arebama Tbk
357,KONI,Perdana Bangun Pusaka Tbk
358,KOPI,Mitra Energi Persada Tbk.
359,KOTA,DMS Propertindo Tbk.
360,KPAL,Steadfast Marine Tbk.
361,KPAS,Cottonindo Ariesta Tbk.
362,KPIG,MNC Land Tbk.
363,KRAH,Grand Kartech Tbk.
364,KRAS,Krakatau Steel (Persero) Tbk.
365,KREN,Kresna Graha Investama Tbk.
366,LAND,Trimitra Propertindo Tbk.
367,LAPD,Leyand International Tbk.
368,LCGP,Eureka Prima Jakarta Tbk.
369,LCKM,LCK Global Kedaton Tbk.
370,LEAD,Logindo Samudramakmur Tbk.
371,LIFE,Asuransi Jiwa Sinarmas MSIG Tbk.
372,LINK,Link Net Tbk.
373,LION,Lion Metal Works Tbk.
374,LMAS,Limas Indonesia Makmur Tbk
375,LMPI,Langgeng Makmur Industri Tbk.
376,LMSH,Lionmesh Prima Tbk.
377,LPCK,Lippo Cikarang Tbk
378,LPGI,Lippo General Insurance Tbk.
379,LPIN,Multi Prima Sejahtera Tbk
380,LPKR,Lippo Karawaci Tbk.
381,LPLI,Star Pacific Tbk
382,LPPF,Matahari Department Store Tbk.
383,LPPS,Lippo Securities Tbk.
384,LRNA,Eka Sari Lorena Transport Tbk.
385,LSIP,PP London Sumatra Indonesia Tbk.
386,LTLS,Lautan Luas Tbk.
387,LUCK,Sentral Mitra Informatika Tbk.
388,MABA,Marga Abhinaya Abadi Tbk.
389,MAGP,Multi Agro Gemilang Plantation Tbk.
390,MAIN,Malindo Feedmill Tbk.
391,MAMI,Mas Murni Indonesia Tbk
392,MAMIP,Mas Murni Tbk (Saham Preferen)
393,MAPA,Map Aktif Adiperkasa Tbk.
394,MAPB,MAP Boga Adiperkasa Tbk.
395,MAPI,Mitra Adiperkasa Tbk.
396,MARI,Mahaka Radio Integra Tbk.
397,MARK,Mark Dynamics Indonesia Tbk.
398,MASA,Multistrada Arah Sarana Tbk.
399,MAYA,Bank Mayapada Internasional Tbk.
400,MBAP,Mitrabara Adiperdana Tbk.
401,MBSS,Mitrabahtera Segara Sejati Tbk.
402,MBTO,Martina Berto Tbk.
403,MCAS,M Cash Integrasi Tbk.
404,MCOR,Bank China Construction Bank Indonesia Tbk.
405,MDIA,Intermedia Capital Tbk.
406,MDKA,Merdeka Copper Gold Tbk.
407,MDKI,Emdeki Utama Tbk.
408,MDLN,Modernland Realty Tbk.
409,MDRN,Modern Internasional Tbk.
410,MEDC,Medco Energi Internasional Tbk.
411,MEGA,Bank Mega Tbk.
412,MERK,Merck Tbk.
413,META,Nusantara Infrastructure Tbk.
414,MFIN,Mandala Multifinance Tbk.
415,MFMI,Multifiling Mitra Indonesia Tbk.
416,MGNA,Magna Investama Mandiri Tbk.
417,MGRO,Mahkota Group Tbk.
418,MICE,Multi Indocitra Tbk.
419,MIDI,Midi Utama Indonesia Tbk.
420,MIKA,Mitra Keluarga Karyasehat Tbk.
421,MINA,Sanurhasta Mitra Tbk.
422,MIRA,Mitra International Resources Tbk.
423,MITI,Mitra Investindo Tbk.
424,MKNT,Mitra Komunikasi Nusantara Tbk.
425,MKPI,Metropolitan Kentjana Tbk.
426,MLBI,Multi Bintang Indonesia Tbk.
427,MLIA,Mulia Industrindo Tbk
428,MLPL,Multipolar Tbk.
429,MLPT,Multipolar Technology Tbk.
430,MMLP,Mega Manunggal Property Tbk.
431,MNCN,Media Nusantara Citra Tbk.
432,MOLI,Madusari Murni Indah Tbk.
433,MPMX,Mitra Pinasthika Mustika Tbk.
434,MPOW,Megapower Makmur Tbk.
435,MPPA,Matahari Putra Prima Tbk.
436,MPRO,Maha Properti Indonesia Tbk.
437,MRAT,Mustika Ratu Tbk.
438,MREI,Maskapai Reasuransi Indonesia Tbk.
439,MSIN,MNC Studios International Tbk.
440,MSKY,MNC Sky Vision Tbk.
441,MTDL,Metrodata Electronics Tbk.
442,MTFN,Capitalinc Investment Tbk.
443,MTLA,Metropolitan Land Tbk.
444,MTPS,Meta Epsi Tbk.
445,MTRA,Mitra Pemuda Tbk.
446,MTSM,Metro Realty Tbk.
447,MTWI,Malacca Trust Wuwungan Insurance Tbk.
448,MYOH,Samindo Resources Tbk.
449,MYOR,Mayora Indah Tbk.
450,MYRX,Hanson International Tbk.
451,MYRXP,Saham Seri B Hanson International Tbk.
452,MYTX,Asia Pacific Investama Tbk.
453,NASA,Ayana Land International Tbk.
454,NATO,Nusantara Properti Internasional Tbk.
455,NELY,Pelayaran Nelly Dwi Putri Tbk.
456,NFCX,NFC Indonesia Tbk.
457,NICK,Charnic Capital Tbk.
458,NIKL,Pelat Timah Nusantara Tbk.
459,NIPS,Nipress Tbk.
460,NIRO,City Retail Developments Tbk.
461,NISP,Bank OCBC NISP Tbk.
462,NOBU,Bank Nationalnobu Tbk.
463,NRCA,Nusa Raya Cipta Tbk.
464,NUSA,Sinergi Megah Internusa Tbk.
465,NZIA,Nusantara Almazia Tbk.
466,OASA,Protech Mitra Perkasa Tbk.
467,OCAP,Onix Capital Tbk.
468,OKAS,Ancora Indonesia Resources Tbk.
469,OMRE,Indonesia Prima Property Tbk
470,OPMS,Optima Prima Metal Sinergi Tbk.
471,PADI,Minna Padi Investama Sekuritas Tbk.
472,PALM,Provident Agro Tbk.
473,PAMG,Bima Sakti Pertiwi Tbk.
474,PANI,Pratama Abadi Nusa Industri Tbk.
475,PANR,Panorama Sentrawisata Tbk.
476,PANS,Panin Sekuritas Tbk.
477,PBID,Panca Budi Idaman Tbk.
478,PBRX,Pan Brothers Tbk.
479,PBSA,Paramita Bangun Sarana Tbk.
480,PCAR,Prima Cakrawala Abadi Tbk.
481,PDES,Destinasi Tirta Nusantara Tbk
482,PEGE,Panca Global Kapital Tbk.
483,PEHA,Phapros Tbk.
484,PGAS,Perusahaan Gas Negara Tbk.
485,PGJO,Tourindo Guide Indonesia Tbk.
486,PGLI,Pembangunan Graha Lestari Indah Tbk.
487,PICO,Pelangi Indah Canindo Tbk
488,PJAA,Pembangunan Jaya Ancol Tbk.
489,PKPK,Perdana Karya Perkasa Tbk
490,PLAS,Polaris Investama Tbk
491,PLIN,Plaza Indonesia Realty Tbk.
492,PMJS,Putra Mandiri Jembar Tbk.
493,PNBN,Bank Pan Indonesia Tbk
494,PNBS,Bank Panin Dubai Syariah Tbk.
495,PNIN,Paninvest Tbk.
496,PNLF,Panin Financial Tbk.
497,PNSE,Pudjiadi & Sons Tbk.
498,POLA,Pool Advista Finance Tbk.
499,POLI,Pollux Investasi Internasional Tbk.
500,POLL,Pollux Properti Indonesia Tbk.
501,POLU,Golden Flower Tbk.
502,POLY,Asia Pacific Fibers Tbk
503,POOL,Pool Advista Indonesia Tbk.
504,PORT,Nusantara Pelabuhan Handal Tbk.
505,POSA,Bliss Properti Indonesia Tbk.
506,POWR,Cikarang Listrindo Tbk.
507,PPRE,PP Presisi Tbk.
508,PPRO,PP Properti Tbk.
509,PRAS,Prima Alloy Steel Universal Tbk.
510,PRDA,Prodia Widyahusada Tbk.
511,PRIM,Royal Prima Tbk.
512,PSAB,J Resources Asia Pasifik Tbk.
513,PSDN,Prasidha Aneka Niaga Tbk
514,PSGO,Palma Serasih Tbk.
