no,product link,product title,product price
70,https://bibitonline.com/produk/planter-bag-tomato-print-15-liter,Planter Bag Tomato Print (15 Liter),10000
71,https://bibitonline.com/produk/tray-semai-72-lubang-5-pcs,Tray Semai 72 Lubang,13500
72,https://bibitonline.com/produk/sambungan-keni-konektor-elbow-belokan-l-1-2-inch-inci,Sambungan Keni / Konektor Elbow / Belokan L 1/2″ inch inci,1500
73,https://bibitonline.com/produk/polybag-8x12-200-lembar,Polybag 8×12 – 200 Lembar,6000
74,https://bibitonline.com/produk/wall-planter-bag-15-kantong,Wall Planter Bag 15 Kantong,50000
75,https://bibitonline.com/produk/selotip-sayuran-fresh-vegetables,Selotip Sayuran “Fresh Vegetables”,5500
76,https://bibitonline.com/produk/plant-pouch-untuk-tanaman-gantung-vertical-garden-10-kantong,Plant Pouch (untuk Tanaman Gantung / Vertical Garden) – 10 Kantong,8500
77,https://bibitonline.com/produk/plant-stake-ajir-tanaman-11mm-x-180cm-takiron,Plant Stake (Ajir Tanaman) 11mm x 180cm – Takiron,13500
78,https://bibitonline.com/produk/decoprima-biofungisida-trichoderma-streptomyces-geobacillus-100-gram,"DECOPRIMA Biofungisida: Trichoderma, Streptomyces, Geobacillus – 100 gram",52500
79,https://bibitonline.com/produk/tray-anggrek-15-lubang,Tray Anggrek 15 Lubang,18000
80,https://bibitonline.com/produk/tray-semai-288-lubang-5-pcs,Tray Semai 288 Lubang,13500
81,https://bibitonline.com/produk/hedge-planter-bag-untuk-pagar-hidup-tanaman-pembatas-small,Hedge Planter Bag (Untuk Pagar Hidup / Tanaman Pembatas) – Small,31000
82,https://bibitonline.com/produk/sambungan-l-selang-aerator-aquarium-aquascape-hidroponik-aquaponik,Sambungan L Selang Aerator Aquarium / Aquascape / Hidroponik & Aquaponik,500
83,https://bibitonline.com/produk/raised-bed-planter-bag-hijau,Raised Bed Planter Bag Hijau,37000
84,https://bibitonline.com/produk/pupuk-anggrek-namira-100cc,Pupuk Anggrek Namira – 100cc,20000
85,https://bibitonline.com/produk/pot-tawon-putih-21-cm,Pot Tawon Putih 21 cm,9200
86,https://bibitonline.com/produk/sekam-mentah-kulit-padi-500gr,Sekam Mentah / Kulit Padi – 500gr,4000
87,https://bibitonline.com/produk/zpt-golstar-250-sc-perangsang-bunga-dan-buah-30ml,ZPT Golstar 250 SC Perangsang Bunga dan Buah – 30ml,40000
88,https://bibitonline.com/produk/plastik-uv-14-lebar-6-meter-tebal-200-micron-impor,Plastik UV 14% Lebar 6 Meter Tebal 200 micron (Impor),130000
89,https://bibitonline.com/produk/pupuk-dolomit,Pupuk Dolomit – 500 gram,1500
90,https://bibitonline.com/produk/plant-stake-ajir-tanaman-11mm-x-75cm-takiron,Plant Stake (Ajir Tanaman) 11mm x 75cm – Takiron,5500
91,https://bibitonline.com/produk/rockwool-20x15x7-cm,Rockwool Cultilene Optimaxx – 1/5 Slab,15000
92,https://bibitonline.com/produk/pot-keranjang-pupuk-kecil-3-cm-hitam,Pot Keranjang Pupuk Kecil 3 cm – Hitam,2000
