no,rank,title,type,total_eps,show_time,member,score,link_page
3642,"
3642
",Jian Wang 3: Xia Gan Yi Dan Shen Jianxin,ONA,12,Sep 2018 - Nov 2018,"1,720",7.04,https://myanimelist.net/anime/39419/Jian_Wang_3__Xia_Gan_Yi_Dan_Shen_Jianxin
3643,"
3643
",Joker Game,TV,12,Apr 2016 - Jun 2016,"194,425",7.04,https://myanimelist.net/anime/31405/Joker_Game
3644,"
3644
",Jungle Taitei Movie (1997),Movie,1,Aug 1997 - Aug 1997,"3,735",7.04,https://myanimelist.net/anime/2264/Jungle_Taitei_Movie_1997
3645,"
3645
",Kamigami no Asobi,TV,12,Apr 2014 - Jun 2014,"130,521",7.04,https://myanimelist.net/anime/21563/Kamigami_no_Asobi
3646,"
3646
",Log Horizon: Entaku Houkai,TV,12,Jan 2021 - Mar 2021,"191,997",7.04,https://myanimelist.net/anime/41109/Log_Horizon__Entaku_Houkai
3647,"
3647
",Lupin III: Nusumareta Lupin,Special,1,Jul 2004 - Jul 2004,"5,374",7.04,https://myanimelist.net/anime/1429/Lupin_III__Nusumareta_Lupin
3648,"
3648
",Madlax,TV,26,Apr 2004 - Sep 2004,"37,669",7.04,https://myanimelist.net/anime/252/Madlax
3649,"
3649
",Medaka Box,TV,12,Apr 2012 - Jun 2012,"222,978",7.04,https://myanimelist.net/anime/11761/Medaka_Box
3650,"
3650
",Mekakucity Actors,TV,12,Apr 2014 - Jun 2014,"407,527",7.04,https://myanimelist.net/anime/21603/Mekakucity_Actors
3651,"
3651
",Mobile Suit Gundam SEED: After-Phase Between the Stars,Special,1,Mar 2004 - Mar 2004,"14,313",7.04,https://myanimelist.net/anime/2298/Mobile_Suit_Gundam_SEED__After-Phase_Between_the_Stars
3652,"
3652
",Ninkuu,TV,55,Jan 1995 - Feb 1996,"5,625",7.04,https://myanimelist.net/anime/912/Ninkuu
3653,"
3653
","Ore, Tsushima",TV,12,Jul 2021 - Sep 2021,"14,684",7.04,https://myanimelist.net/anime/48252/Ore_Tsushima
3654,"
3654
",Pokemon XY&Z Specials,Special,2,Nov 2016 - Nov 2016,"9,450",7.04,https://myanimelist.net/anime/34325/Pokemon_XY_Z_Specials
3655,"
3655
",Project ARMS: The 2nd Chapter,TV,26,Oct 2001 - Mar 2002,"5,394",7.04,https://myanimelist.net/anime/1493/Project_ARMS__The_2nd_Chapter
3656,"
3656
",Promare: Lio-hen,ONA,1,May 2019 - May 2019,"21,991",7.04,https://myanimelist.net/anime/40313/Promare__Lio-hen
3657,"
3657
",Ranma ½: Totteoki Talk - Best of Memories,OVA,1,May 1993 - May 1993,"3,962",7.04,https://myanimelist.net/anime/10822/Ranma_½__Totteoki_Talk_-_Best_of_Memories
3658,"
3658
",Shingeki no Kyojin in the Dome: Heishi-tachi no Hoshizora,Movie,1,May 2017 - May 2017,"16,620",7.04,https://myanimelist.net/anime/39478/Shingeki_no_Kyojin_in_the_Dome__Heishi-tachi_no_Hoshizora
3659,"
3659
",Show By Rock!!,TV,12,Apr 2015 - Jun 2015,"75,027",7.04,https://myanimelist.net/anime/27441/Show_By_Rock
3660,"
3660
",Show By Rock!! #,TV,12,Oct 2016 - Dec 2016,"27,230",7.04,https://myanimelist.net/anime/32038/Show_By_Rock_
3661,"
3661
",Sore ga Seiyuu!,TV,13,Jul 2015 - Sep 2015,"47,995",7.04,https://myanimelist.net/anime/29163/Sore_ga_Seiyuu
3662,"
3662
",Takahashi Rumiko Gekijou Ningyo no Mori,TV,13,Oct 2003 - Dec 2003,"24,219",7.04,https://myanimelist.net/anime/620/Takahashi_Rumiko_Gekijou_Ningyo_no_Mori
3663,"
3663
",Tales of Symphonia The Animation: Sekai Tougou-hen Specials,Special,3,Nov 2011 - Oct 2012,"5,919",7.04,https://myanimelist.net/anime/12709/Tales_of_Symphonia_The_Animation__Sekai_Tougou-hen_Specials
3664,"
3664
",Tenjou Tenge: The Ultimate Fight,OVA,2,Mar 2005 - Mar 2005,"39,754",7.04,https://myanimelist.net/anime/448/Tenjou_Tenge__The_Ultimate_Fight
3665,"
3665
",Tokimeki Memorial: Only Love,TV,25,Oct 2006 - Apr 2007,"34,850",7.04,https://myanimelist.net/anime/1555/Tokimeki_Memorial__Only_Love
3666,"
3666
",Tokyo Ghoul √A,TV,12,Jan 2015 - Mar 2015,"1,508,743",7.04,https://myanimelist.net/anime/27899/Tokyo_Ghoul_√A
3667,"
3667
",Tokyo Magnitude 8.0 Recap,Special,1,Dec 2009 - Dec 2009,"8,033",7.04,https://myanimelist.net/anime/7654/Tokyo_Magnitude_80_Recap
3668,"
3668
",Yami no Matsuei,TV,13,Oct 2000 - Dec 2000,"51,204",7.04,https://myanimelist.net/anime/553/Yami_no_Matsuei
3669,"
3669
",YAT Anshin! Uchuu Ryokou,TV,50,Oct 1996 - Sep 1997,"1,883",7.04,https://myanimelist.net/anime/1891/YAT_Anshin_Uchuu_Ryokou
3670,"
3670
",Nu Wushen de Canzhuo II,ONA,8,Jul 2020 - Sep 2020,"4,584",7.03,https://myanimelist.net/anime/42206/Nu_Wushen_de_Canzhuo_II
3671,"
3671
",Ohoshi-sama no Rail,Movie,1,Jul 1993 - Jul 1993,"3,206",7.03,https://myanimelist.net/anime/1329/Ohoshi-sama_no_Rail
3672,"
3672
",Penguin's Memory: Shiawase Monogatari,Movie,1,Jun 1985 - Jun 1985,"3,277",7.03,https://myanimelist.net/anime/16434/Penguins_Memory__Shiawase_Monogatari
3673,"
3673
",Re Boot,Music,1,Dec 2012 - Dec 2012,"3,289",7.03,https://myanimelist.net/anime/23043/Re_Boot
3674,"
3674
",Rental Magica,TV,24,Oct 2007 - Mar 2008,"57,989",7.03,https://myanimelist.net/anime/2369/Rental_Magica
3675,"
3675
",Saiki Kusuo no Ψ-nan (ONA),ONA,1,Aug 2013 - Aug 2013,"33,137",7.03,https://myanimelist.net/anime/19469/Saiki_Kusuo_no_Ψ-nan_ONA
3676,"
3676
",Seiyou Kottou Yougashiten: Antique,TV,12,Jul 2008 - Sep 2008,"34,703",7.03,https://myanimelist.net/anime/4021/Seiyou_Kottou_Yougashiten__Antique
3677,"
3677
",Senyuu. Specials,Special,4,Apr 2013 - Nov 2013,"16,939",7.03,https://myanimelist.net/anime/17391/Senyuu_Specials
3678,"
3678
",Shakugan no Shana-tan III (Final): Final Destruction,Special,2,Jan 2012 - May 2012,"18,623",7.03,https://myanimelist.net/anime/12823/Shakugan_no_Shana-tan_III_Final__Final_Destruction
3679,"
3679
",Stop!! Hibari-kun!,TV,35,May 1983 - Jan 1984,"8,023",7.03,https://myanimelist.net/anime/3332/Stop_Hibari-kun
3680,"
3680
",Strike the Blood III,OVA,10,Dec 2018 - Sep 2019,"98,073",7.03,https://myanimelist.net/anime/37449/Strike_the_Blood_III
3681,"
3681
",Tensei shitara Slime Datta Ken 2nd Season: Kanwa - Veldora Nikki 2,Special,1,Jun 2021 - Jun 2021,"34,247",7.03,https://myanimelist.net/anime/49318/Tensei_shitara_Slime_Datta_Ken_2nd_Season__Kanwa_-_Veldora_Nikki_2
3682,"
3682
",Unico: Mahou no Shima e,Movie,1,Jul 1983 - Jul 1983,"2,610",7.03,https://myanimelist.net/anime/2429/Unico__Mahou_no_Shima_e
3683,"
3683
",ViVid Strike!,TV,12,Oct 2016 - Dec 2016,"72,031",7.03,https://myanimelist.net/anime/33589/ViVid_Strike
3684,"
3684
",Watashi ga Motete Dousunda,TV,12,Oct 2016 - Dec 2016,"374,498",7.03,https://myanimelist.net/anime/32899/Watashi_ga_Motete_Dousunda
3685,"
3685
",Witch Craft Works,TV,12,Jan 2014 - Mar 2014,"280,111",7.03,https://myanimelist.net/anime/21085/Witch_Craft_Works
3686,"
3686
",Yankee-kun na Yamada-kun to Megane-chan to Majo,Special,1,Aug 2015 - Aug 2015,"22,432",7.03,https://myanimelist.net/anime/30641/Yankee-kun_na_Yamada-kun_to_Megane-chan_to_Majo
3687,"
3687
",Yuragi-sou no Yuuna-san,TV,12,Jul 2018 - Sep 2018,"240,260",7.03,https://myanimelist.net/anime/36726/Yuragi-sou_no_Yuuna-san
3688,"
3688
",Zombie-Loan Specials,Special,2,Apr 2008 - Apr 2008,"27,401",7.03,https://myanimelist.net/anime/3354/Zombie-Loan_Specials
3689,"
3689
",Akazukin Chacha OVA,OVA,3,Dec 1995 - Mar 1996,"2,451",7.03,https://myanimelist.net/anime/367/Akazukin_Chacha_OVA
3690,"
3690
",Asura,Movie,1,Sep 2012 - Sep 2012,"29,851",7.03,https://myanimelist.net/anime/8475/Asura
3691,"
3691
",Azumanga Daioh: Gekijou Tanpen,Special,1,Dec 2001 - Dec 2001,"37,748",7.03,https://myanimelist.net/anime/659/Azumanga_Daioh__Gekijou_Tanpen
3692,"
3692
",B'T X,TV,25,Apr 1996 - Sep 1996,"10,557",7.03,https://myanimelist.net/anime/286/BT_X
3693,"
3693
",Binan Koukou Chikyuu Boueibu LOVE! LOVE!,TV,12,Jul 2016 - Sep 2016,"26,422",7.03,https://myanimelist.net/anime/31417/Binan_Koukou_Chikyuu_Boueibu_LOVE_LOVE
3694,"
3694
",Chain Chronicle: Haecceitas no Hikari Part 2,Movie,1,Jan 2017 - Jan 2017,"14,802",7.03,https://myanimelist.net/anime/33729/Chain_Chronicle__Haecceitas_no_Hikari_Part_2
3695,"
3695
",Chihayafuru 2: Waga Miyo ni Furu Nagame Shima ni,OVA,1,Sep 2013 - Sep 2013,"39,405",7.03,https://myanimelist.net/anime/18745/Chihayafuru_2__Waga_Miyo_ni_Furu_Nagame_Shima_ni
3696,"
3696
",Code Geass: Hangyaku no Lelouch Recaps,Special,2,Dec 2006 - Feb 2007,"34,689",7.03,https://myanimelist.net/anime/2124/Code_Geass__Hangyaku_no_Lelouch_Recaps
3697,"
3697
",Dinghai Fusheng Lu,ONA,12,Jul 2021 - Dec 2021,"1,575",7.03,https://myanimelist.net/anime/44065/Dinghai_Fusheng_Lu
3698,"
3698
",Doraemon Movie 03: Nobita no Daimakyou,Movie,1,Mar 1982 - Mar 1982,"4,849",7.03,https://myanimelist.net/anime/2671/Doraemon_Movie_03__Nobita_no_Daimakyou
3699,"
3699
",Eikoku Koi Monogatari Emma: Intermission,Special,1,Apr 2007 - Apr 2007,"5,058",7.03,https://myanimelist.net/anime/2517/Eikoku_Koi_Monogatari_Emma__Intermission
3700,"
3700
",Feng Yu Zhou,Movie,1,Aug 2018 - Aug 2018,"1,113",7.03,https://myanimelist.net/anime/38489/Feng_Yu_Zhou
3701,"
3701
","Flanders no Inu, Boku no Patrasche",TV,26,Oct 1992 - Mar 1993,"1,809",7.03,https://myanimelist.net/anime/2624/Flanders_no_Inu_Boku_no_Patrasche
3702,"
3702
",Futari wa Precure,TV,49,Feb 2004 - Jan 2005,"40,807",7.03,https://myanimelist.net/anime/603/Futari_wa_Precure
3703,"
3703
",Gakusen Toshi Asterisk 2nd Season,TV,12,Apr 2016 - Jun 2016,"373,034",7.03,https://myanimelist.net/anime/31737/Gakusen_Toshi_Asterisk_2nd_Season
3704,"
3704
",Go! Saitama,ONA,1,Sep 2021 - Sep 2021,"1,170",7.03,https://myanimelist.net/anime/49895/Go_Saitama
3705,"
3705
",Golden Time (Movie),Movie,1,Dec 2013 - Dec 2013,"6,898",7.03,https://myanimelist.net/anime/36789/Golden_Time_Movie
3706,"
3706
",Gudetama,TV,?,Mar 2014 -,"10,548",7.03,https://myanimelist.net/anime/23539/Gudetama
3707,"
3707
",Gundam Build Divers Re:Rise,ONA,13,Oct 2019 - Dec 2019,"11,519",7.03,https://myanimelist.net/anime/40192/Gundam_Build_Divers_Re_Rise
3708,"
3708
",Haiyore! Nyaruko-san,TV,12,Apr 2012 - Jun 2012,"317,788",7.03,https://myanimelist.net/anime/11785/Haiyore_Nyaruko-san
3709,"
3709
",Hayate no Gotoku! Can't Take My Eyes Off You,TV,12,Oct 2012 - Dec 2012,"50,537",7.03,https://myanimelist.net/anime/14653/Hayate_no_Gotoku_Cant_Take_My_Eyes_Off_You
3710,"
3710
",Hayate no Gotoku! Cuties,TV,12,Apr 2013 - Jul 2013,"40,818",7.03,https://myanimelist.net/anime/16982/Hayate_no_Gotoku_Cuties
3711,"
3711
",Jarinko Chie,Movie,1,Apr 1981 - Apr 1981,"3,551",7.03,https://myanimelist.net/anime/3946/Jarinko_Chie
3712,"
3712
",Kimi no Koe wo Todoketai,Movie,1,Aug 2017 - Aug 2017,"31,820",7.03,https://myanimelist.net/anime/33218/Kimi_no_Koe_wo_Todoketai
3713,"
3713
",Koi to Senkyo to Chocolate,TV,12,Jul 2012 - Sep 2012,"215,477",7.03,https://myanimelist.net/anime/12175/Koi_to_Senkyo_to_Chocolate
3714,"
3714
",Ling Jian Zun 2nd Season,ONA,30,May 2019 - Sep 2019,"1,848",7.03,https://myanimelist.net/anime/40062/Ling_Jian_Zun_2nd_Season
3715,"
3715
",Lupin III: Tenshi no Tactics - Yume no Kakera wa Koroshi no Kaori,Special,1,Jul 2005 - Jul 2005,"5,882",7.03,https://myanimelist.net/anime/1414/Lupin_III__Tenshi_no_Tactics_-_Yume_no_Kakera_wa_Koroshi_no_Kaori
3716,"
3716
",Magic-Kyun! Renaissance,TV,13,Oct 2016 - Dec 2016,"48,347",7.03,https://myanimelist.net/anime/33299/Magic-Kyun_Renaissance
3717,"
3717
",Makai Ouji: Devils and Realist,TV,12,Jul 2013 - Sep 2013,"106,004",7.03,https://myanimelist.net/anime/16890/Makai_Ouji__Devils_and_Realist
3718,"
3718
",Mameshiba,Special,24,Mar 2008 - 2013,"4,984",7.03,https://myanimelist.net/anime/7261/Mameshiba
3719,"
3719
",Maria†Holic,TV,12,Jan 2009 - Mar 2009,"161,084",7.03,https://myanimelist.net/anime/5030/Maria†Holic
3720,"
3720
",Aikatsu! Music Award: Minna de Shou wo MoracchaimaShow!,Movie,1,Aug 2015 - Aug 2015,"3,029",7.02,https://myanimelist.net/anime/30845/Aikatsu_Music_Award__Minna_de_Shou_wo_MoracchaimaShow
3721,"
3721
",Ao no 6-gou,OVA,4,Oct 1998 - Mar 2000,"50,770",7.02,https://myanimelist.net/anime/1051/Ao_no_6-gou
3722,"
3722
",Armitage III,OVA,4,Feb 1995 - Nov 1995,"29,591",7.02,https://myanimelist.net/anime/1079/Armitage_III
3723,"
3723
",Blue Seed,TV,26,Oct 1994 - Mar 1995,"26,576",7.02,https://myanimelist.net/anime/998/Blue_Seed
3724,"
3724
",Cardfight!! Vanguard,TV,65,Jan 2011 - Mar 2012,"48,176",7.02,https://myanimelist.net/anime/9539/Cardfight_Vanguard
3725,"
3725
",Chain Chronicle: Haecceitas no Hikari Part 1,Movie,1,Dec 2016 - Dec 2016,"21,559",7.02,https://myanimelist.net/anime/33728/Chain_Chronicle__Haecceitas_no_Hikari_Part_1
3726,"
3726
",Chicchana Yukitsukai Sugar Specials,Special,2,Aug 2003 - Aug 2003,"5,118",7.02,https://myanimelist.net/anime/1014/Chicchana_Yukitsukai_Sugar_Specials
3727,"
3727
",Concrete Revolutio: Choujin Gensou - The Last Song,TV,11,Apr 2016 - Jun 2016,"32,576",7.02,https://myanimelist.net/anime/32313/Concrete_Revolutio__Choujin_Gensou_-_The_Last_Song
3728,"
3728
",Crayon Shin-chan Movie 21: Bakauma! B-Kyuu Gourmet Survival Battle!!,Movie,1,Apr 2013 - Apr 2013,"3,613",7.02,https://myanimelist.net/anime/17113/Crayon_Shin-chan_Movie_21__Bakauma_B-Kyuu_Gourmet_Survival_Battle
3729,"
3729
",Crayon Shin-chan Movie 24: Bakusui! Yumemi World Dai Totsugeki,Movie,1,Apr 2016 - Apr 2016,"2,414",7.02,https://myanimelist.net/anime/31978/Crayon_Shin-chan_Movie_24__Bakusui_Yumemi_World_Dai_Totsugeki
3730,"
3730
",Dance in the Vampire Bund,TV,12,Jan 2010 - Apr 2010,"206,477",7.02,https://myanimelist.net/anime/6747/Dance_in_the_Vampire_Bund
3731,"
3731
",Danganronpa 3: Monokuma Gekijou,Special,3,Oct 2016 - Dec 2016,"23,693",7.02,https://myanimelist.net/anime/37103/Danganronpa_3__Monokuma_Gekijou
3732,"
3732
",Daybreak Interlude,Music,1,Sep 2017 - Sep 2017,"2,100",7.02,https://myanimelist.net/anime/36289/Daybreak_Interlude
3733,"
3733
",Devilman: Yochou Sirene-hen,OVA,1,Feb 1990 - Feb 1990,"19,079",7.02,https://myanimelist.net/anime/2355/Devilman__Yochou_Sirene-hen
3734,"
3734
",Doraemon: The Day When I Was Born,Movie,1,Mar 2002 - Mar 2002,"2,699",7.02,https://myanimelist.net/anime/2652/Doraemon__The_Day_When_I_Was_Born
3735,"
3735
",Elf wo Karu Mono-tachi II,TV,12,Oct 1997 - Dec 1997,"11,845",7.02,https://myanimelist.net/anime/1046/Elf_wo_Karu_Mono-tachi_II
3736,"
3736
",Gakkou no Kaidan: Kubinashi Rider!! Shi no Noroi,Special,1,Aug 2001 - Aug 2001,"12,333",7.02,https://myanimelist.net/anime/30825/Gakkou_no_Kaidan__Kubinashi_Rider_Shi_no_Noroi
3737,"
3737
",Galaxy Angel,TV,24,Apr 2001 - Sep 2001,"25,905",7.02,https://myanimelist.net/anime/383/Galaxy_Angel
3738,"
3738
",H2O: Footprints in the Sand,TV,12,Jan 2008 - Mar 2008,"90,614",7.02,https://myanimelist.net/anime/3299/H2O__Footprints_in_the_Sand
3739,"
3739
",Harukanaru Toki no Naka de: Hachiyou Shou,TV,26,Oct 2004 - Mar 2005,"22,324",7.02,https://myanimelist.net/anime/247/Harukanaru_Toki_no_Naka_de__Hachiyou_Shou
3740,"
3740
",Hataraki Man,TV,11,Oct 2006 - Dec 2006,"22,955",7.02,https://myanimelist.net/anime/1592/Hataraki_Man
3741,"
3741
",Jungle no Ouja Taa-chan,TV,50,Oct 1993 - Sep 1994,"2,185",7.02,https://myanimelist.net/anime/3418/Jungle_no_Ouja_Taa-chan
3742,"
3742
",Kamisama Dolls,TV,13,Jul 2011 - Sep 2011,"67,918",7.02,https://myanimelist.net/anime/10372/Kamisama_Dolls
3743,"
3743
",Karneval,OVA,1,Oct 2012 - Oct 2012,"17,113",7.02,https://myanimelist.net/anime/16033/Karneval
3744,"
3744
",Kaze no Naka no Shoujo: Kinpatsu no Jeanie,TV,52,Oct 1992 - Sep 1993,"3,220",7.02,https://myanimelist.net/anime/3110/Kaze_no_Naka_no_Shoujo__Kinpatsu_no_Jeanie
3745,"
3745
",Kindaichi Shounen no Jikenbo: Kuromajutsu Satsujin Jiken-hen,OVA,2,Dec 2012 - Mar 2013,"1,782",7.02,https://myanimelist.net/anime/15819/Kindaichi_Shounen_no_Jikenbo__Kuromajutsu_Satsujin_Jiken-hen
3746,"
3746
",Koroshi Ai,TV,12,Jan 2022 -,"78,322",7.02,https://myanimelist.net/anime/44516/Koroshi_Ai
3747,"
3747
",Kyattou Ninden Teyandee,TV,54,Feb 1990 - Feb 1991,"11,926",7.02,https://myanimelist.net/anime/1261/Kyattou_Ninden_Teyandee
3748,"
3748
",Ling Jian Zun,ONA,30,Jan 2019 - Apr 2019,"3,003",7.02,https://myanimelist.net/anime/39080/Ling_Jian_Zun
3749,"
3749
",Lost Universe,TV,26,Apr 1998 - Sep 1998,"15,127",7.02,https://myanimelist.net/anime/1184/Lost_Universe
3750,"
3750
",Magia Record: Mahou Shoujo Madoka☆Magica Gaiden (TV) 2nd Season - Kakusei Zenya,TV,8,Aug 2021 - Sep 2021,"44,862",7.02,https://myanimelist.net/anime/41530/Magia_Record__Mahou_Shoujo_Madoka☆Magica_Gaiden_TV_2nd_Season_-_Kakusei_Zenya
3751,"
3751
",Mahoutsukai no Yome: Gakuin-hen,ONA,1,Mar 2019 - Mar 2019,"8,212",7.02,https://myanimelist.net/anime/40134/Mahoutsukai_no_Yome__Gakuin-hen
3752,"
3752
",Monster Musume no Iru Nichijou,TV,12,Jul 2015 - Sep 2015,"638,920",7.02,https://myanimelist.net/anime/30307/Monster_Musume_no_Iru_Nichijou
3753,"
3753
",Nanatsu no Taizai: Seisen no Shirushi,TV,4,Aug 2016 - Sep 2016,"605,424",7.02,https://myanimelist.net/anime/31722/Nanatsu_no_Taizai__Seisen_no_Shirushi
3754,"
3754
",Natsu-iro Kiseki,TV,12,Apr 2012 - Jun 2012,"40,150",7.02,https://myanimelist.net/anime/12119/Natsu-iro_Kiseki
3755,"
3755
",Nichijou: Original Jikai Yokoku,Special,25,Jun 2011 - Jun 2012,"18,248",7.02,https://myanimelist.net/anime/10807/Nichijou__Original_Jikai_Yokoku
3756,"
3756
",One Piece: Mezase! Kaizoku Yakyuu Ou,Movie,1,Mar 2004 - Mar 2004,"31,055",7.02,https://myanimelist.net/anime/2490/One_Piece__Mezase_Kaizoku_Yakyuu_Ou
3757,"
3757
",Onegai☆Twins: Natsu wa Owaranai,OVA,1,Apr 2004 - Apr 2004,"28,446",7.02,https://myanimelist.net/anime/524/Onegai☆Twins__Natsu_wa_Owaranai
3758,"
3758
",Ore no Imouto ga Konnani Kawaii Wake ga Nai,TV,12,Oct 2010 - Dec 2010,"620,312",7.02,https://myanimelist.net/anime/8769/Ore_no_Imouto_ga_Konnani_Kawaii_Wake_ga_Nai
3759,"
3759
",Princess Connect! Re:Dive,TV,13,Apr 2020 - Jun 2020,"201,281",7.02,https://myanimelist.net/anime/39292/Princess_Connect_Re_Dive
3760,"
3760
",Qin Shi Ming Yue: Tian Xing Jiu Ge,ONA,60,Mar 2016 - Jul 2018,"1,424",7.02,https://myanimelist.net/anime/36732/Qin_Shi_Ming_Yue__Tian_Xing_Jiu_Ge
3761,"
3761
",Senki Zesshou Symphogear,TV,13,Jan 2012 - Mar 2012,"104,375",7.02,https://myanimelist.net/anime/11751/Senki_Zesshou_Symphogear
3762,"
3762
",Slow Start,TV,12,Jan 2018 - Mar 2018,"71,716",7.02,https://myanimelist.net/anime/35540/Slow_Start
3763,"
3763
",Stranger: Mukou Hadan Pilot,Special,1,Apr 2009 - Apr 2009,"10,705",7.02,https://myanimelist.net/anime/14617/Stranger__Mukou_Hadan_Pilot
3764,"
3764
",Suite Precure♪ Movie: Torimodose! Kokoro ga Tsunagu Kiseki no Melody♪,Movie,1,Oct 2011 - Oct 2011,"5,011",7.02,https://myanimelist.net/anime/10821/Suite_Precure♪_Movie__Torimodose_Kokoro_ga_Tsunagu_Kiseki_no_Melody♪
3765,"
3765
",Super Senko-san Time Episode 12,Special,1,Sep 2019 - Sep 2019,"10,811",7.02,https://myanimelist.net/anime/39995/Super_Senko-san_Time_Episode_12
3766,"
3766
",Terra Formars,TV,13,Sep 2014 - Dec 2014,"206,223",7.02,https://myanimelist.net/anime/22687/Terra_Formars
3767,"
3767
",Tight-rope,OVA,2,May 2012 - Jun 2012,"44,114",7.02,https://myanimelist.net/anime/12695/Tight-rope
3768,"
3768
",Tokyo Mew Mew,TV,52,Apr 2002 - Mar 2003,"131,673",7.02,https://myanimelist.net/anime/687/Tokyo_Mew_Mew
3769,"
3769
",Uta no☆Prince-sama♪: Maji Love Revolutions,TV,13,Apr 2015 - Jun 2015,"54,200",7.02,https://myanimelist.net/anime/21439/Uta_no☆Prince-sama♪__Maji_Love_Revolutions
3770,"
3770
",Wonderful Days,Movie,1,Jul 2003 - Jul 2003,"32,929",7.02,https://myanimelist.net/anime/548/Wonderful_Days
3771,"
3771
",Yami Shibai,TV,13,Jul 2013 - Sep 2013,"91,831",7.02,https://myanimelist.net/anime/19383/Yami_Shibai
3772,"
3772
",Yingxiong Zai Lin,ONA,12,Oct 2020 - Dec 2020,"17,780",7.02,https://myanimelist.net/anime/40979/Yingxiong_Zai_Lin
3773,"
3773
",Yuuki Yuuna wa Yuusha de Aru: Hidamari,Special,1,Nov 2017 - Nov 2017,"8,376",7.02,https://myanimelist.net/anime/36798/Yuuki_Yuuna_wa_Yuusha_de_Aru__Hidamari
3774,"
3774
",Mobile Suit Zeta Gundam: A New Translation II - Lovers,Movie,1,Oct 2005 - Oct 2005,"10,094",7.01,https://myanimelist.net/anime/1968/Mobile_Suit_Zeta_Gundam__A_New_Translation_II_-_Lovers
3775,"
3775
",Murenase! Seton Gakuen,TV,12,Jan 2020 - Mar 2020,"161,380",7.01,https://myanimelist.net/anime/40483/Murenase_Seton_Gakuen
3776,"
3776
",Nanatsu-iro★Drops,TV,12,Jul 2007 - Sep 2007,"21,269",7.01,https://myanimelist.net/anime/1688/Nanatsu-iro★Drops
3777,"
3777
",Nasu: Andalusia no Natsu,Movie,1,Jul 2003 - Jul 2003,"8,498",7.01,https://myanimelist.net/anime/1209/Nasu__Andalusia_no_Natsu
3778,"
3778
",Neo Angelique Abyss: Second Age,TV,13,Jul 2008 - Sep 2008,"18,917",7.01,https://myanimelist.net/anime/4662/Neo_Angelique_Abyss__Second_Age
3779,"
3779
",Nu Wushen de Canzhuo Spring Festival Special,Special,1,Feb 2021 - Feb 2021,"1,465",7.01,https://myanimelist.net/anime/47614/Nu_Wushen_de_Canzhuo_Spring_Festival_Special
3780,"
3780
",One Piece 3D: Mugiwara Chase,Movie,1,Mar 2011 - Mar 2011,"49,140",7.01,https://myanimelist.net/anime/9999/One_Piece_3D__Mugiwara_Chase
3781,"
3781
",Pokemon 3D Adventure: Mew wo Sagase!,Movie,1,Mar 2005 - Mar 2005,"9,859",7.01,https://myanimelist.net/anime/11019/Pokemon_3D_Adventure__Mew_wo_Sagase
3782,"
3782
",Pokemon Movie 12: Arceus Choukoku no Jikuu e,Movie,1,Jul 2009 - Jul 2009,"75,072",7.01,https://myanimelist.net/anime/6178/Pokemon_Movie_12__Arceus_Choukoku_no_Jikuu_e
3783,"
3783
",Precure All Stars Movie: Minna de Utau♪ - Kiseki no Mahou,Movie,1,Mar 2016 - Mar 2016,"2,967",7.01,https://myanimelist.net/anime/32160/Precure_All_Stars_Movie__Minna_de_Utau♪_-_Kiseki_no_Mahou
3784,"
3784
",RahXephon: Tagen Hensoukyoku,Movie,1,Apr 2003 - Apr 2003,"14,360",7.01,https://myanimelist.net/anime/758/RahXephon__Tagen_Hensoukyoku
3785,"
3785
",RESTART POiNTER,Music,1,Jun 2016 - Jun 2016,"2,357",7.01,https://myanimelist.net/anime/33420/RESTART_POiNTER
3786,"
3786
",Sky Girls,TV,26,Jul 2007 - Dec 2007,"22,562",7.01,https://myanimelist.net/anime/2604/Sky_Girls
3787,"
3787
",Strike the Blood II,OVA,8,Nov 2016 - May 2017,"167,786",7.01,https://myanimelist.net/anime/33286/Strike_the_Blood_II
3788,"
3788
",Sword Art Online Alternative: Gun Gale Online,TV,12,Apr 2018 - Jul 2018,"512,871",7.01,https://myanimelist.net/anime/36475/Sword_Art_Online_Alternative__Gun_Gale_Online
3789,"
3789
",Taiho Shichau zo: Full Throttle - Watashitachi no Iru Basho,Special,1,Aug 2008 - Aug 2008,"2,929",7.01,https://myanimelist.net/anime/6312/Taiho_Shichau_zo__Full_Throttle_-_Watashitachi_no_Iru_Basho
3790,"
3790
",To LOVE-Ru,TV,26,Apr 2008 - Sep 2008,"562,223",7.01,https://myanimelist.net/anime/3455/To_LOVE-Ru
3791,"
3791
",Uchuu Senkan Yamato: Fukkatsu-hen,Movie,1,Dec 2009 - Dec 2009,"3,816",7.01,https://myanimelist.net/anime/7144/Uchuu_Senkan_Yamato__Fukkatsu-hen
3792,"
3792
",Uzaki-chan wa Asobitai!,TV,12,Jul 2020 - Sep 2020,"345,460",7.01,https://myanimelist.net/anime/41226/Uzaki-chan_wa_Asobitai
3793,"
3793
",Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,TV,12,Jul 2013 - Sep 2013,"571,668",7.01,https://myanimelist.net/anime/16742/Watashi_ga_Motenai_no_wa_Dou_Kangaetemo_Omaera_ga_Warui
