no,rank,title,type,total_eps,show_time,member,score,link_page
13317,"
13317
",Saru Tarou Jishin ni wa Makenai zo!: Jishin e no Sonae Dai Sakusen,OVA,1,Jun 2009 - Jun 2009,132,N/A,https://myanimelist.net/anime/28561/Saru_Tarou_Jishin_ni_wa_Makenai_zo__Jishin_e_no_Sonae_Dai_Sakusen
13318,"
13318
",Saru Tarou wa Tobidasa Nai!,OVA,1,2011 - 2011,86,N/A,https://myanimelist.net/anime/35154/Saru_Tarou_wa_Tobidasa_Nai
13319,"
13319
",Sasurai no Violin,Music,1,Dec 1973 - Dec 1973,118,N/A,https://myanimelist.net/anime/38287/Sasurai_no_Violin
13320,"
13320
",Sasurai-kun,TV,13,Apr 1992 - Jun 1992,260,N/A,https://myanimelist.net/anime/27681/Sasurai-kun
13321,"
13321
",Satoukibibatake,OVA,1,-,119,N/A,https://myanimelist.net/anime/33824/Satoukibibatake
13322,"
13322
","Satto Anshin, SAT x Peeping Life",ONA,3,Sep 2015 - Sep 2015,315,N/A,https://myanimelist.net/anime/32734/Satto_Anshin_SAT_x_Peeping_Life
13323,"
13323
",Sawai Seiyaki Kabushikigaisha CMs,ONA,2,Apr 2018 - Oct 2018,125,N/A,https://myanimelist.net/anime/38552/Sawai_Seiyaki_Kabushikigaisha_CMs
13324,"
13324
",Sawatte! Gudetama: 3-dome no Shoujiki,Special,6,Mar 2018 - Jul 2018,358,N/A,https://myanimelist.net/anime/38627/Sawatte_Gudetama__3-dome_no_Shoujiki
13325,"
13325
",Sayonara no Kawari ni 2013,Music,1,Feb 2013 - Feb 2013,160,N/A,https://myanimelist.net/anime/37603/Sayonara_no_Kawari_ni_2013
13326,"
13326
",Sayonara Nyuunanzai,Music,1,Oct 2017 - Oct 2017,167,N/A,https://myanimelist.net/anime/36680/Sayonara_Nyuunanzai
13327,"
13327
",Sayonara Watashi no Cramer Mini Anime,ONA,24,Mar 2021 - Jun 2021,513,N/A,https://myanimelist.net/anime/48616/Sayonara_Watashi_no_Cramer_Mini_Anime
13328,"
13328
","Sayonara, Midori ga ike: Tobe! Tako Glider!!",OVA,1,Mar 2005 - Mar 2005,166,N/A,https://myanimelist.net/anime/29733/Sayonara_Midori_ga_ike__Tobe_Tako_Glider
