no,nama perusahaan,jenis perizinan,tautan detail
165,ALAS KUSUMA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/273?jp=1
166,ALBERTA SUKSES MAKMUR,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/10473?jp=7
167,ALBETA MAJU SUKSES,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/14244?jp=1
168,ALCHEMIST METAL INDUSTRY,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/13488?jp=7
169,ALDAM BERSAUDARA ANUGERAH SEJAHTERA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/14077?jp=7
170,Alden Mitra Usaha,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/14212?jp=1
171,ALDO HS SEJAHTERA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/13328?jp=1
172,ALDY SURYA GEMILANG,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/284?jp=1
173,ALENGKA SUKSES JAYA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/15989?jp=7
174,ALEXANDER TUNGGAL,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12073?jp=1
175,ALEX MASYKUR,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/13739?jp=1
176,ALFACO INDONESIA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/290?jp=1
177,ALFA ENERGI INDONESIA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/10337?jp=7
178,ALFA ENERGI INVESTAMA TBK,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/10415?jp=7
179,ALFA GRANITAMA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/10848?jp=1
180,ALFA INTI MINERAL,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/13303?jp=1
181,ALFARA DELTA PERSADA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/291?jp=1
182,ALFA RIUNG JAYA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/289?jp=1
183,ALFASA DUNIA PERSADA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/9807?jp=1
184,ALFINO CAHAYA MUKTI,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/14535?jp=7
185,ALHASANIE,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/299?jp=1
186,ALI FATIKHIN,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/9488?jp=1
187,ALIF KAMALIA RAJA BATUBARA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/15393?jp=7
188,ALIF SYAHDILLA PRATAMA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12960?jp=1
189,ALI MAHZAH,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12121?jp=1
190,ALI MURTADHO,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/10768?jp=1
191,ALJABRI BUANA CITRA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/310?jp=1
192,ALKA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/10979?jp=1
193, ALLIANCE INTERNATIONAL,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/14829?jp=7
194,ALLIED INDO COAL JAYA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/313?jp=1
195,ALLWIN ANUGERAH ADIMAKMUR,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/9907?jp=7
196,ALMHARIG,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/315?jp=1
197,ALMINDO JAYA ABADI,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/10095?jp=7
198,ALNGIT RAYA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/316?jp=1
199,ALOMA WANGI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/317?jp=1
200,ALOTAMA KARYA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/319?jp=1
201,ALTA PRIMA ENERGI,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/10404?jp=7
202,ALTER ABADI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/8277?jp=1
203,ALTRYAN SELVIAN ADITYA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/13921?jp=1
204,ALUNA KUSUMAH LESTARI,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/10121?jp=7
205,ALU SENTOSA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/330?jp=1
206,ALVINDO MINING RESOURCE,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/13683?jp=1
207,AL YAMIN,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/11398?jp=1
208,AMADEUS KHADIJAH ALFATIH,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/11773?jp=1
209,AMANAH ANUGERAH ADI MULIA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/339?jp=1
210,AMANAH BATU ALAM PERSADA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/14684?jp=1
211,AMANAH LIMA BINTANG,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/15563?jp=7
212,AMANAH PUNJUNG BAHAGIA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/9316?jp=1
213,AMANAH PUTRA BORNEO,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/8279?jp=1
214,AMANAH WIRA PERSADA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/10042?jp=7
215,AMAN BLACKGOLD INDONESIA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/13372?jp=7
216,AMAN JAYA LESTARI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/13120?jp=1
217,AMAN MAKMUR SEJAHTERA BERSINERGI,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/14624?jp=7
218,AMAN MINING RESOURCES,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/13408?jp=7
219,AMAN TOEBILLAH PUTRA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/338?jp=1
220,AMAR BHONE PERKASA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/14292?jp=7
221,AMARTA TEKNIK INDONESIA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/349?jp=1
222,AMARTHA JAYA BERSAMA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/16020?jp=7
223,AMAS MUDA SIREGAR,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/14746?jp=1
224,AMAZING TABARA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/350?jp=1
225,AMBANG SURYA JAYA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/10040?jp=7
226,AMBHARAKARYA PERDANA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/10170?jp=7
227,AMERTA GIRI LESTARI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/9606?jp=1
228,AMERTA JAYA USAHANIAGA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/14332?jp=7
229,AMIKA ENERGY INDONESIA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/15672?jp=7
230,AMINOTO,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/11024?jp=1
231,AMIRA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12483?jp=1
232,AMIRA ENERGI,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/13816?jp=7
233,AMIR HAJAR KILSI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/13043?jp=1
234,AMMAN MINERAL INDUSTRI,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/10643?jp=7
235,AMMAN MINERAL NUSA TENGGARA,IUPK,https://modi.esdm.go.id/portal/detailPerusahaan/10644?jp=8
236,AMPEK LAWANG,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/15249?jp=1
237,AMRAN,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/11714?jp=1
238,AMRIN,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/14160?jp=1
239,AMYRA DINAMIKA SELARAS,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/12118?jp=7
240,ANADAM KURNIA ENERGI,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/13101?jp=7
241,ANAK LEMBATA GRUP,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/13483?jp=1
242,ANAK PANAH,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/11077?jp=7
