no,tautan,gambar,tipe,judul,lokasi,harga
6319,https://infolelang.bri.co.id/home/detailAsset?id_aset=KHYPL&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/tampakdepan_20211126161401.jpg,lelang,Rumah Tinggal,"RAWALUMBU, BEKASI KOT.",IDR 272.700.000
6320,https://infolelang.bri.co.id/home/detailAsset?id_aset=GILY2&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/Teras_20211126162456.jpg,lelang,Rumah Tinggal,"LEMAHABANG, BEKASI KAB.",IDR 2.700.000.000
6321,https://infolelang.bri.co.id/home/detailAsset?id_aset=HWV2Y&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/SHMNo29anMsidiMaulana_20211126110114.jpg,lelang,bangunan ruko 1 pintu 3 lantai,"TEMBILAHAN, INDRAGIRI HILIR KAB.",IDR 800.000.000
6322,https://infolelang.bri.co.id/home/detailAsset?id_aset=QP4GF&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/shm475ANhendrawan_20211126110722.jpg,lelang,BANGUNAN RUKO 4 PINTU 7 LANTAI,"RETEH, INDRAGIRI HILIR KAB.",IDR 800.000.000
6323,https://infolelang.bri.co.id/home/detailAsset?id_aset=Z7T4L&id_category=tanah,https://infolelang.bri.co.id/uploads/images//2021/11/shmno249_20211126111509.jpg,lelang,TANAH KOSONG,"RETEH, INDRAGIRI HILIR KAB.",IDR 100.000.000
6324,https://infolelang.bri.co.id/home/detailAsset?id_aset=XMQAO&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/shmno652_20211126143505.jpg,lelang,bangunan ruko 1 pintu 2 lantai,"RETEH, INDRAGIRI HILIR KAB.",IDR 300.000.000
6325,https://infolelang.bri.co.id/home/detailAsset?id_aset=3G6ZR&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/shmno1297ANsURYANI_20211126145328.jpg,lelang,BANGUNAN HOTEL,"RETEH, INDRAGIRI HILIR KAB.",IDR 900.000.000
6326,https://infolelang.bri.co.id/home/detailAsset?id_aset=78HY3&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/shmno1209TOPAN_20211126150146.jpg,lelang,BANGUNAN RUMAH,"RETEH, INDRAGIRI HILIR KAB.",IDR 400.000.000
6327,https://infolelang.bri.co.id/home/detailAsset?id_aset=3Y486&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/shmno1210_20211126150739.jpg,lelang,BANGUNAN RUMAH,"RETEH, INDRAGIRI HILIR KAB.",IDR 80.000.000
6328,https://infolelang.bri.co.id/home/detailAsset?id_aset=WLQF7&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/IMG7904_20211126161253.JPG,jual_damai,Tanah Rumah Tinggal SHM No. 9 an : Edi Kadir,"LUBUK DALAM, SIAK KAB.",IDR 275.000.000
6329,https://infolelang.bri.co.id/home/detailAsset?id_aset=OMZ5H&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/fCopy_20211126085526.JPG,jual_damai,Tanah dan Bangunan Ruko SHM No. 52 an Bahagia Sembiring,"DAYUN, SIAK KAB.",IDR 200.000.000
6330,https://infolelang.bri.co.id/home/detailAsset?id_aset=YW2RV&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/aa_20211126091027.jpg,jual_damai,Tanah dan Bangunan SHM No. 3508 an : Ramli,"DAYUN, SIAK KAB.",IDR 400.000.000
